"CommentTargetId","SourceFindingId","Track","File","Class","Location","CommentType","Reason","DraftComment","SourcePhase","Status","Evidence"
"P10-COM-0001","","10.2 Serialization Order And Versioning","Data/Scripts/Custom/Access Level Stone [2.0]/AccessLevelStone.cs","Server.Items.AccessLevelStone","Serialize/Deserialize","Serialization","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","// Save format: keep Serialize and Deserialize field order, version gates, and discarded legacy reads aligned.","Phase 10","CandidateForPhase11","Serialize:L82;Deserialize:L96;SerialCtor:L79;VersionWrite:L85;VersionRead:L99"
"P10-COM-0002","","10.2 Serialization Order And Versioning","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/DragonShapeChangeStone-body.cs","Server.Items.DragonShapeShiftStone","Serialize/Deserialize","Serialization","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","// Save format: keep Serialize and Deserialize field order, version gates, and discarded legacy reads aligned.","Phase 10","CandidateForPhase11","Serialize:L120;Deserialize:L131;SerialCtor:L25;VersionWrite:L123;VersionRead:L134"
"P10-COM-0003","","10.2 Serialization Order And Versioning","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FelinusShapeChangeStone.cs","Server.Items.FelinusShapeShiftStone","Serialize/Deserialize","Serialization","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","// Save format: keep Serialize and Deserialize field order, version gates, and discarded legacy reads aligned.","Phase 10","CandidateForPhase11","Serialize:L123;Deserialize:L134;SerialCtor:L25;VersionWrite:L126;VersionRead:L137"
"P10-COM-0004","","10.2 Serialization Order And Versioning","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/RatShapeChangeStone.cs","Server.Items.RatShapeShiftStone","Serialize/Deserialize","Serialization","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","// Save format: keep Serialize and Deserialize field order, version gates, and discarded legacy reads aligned.","Phase 10","CandidateForPhase11","Serialize:L123;Deserialize:L134;SerialCtor:L25;VersionWrite:L126;VersionRead:L137"
"P10-COM-0005","","10.2 Serialization Order And Versioning","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/WolvenShapeChangeStone.cs","Server.Items.WolvenShapeShiftStone","Serialize/Deserialize","Serialization","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","// Save format: keep Serialize and Deserialize field order, version gates, and discarded legacy reads aligned.","Phase 10","CandidateForPhase11","Serialize:L123;Deserialize:L134;SerialCtor:L25;VersionWrite:L126;VersionRead:L137"
"P10-COM-0006","","10.2 Serialization Order And Versioning","Data/Scripts/Custom/Book Publisher [2.0]/PublishedBook.cs","Server.Items.PublishedBook","Serialize/Deserialize","Serialization","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","// Save format: keep Serialize and Deserialize field order, version gates, and discarded legacy reads aligned.","Phase 10","CandidateForPhase11","Serialize:L215;Deserialize:L193;SerialCtor:L190;VersionWrite:L218;VersionRead:L196"
"P10-COM-0007","","10.2 Serialization Order And Versioning","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs","Server.Items.GMHidingStone","Serialize/Deserialize","Serialization","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","// Save format: keep Serialize and Deserialize field order, version gates, and discarded legacy reads aligned.","Phase 10","CandidateForPhase11","Serialize:L748;Deserialize:L758;SerialCtor:L745;VersionWrite:L751;VersionRead:L762"
"P10-COM-0008","","10.2 Serialization Order And Versioning","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Nosferatu.cs","Server.Mobiles.Nosferatu","Serialize/Deserialize","Serialization","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","// Save format: keep Serialize and Deserialize field order, version gates, and discarded legacy reads aligned.","Phase 10","CandidateForPhase11","Serialize:L46;Deserialize:L53;SerialCtor:L43;VersionWrite:L49;VersionRead:L56"
"P10-COM-0009","","10.2 Serialization Order And Versioning","Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Ilhenir.cs","Server.Mobiles.StainedOoze","Serialize/Deserialize","Serialization","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","// Save format: keep Serialize and Deserialize field order, version gates, and discarded legacy reads aligned.","Phase 10","CandidateForPhase11","Serialize:L473;Deserialize:L482;SerialCtor:L470;VersionWrite:L477;VersionRead:L486"
"P10-COM-0010","","10.2 Serialization Order And Versioning","Data/Scripts/Custom/Champions/Mobiles/Champs-UO/LordOaks.cs","Server.Mobiles.LordOaks","Serialize/Deserialize","Serialization","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","// Save format: keep Serialize and Deserialize field order, version gates, and discarded legacy reads aligned.","Phase 10","CandidateForPhase11","Serialize:L255;Deserialize:L265;SerialCtor:L252;VersionWrite:L259;VersionRead:L269"
"P10-COM-0011","","10.2 Serialization Order And Versioning","Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Neira.cs","Server.Mobiles.Neira","Serialize/Deserialize","Serialization","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","// Save format: keep Serialize and Deserialize field order, version gates, and discarded legacy reads aligned.","Phase 10","CandidateForPhase11","Serialize:L310;Deserialize:L318;SerialCtor:L307;VersionWrite:L314;VersionRead:L322"
