"Id","Priority","Status","System","Category","File","Class","Evidence","Risk","Recommendation","Verification","Notes"
"SERIAL-0001","Critical","Open","Custom:Book Publisher [2.0]","WriteReadAlignment","Data/Scripts/Custom/Book Publisher [2.0]/PublishedBook.cs","Server.Items.PublishedBook","Serialize:L215;Deserialize:L193;SerialCtor:L190;VersionWrite:L218;VersionRead:L196","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0002","Critical","Open","Custom:CEO's GM Hiding Stone [2.0]","WriteReadAlignment","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs","Server.Items.GMHidingStone","Serialize:L748;Deserialize:L758;SerialCtor:L745;VersionWrite:L751;VersionRead:L762","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0003","High","Open","Custom:Champions","VersionHandling","Data/Scripts/Custom/Champions/Items/PlagueBeastBackpack.cs","Server.Items.PlagueBeastBackpack","Serialize:L209;Deserialize:L216;SerialCtor:L206","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0004","High","Open","Custom:Champions","VersionHandling","Data/Scripts/Custom/Champions/Items/PlagueBeastBlood.cs","Server.Items.PlagueBeastBlood","Serialize:L118;Deserialize:L125;SerialCtor:L115","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0005","High","Open","Custom:Champions","VersionHandling","Data/Scripts/Custom/Champions/Items/PlagueBeastGland.cs","Server.Items.PlagueBeastGland","Serialize:L20;Deserialize:L27;SerialCtor:L17","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0006","High","Open","Custom:Champions","VersionHandling","Data/Scripts/Custom/Champions/Items/PlagueBeastHeart.cs","Server.Items.PlagueBeastHeart","Serialize:L26;Deserialize:L33;SerialCtor:L23","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0007","High","Open","Custom:Champions","VersionHandling","Data/Scripts/Custom/Champions/Items/PlagueBeastInnard.cs","Server.Items.PlagueBeastComponent","Serialize:L176;Deserialize:L185;SerialCtor:L173","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0008","High","Open","Custom:Champions","VersionHandling","Data/Scripts/Custom/Champions/Items/PlagueBeastInnard.cs","Server.Items.PlagueBeastInnard","Serialize:L59;Deserialize:L66;SerialCtor:L56","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0009","High","Open","Custom:Champions","VersionHandling","Data/Scripts/Custom/Champions/Items/PlagueBeastMutationCore.cs","Server.Items.PlagueBeastMutationCore","Serialize:L64;Deserialize:L73;SerialCtor:L61","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0010","High","Open","Custom:Champions","VersionHandling","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs","Server.Items.PlagueBeastBackupOrgan","Serialize:L458;Deserialize:L467;SerialCtor:L455","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0011","High","Open","Custom:Champions","VersionHandling","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs","Server.Items.PlagueBeastMaidenOrgan","Serialize:L175;Deserialize:L182;SerialCtor:L172","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0012","High","Open","Custom:Champions","VersionHandling","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs","Server.Items.PlagueBeastMainOrgan","Serialize:L577;Deserialize:L586;SerialCtor:L574","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0013","High","Open","Custom:Champions","VersionHandling","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs","Server.Items.PlagueBeastOrgan","Serialize:L121;Deserialize:L132;SerialCtor:L118","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0014","High","Open","Custom:Champions","VersionHandling","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs","Server.Items.PlagueBeastRockOrgan","Serialize:L235;Deserialize:L242;SerialCtor:L232","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0015","High","Open","Custom:Champions","VersionHandling","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs","Server.Items.PlagueBeastRubbleOrgan","Serialize:L338;Deserialize:L347;SerialCtor:L335","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0016","High","Open","Custom:Champions","VersionHandling","Data/Scripts/Custom/Champions/Items/PlagueBeastVein.cs","Server.Items.PlagueBeastVein","Serialize:L73;Deserialize:L82;SerialCtor:L70","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0017","High","Open","Custom:Champions","VersionHandling","Data/Scripts/Custom/Champions/Mobiles/Minions/PlagueBeastLord.cs","Server.Mobiles.PlagueBeastLord","Serialize:L290;Deserialize:L308;SerialCtor:L287","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
