"TargetFolder","OwnershipRule","ExampleSystems","MovePolicy"
"Data/Scripts/Custom/Core","Small Confictura-native shared services that are not RunUO framework roots and do not own broad persistence surfaces.","CharacterLevelService only after progression boundary review","Design candidate; avoid PlayerMobile and framework roots."
"Data/Scripts/Custom/Progression","Confictura-native character progression systems and active-play progression helpers.","Character Level; Offline Skill Training","Allowed only as small batches with project truth updates."
"Data/Scripts/Custom/PvE","Confictura-native automated PvE objective systems.","Random Encounters; Monster Nests","Keep reward/balance review tied to Phase 9/10 findings."
"Data/Scripts/Custom/PvP","Confictura-native PvP consent, event gates, and combat-policy extensions.","PvP Consent","Requires consent/region/government policy review."
"Data/Scripts/Custom/Combat","Confictura-native combat behavior extensions that are not magic schools or core weapons.","AI Overhaul; OmniAI if isolated","Imported AI packages may be contained without restyling."
"Data/Scripts/Custom/Magic","Confictura-native magic extensions outside established `Data/Scripts/Magic` school roots.","Future custom magic utilities","Do not move established Magic root schools without separate save/build review."
"Data/Scripts/Custom/Economy","Confictura-native economy systems that are not RunUO vendors, banking, or Trades frameworks.","Government economy extensions","Requires economy-loop review."
"Data/Scripts/Custom/Crafting","Confictura-native custom crafting packages that are not existing Trades frameworks.","Homestead only if contained as an imported package","Preserve imported package structure."
"Data/Scripts/Custom/Housing","Custom housing extensions that do not belong in RunUO `Items/Houses` framework.","Future custom housing tools","Do not move core house items or save-heavy house signs."
"Data/Scripts/Custom/Travel","Custom travel tools outside RunUO boat and door framework code.","BoatNavigationTotem","Keep core boats in `Items/Boats`."
"Data/Scripts/Custom/Government","Confictura government package after persistence and project truth cleanup.","Government System","Folder move only; namespace/type rename forbidden without migration."
"Data/Scripts/Custom/Events","Staff or automated event packages that create temporary shard-wide gameplay.","Invasion System; Champions custom extensions","Review staff/event balance and save risk first."
"Data/Scripts/Custom/StaffTools","Staff-only commands, gumps, and world-editing tools.","Static Gump Tool; Staff Toolbar","Access review required before moves."
"Data/Scripts/Custom/Integrations","Bridge code between Confictura systems and imported services.","Random Encounter XMLSpawner bridges","Keep dependency comments and docs source traces aligned."
"Data/Scripts/Custom/Legacy","Compatibility shims retained for saves, commands, or old behavior.","Only after active hooks are classified.","Do not delete or disable from this phase."
"Data/Scripts/Custom/ThirdParty","Imported packages whose upstream shape matters to maintenance.","XMLSpawner; Homestead; Staff Toolbar; OmniAI","Contain or document; avoid style-only rewrites."
