"Commit","Date","Subject"
"f13d86de","2026-06-05T18:47:54-05:00","docs: record audit phase 13 commit"
"5c65b476","2026-06-05T18:46:57-05:00","docs: add repair backlog"
"f181e068","2026-06-05T18:39:09-05:00","docs: record audit phase 12 commit"
"6fc58b06","2026-06-05T18:38:03-05:00","docs: design reorganization plan"
"aa14f132","2026-06-05T18:31:00-05:00","docs: record audit phase 11 commit"
"7d9ad0c2","2026-06-05T18:29:52-05:00","docs: apply inline audit comments"
"cfdac941","2026-06-05T18:22:22-05:00","docs: record audit phase 10 commit"
"f87abe4d","2026-06-05T18:21:20-05:00","docs: add risk review tracks"
"143b1305","2026-06-05T18:11:25-05:00","docs: record audit phase 9 commit"
"c24f0037","2026-06-05T18:10:22-05:00","docs: add synergy conflict matrix"
"8e716592","2026-06-05T17:57:35-05:00","docs: record audit phase 8 commit"
"7daa0753","2026-06-05T17:56:22-05:00","docs: add dependency graph audit"
"f3f481ec","2026-06-05T17:40:57-05:00","docs: record audit phase 7 commit"
"151fe5a9","2026-06-05T17:39:43-05:00","docs: add documentation truth audit"
"50d95eb4","2026-06-05T17:29:50-05:00","docs: record audit phase 6 commit"
"63be46b2","2026-06-05T17:28:39-05:00","docs: add serialization save compatibility register"
"f7e6e254","2026-06-05T17:11:38-05:00","docs: record audit phase 5 commit"
"c5bba2fa","2026-06-05T17:10:39-05:00","docs: add runtime hook map"
"c81b6440","2026-06-05T17:02:36-05:00","docs: record audit phase 4 commit"
"9d0383eb","2026-06-05T17:01:31-05:00","docs: add high-risk system cards"
"56db567f","2026-06-05T16:56:15-05:00","docs: record audit phase 3 commit"
"851e0fa1","2026-06-05T16:55:13-05:00","docs: add cross-tree runtime inventory"
"8c47bb6c","2026-06-05T16:50:57-05:00","docs: record audit phase 2 commit"
"138d5959","2026-06-05T16:49:54-05:00","docs: add project truth register"
"8b11bfc9","2026-06-05T16:41:45-05:00","docs: record audit phase 1 commit"
"78341d10","2026-06-05T16:40:42-05:00","docs: add reproducible audit inventories"
"37828cd7","2026-06-05T16:32:59-05:00","docs: record audit phase 0 commit"
"87d75e24","2026-06-05T16:31:50-05:00","docs: complete audit phase 0 baseline"
"86659bba","2026-06-05T16:23:18-05:00","First commit of the Systems Audit and Reorganization branch."
"b52f9c54","2026-06-02T18:44:21-05:00","docs: complete development history coverage"
"721c8591","2026-06-02T18:37:28-05:00","docs: add development chronicle and preserve news archive"
"bdd893f5","2026-06-02T17:10:39-05:00","Update .gitignore"
"5b5936fe","2026-06-02T17:10:25-05:00","Update simulation state"
"32c74f33","2026-06-01T01:03:38-05:00","docs: clarify solution build configs"
"37a20f4f","2026-05-31T20:08:03-05:00","docs: add CCWM maintenance tooling"
"c8c2ef23","2026-05-27T17:32:40-05:00","update simulation state"
"8122ee4a","2026-05-25T01:04:06-05:00","docs: clarify agent workflow notes"
"ddfdfc52","2026-05-23T12:36:06-05:00","fix: prevent custom mobile double titles"
"1270a3bb","2026-05-23T09:48:25-05:00","Merge branch 'main' of https://github.com/Nephtan/ConficturaUO"
"db1a42e8","2026-05-23T09:48:22-05:00","Update .gitignore"
"04be25b2","2026-05-23T09:27:10-05:00","feat: update dungeon difficulty regions"
"74238d5c","2026-05-22T14:23:19-05:00","update ccwm simulation state"
"d40c73a9","2026-05-22T13:34:26-05:00","update simulation state"
"42c2c94f","2026-05-20T19:20:29-05:00","update simulation state"
"91d094e0","2026-05-20T19:19:20-05:00","docs: revise CCWM player simulation policy"
"81f7157d","2026-05-20T16:23:33-05:00","docs: add CCWM agent instructions"
"6b825b8f","2026-05-18T18:47:58-05:00","Update simulation state"
"62c2940e","2026-05-18T01:03:30-05:00","docs: correct AGENTS build guidance"
"8ea2a353","2026-05-17T10:38:41-05:00","travel segment first run update simulate state"
"8853c604","2026-05-17T10:10:21-05:00","docs: add CCWM travel segments"
"f3c74948","2026-05-17T10:04:59-05:00","Update simulation state"
"78bc1bcd","2026-05-16T19:15:57-05:00","docs: tighten CCWM automation truth model"
"e500d936","2026-05-16T18:34:16-05:00","update simulation state"
"e88e3c42","2026-05-15T21:49:03-05:00","agent loop break"
"7514ffaf","2026-05-15T21:23:51-05:00","update simulation state"
"1a672697","2026-05-15T20:52:15-05:00","Added AI tick phase"
"32873bb4","2026-05-15T16:13:31-05:00","docs: add ccwm hourly micro-batching"
"4de25750","2026-05-15T15:54:55-05:00","update simulation state"
"1b638ddc","2026-05-14T17:26:08-05:00","Tamed Fox and map markers update, current state"
"b1af75a0","2026-05-14T10:27:11-05:00","update simulation state"
