"Path","Root","PrimaryRole","System","Evidence","FollowUp"
"Data/Scripts/Custom/Book Publisher [2.0]/BookBuyInfo.cs","Custom","Unknown","Custom:Book Publisher [2.0]","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/Book Publisher [2.0]/SBPublisher.cs","Custom","Unknown","Custom:Book Publisher [2.0]","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/Book Publisher [2.0]/XmlBook.cs","Custom","Unknown","Custom:Book Publisher [2.0]","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/CloneOfflinePlayerCharacters/CloneThings.cs","Custom","Unknown","Custom:CloneOfflinePlayerCharacters","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/Mobiles/Godfrey2026/Godfrey2026Support.cs","Custom","Unknown","Custom:Mobiles","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/OrbRemoteServer/UOArchitect/BoundingBoxEx.cs","Custom","Unknown","Custom:OrbRemoteServer","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/OrbRemoteServer/UOArchitect/BuildDesignTarget.cs","Custom","Unknown","Custom:OrbRemoteServer","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/OrbRemoteServer/UOArchitect/MobileSaver.cs","Custom","Unknown","Custom:OrbRemoteServer","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/OrbRemoteServer/UOArchitect/UOAR_ObjectTarget.cs","Custom","Unknown","Custom:OrbRemoteServer","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/Searches/BaseEntry.cs","Custom","Unknown","Custom:Searches","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/Searches/CircleSearch.cs","Custom","Unknown","Custom:Searches","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/Searches/Helpers.cs","Custom","Unknown","Custom:Searches","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/Searches/LineSearch.cs","Custom","Unknown","Custom:Searches","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/Searches/OctantSearch.cs","Custom","Unknown","Custom:Searches","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/Searches/SpiralSearch.cs","Custom","Unknown","Custom:Searches","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/Searches/Types.cs","Custom","Unknown","Custom:Searches","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/ThirdParty/OmniAI/OmniAI Bushido.cs","Custom","Unknown","Custom:ThirdParty","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/ThirdParty/OmniAI/OmniAI Core.cs","Custom","Unknown","Custom:ThirdParty","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/ThirdParty/OmniAI/OmniAI Knightship.cs","Custom","Unknown","Custom:ThirdParty","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/ThirdParty/OmniAI/OmniAI Magery.cs","Custom","Unknown","Custom:ThirdParty","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/ThirdParty/OmniAI/OmniAI Necromancy.cs","Custom","Unknown","Custom:ThirdParty","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Mobiles/SBGardener.cs","Custom","Unknown","Custom:Vhaerun's CRL Homestead System [2.0]","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Juicing/DefJuicing.cs","Custom","Unknown","Custom:Vhaerun's CRL Homestead System [2.0]","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Juicing/Engine/FruitsInfo.cs","Custom","Unknown","Custom:Vhaerun's CRL Homestead System [2.0]","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Juicing/Engine/JuiceEnums.cs","Custom","Unknown","Custom:Vhaerun's CRL Homestead System [2.0]","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Juicing/Mobiles/SBJuiceMaker.cs","Custom","Unknown","Custom:Vhaerun's CRL Homestead System [2.0]","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/Voting/VoteHelper.cs","Custom","Unknown","Custom:Voting","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/Custom/Voting/VoteStatus.cs","Custom","Unknown","Custom:Voting","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Jail.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Channels/Alliance.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Channels/Faction.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Channels/Guild.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Channels/Irc.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Channels/Multi.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Channels/Public.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/General/CommandInfo.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/General/DefaultLocal.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/General/Filter.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/General/Logging.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/General/MultiConnection.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/General/TrackSpam.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Gumps/1.0 Skin/PmNotifyGump10.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Gumps/2.0 Skin/PmNotifyGump20.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Gumps/3.0 Skin/ChannelGump.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Gumps/3.0 Skin/EditNotGump.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Gumps/3.0 Skin/FilterGump.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Gumps/3.0 Skin/GeneralGump.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Gumps/3.0 Skin/GlobalGump.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Gumps/3.0 Skin/HelpContentsGump.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Gumps/3.0 Skin/HistoryGump.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Gumps/3.0 Skin/IrcGump.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
