"BatchId","ReviewRowId","BacklogId","SourceId","Priority","HistoricalStatus","Category","System","Files","OriginalEvidence","Risk","RecommendedFix","Decision","SourceEvidence","Action","Verification","ReviewedBatchId","ReviewedAt","Notes"
"POST-BATCH-F","PBF-001","RB-05603","P10-F05603","P3","Open","Economy and reward loops","Character Level <-> Offline Skill Training","","Labels=BalanceRisk;Bypasses;DocRisk;Supports; RiskKind=DocumentationRisk;ProgressionBalance; Evidence=Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Offline Skill Training:docs/wiki/offline-skill-training.md;Offline Skill Training:docs/wiki/offline-skill-training.md:L38;Phase 9 balance review: bypass intended danger or grants permanent power too quickly.","Balance;Player;Economy","Separate accepted convenience from progression bypass risk in the backlog.","DeferredBalanceDecision","Labels=BalanceRisk;Bypasses;DocRisk;Supports; RiskKind=DocumentationRisk;ProgressionBalance; Evidence=Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Offline Skill Training:docs/wiki/offline-skill-training.md;Offline Skill Training:docs/wiki/offline-skill-training.md:L38;Phase 9 balance review: bypass intended danger or grants permanent power too quickly.","No gameplay, economy, reward, source, XML, config, or project behavior changed; balance tuning requires an explicit design decision and source-specific follow-up.","Reviewed against regenerated synergy/conflict matrix and balance-risk list; no source edits were made.","POST-BATCH-F-01A","2026-06-13T19:48:57.0377992-05:00","Balance risk is intentionally separated from code correctness in POST-BATCH-F."
"POST-BATCH-F","PBF-002","RB-05604","P10-F05604","P3","Open","Economy and reward loops","Random Encounters <-> XMLSpawner","","Labels=BalanceRisk;Conflicts;DependsOn;DocRisk;StaffDependency; RiskKind=DocumentationRisk;MaintenanceCoupling;PvEBalance; Evidence=Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/RandomEncounters/EncounterEngine.cs:L16:XmlSpawner;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/RandomEncounters/Helpers.cs:L15:XmlSpawner;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/C...","Balance;Player;Economy","Review event reward and spawn precedence.;Review exact edges before moving files or changing behavior.","DeferredBalanceDecision","Labels=BalanceRisk;Conflicts;DependsOn;DocRisk;StaffDependency; RiskKind=DocumentationRisk;MaintenanceCoupling;PvEBalance; Evidence=Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/RandomEncounters/EncounterEngine.cs:L16:XmlSpawner;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/RandomEncounters/Helpers.cs:L15:XmlSpawner;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/C...","No gameplay, economy, reward, source, XML, config, or project behavior changed; balance tuning requires an explicit design decision and source-specific follow-up.","Reviewed against regenerated synergy/conflict matrix and balance-risk list; no source edits were made.","POST-BATCH-F-01A","2026-06-13T19:48:57.0377992-05:00","Balance risk is intentionally separated from code correctness in POST-BATCH-F."
"POST-BATCH-F","PBF-003","RB-05605","P10-F05605","P3","Open","Economy and reward loops","Random Encounters <-> Invasion","","Labels=BalanceRisk;DocRisk;StaffDependency; RiskKind=DocumentationRisk;PvEBalance; Evidence=Invasion:docs/wiki/Invasion_System.md;Invasion:docs/wiki/SystemAudit.md:L21;Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20","Balance;Player;Economy","Review event windows and reward stacking.","DeferredBalanceDecision","Labels=BalanceRisk;DocRisk;StaffDependency; RiskKind=DocumentationRisk;PvEBalance; Evidence=Invasion:docs/wiki/Invasion_System.md;Invasion:docs/wiki/SystemAudit.md:L21;Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20","No gameplay, economy, reward, source, XML, config, or project behavior changed; balance tuning requires an explicit design decision and source-specific follow-up.","Reviewed against regenerated synergy/conflict matrix and balance-risk list; no source edits were made.","POST-BATCH-F-01A","2026-06-13T19:48:57.0377992-05:00","Balance risk is intentionally separated from code correctness in POST-BATCH-F."
"POST-BATCH-F","PBF-004","RB-05606","P10-F05606","P3","Open","Economy and reward loops","Random Encounters <-> Champions","","Labels=BalanceRisk;DocRisk;Duplicates; RiskKind=DocumentationRisk;PvEBalance; Evidence=Champions:docs/wiki/Champion_Spawns.md;Champions:docs/wiki/Champion_Spawns.md:L82;Champions:docs/wiki/SystemAudit.md:L34;Champions:docs/wiki/wikibacklog.md;Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20","Balance;Player;Economy","Review reward cadence across automated PvE systems.","DeferredBalanceDecision","Labels=BalanceRisk;DocRisk;Duplicates; RiskKind=DocumentationRisk;PvEBalance; Evidence=Champions:docs/wiki/Champion_Spawns.md;Champions:docs/wiki/Champion_Spawns.md:L82;Champions:docs/wiki/SystemAudit.md:L34;Champions:docs/wiki/wikibacklog.md;Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20","No gameplay, economy, reward, source, XML, config, or project behavior changed; balance tuning requires an explicit design decision and source-specific follow-up.","Reviewed against regenerated synergy/conflict matrix and balance-risk list; no source edits were made.","POST-BATCH-F-01A","2026-06-13T19:48:57.0377992-05:00","Balance risk is intentionally separated from code correctness in POST-BATCH-F."
"POST-BATCH-F","PBF-005","RB-05607","P10-F05607","P3","Open","Economy and reward loops","Random Encounters <-> Monster Nests","","Labels=BalanceRisk;DocRisk;Duplicates; RiskKind=DocumentationRisk;PvEBalance; Evidence=Monster Nests:docs/wiki/Monster_Nest_System.md;Phase 9 player objective review: exploration goals.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20","Balance;Player;Economy","Keep distinct objective roles for encounters and nests.","DeferredBalanceDecision","Labels=BalanceRisk;DocRisk;Duplicates; RiskKind=DocumentationRisk;PvEBalance; Evidence=Monster Nests:docs/wiki/Monster_Nest_System.md;Phase 9 player objective review: exploration goals.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20","No gameplay, economy, reward, source, XML, config, or project behavior changed; balance tuning requires an explicit design decision and source-specific follow-up.","Reviewed against regenerated synergy/conflict matrix and balance-risk list; no source edits were made.","POST-BATCH-F-01A","2026-06-13T19:48:57.0377992-05:00","Balance risk is intentionally separated from code correctness in POST-BATCH-F."
"POST-BATCH-F","PBF-006","RB-05608","P10-F05608","P3","Open","Economy and reward loops","Random Encounters <-> Offline Skill Training","","Labels=BalanceRisk;Bypasses;DocRisk; RiskKind=DocumentationRisk;ProgressionBalance; Evidence=Offline Skill Training:docs/wiki/offline-skill-training.md;Offline Skill Training:docs/wiki/offline-skill-training.md:L38;Phase 9 balance review: bypass intended danger.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20","Balance;Player;Economy","Review offline gains against active encounter reward pacing.","DeferredBalanceDecision","Labels=BalanceRisk;Bypasses;DocRisk; RiskKind=DocumentationRisk;ProgressionBalance; Evidence=Offline Skill Training:docs/wiki/offline-skill-training.md;Offline Skill Training:docs/wiki/offline-skill-training.md:L38;Phase 9 balance review: bypass intended danger.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20","No gameplay, economy, reward, source, XML, config, or project behavior changed; balance tuning requires an explicit design decision and source-specific follow-up.","Reviewed against regenerated synergy/conflict matrix and balance-risk list; no source edits were made.","POST-BATCH-F-01A","2026-06-13T19:48:57.0377992-05:00","Balance risk is intentionally separated from code correctness in POST-BATCH-F."
"POST-BATCH-F","PBF-007","RB-05609","P10-F05609","P3","Open","Economy and reward loops","PvP Consent <-> Government","","Labels=BalanceRisk;Conflicts;DocRisk;Overrides; RiskKind=DocumentationRisk;PolicyConflict; Evidence=Government:docs/wiki/Government_System.md;Government:docs/wiki/Player_Government_System_Guide.md;Government:docs/wiki/SystemAudit.md:L24;Phase 9 conflict checklist: PvP Consent versus Government war and city-ban rules.;PvP Consent:docs/wiki/pvp-consent-system.md","Balance;Player;Economy","Create a repair/backlog item that reviews war, ban, region, and consent precedence together.","DeferredBalanceDecision","Labels=BalanceRisk;Conflicts;DocRisk;Overrides; RiskKind=DocumentationRisk;PolicyConflict; Evidence=Government:docs/wiki/Government_System.md;Government:docs/wiki/Player_Government_System_Guide.md;Government:docs/wiki/SystemAudit.md:L24;Phase 9 conflict checklist: PvP Consent versus Government war and city-ban rules.;PvP Consent:docs/wiki/pvp-consent-system.md","No gameplay, economy, reward, source, XML, config, or project behavior changed; balance tuning requires an explicit design decision and source-specific follow-up.","Reviewed against regenerated synergy/conflict matrix and balance-risk list; no source edits were made.","POST-BATCH-F-01A","2026-06-13T19:48:57.0377992-05:00","Balance risk is intentionally separated from code correctness in POST-BATCH-F."
"POST-BATCH-F","PBF-008","RB-05610","P10-F05610","P3","Open","Economy and reward loops","PvP Consent <-> XMLSpawner","","Labels=BalanceRisk;Bypasses;Conflicts;DependsOn;DocRisk;StaffDependency; RiskKind=DocumentationRisk;MaintenanceCoupling;PolicyConflict; Evidence=Phase 9 conflict checklist: XMLPoints event overrides versus normal PvP consent.;PvP Consent->XMLSpawner:DirectReference:Data/Scripts/Mobiles/Base/PlayerMobile.cs:L12:XmlSpawner;PvP Consent:docs/wiki/pvp-consent-system.md;XMLSpawner:docs/wiki/AI_OVERHAUL_AUDIT.md;XMLSpawner:docs/wiki/SystemAudit.md:L22;XMLSpawner:docs/wiki/XML_Spawner_Enhancements.md","Balance;Player;Economy","Require an explicit event override policy and staff documentation.;Review exact edges before moving files or changing behavior.","DeferredBalanceDecision","Labels=BalanceRisk;Bypasses;Conflicts;DependsOn;DocRisk;StaffDependency; RiskKind=DocumentationRisk;MaintenanceCoupling;PolicyConflict; Evidence=Phase 9 conflict checklist: XMLPoints event overrides versus normal PvP consent.;PvP Consent->XMLSpawner:DirectReference:Data/Scripts/Mobiles/Base/PlayerMobile.cs:L12:XmlSpawner;PvP Consent:docs/wiki/pvp-consent-system.md;XMLSpawner:docs/wiki/AI_OVERHAUL_AUDIT.md;XMLSpawner:docs/wiki/SystemAudit.md:L22;XMLSpawner:docs/wiki/XML_Spawner_Enhancements.md","No gameplay, economy, reward, source, XML, config, or project behavior changed; balance tuning requires an explicit design decision and source-specific follow-up.","Reviewed against regenerated synergy/conflict matrix and balance-risk list; no source edits were made.","POST-BATCH-F-01A","2026-06-13T19:48:57.0377992-05:00","Balance risk is intentionally separated from code correctness in POST-BATCH-F."
"POST-BATCH-F","PBF-009","RB-05611","P10-F05611","P3","Open","Economy and reward loops","Government <-> Homestead","","Labels=BalanceRisk;DocRisk;Supports; RiskKind=DocumentationRisk;EconomyBalance; Evidence=Government:docs/wiki/Government_System.md;Government:docs/wiki/Player_Government_System_Guide.md;Government:docs/wiki/SystemAudit.md:L24;Homestead:docs/wiki/Farmable_Crops_System.md;Homestead:docs/wiki/Homestead_System.md;Homestead:docs/wiki/Standard_Crafting.md:L234;Homestead:docs/wiki/SystemAudit.md:L27;Phase 9 synergy checklist: Homestead deepening non-combat economy.","Balance;Player;Economy","Preserve civic economy hooks but backlog balance review for production and treasury loops.","DeferredBalanceDecision","Labels=BalanceRisk;DocRisk;Supports; RiskKind=DocumentationRisk;EconomyBalance; Evidence=Government:docs/wiki/Government_System.md;Government:docs/wiki/Player_Government_System_Guide.md;Government:docs/wiki/SystemAudit.md:L24;Homestead:docs/wiki/Farmable_Crops_System.md;Homestead:docs/wiki/Homestead_System.md;Homestead:docs/wiki/Standard_Crafting.md:L234;Homestead:docs/wiki/SystemAudit.md:L27;Phase 9 synergy checklist: Homestead deepening non-combat economy.","No gameplay, economy, reward, source, XML, config, or project behavior changed; balance tuning requires an explicit design decision and source-specific follow-up.","Reviewed against regenerated synergy/conflict matrix and balance-risk list; no source edits were made.","POST-BATCH-F-01A","2026-06-13T19:48:57.0377992-05:00","Balance risk is intentionally separated from code correctness in POST-BATCH-F."
"POST-BATCH-F","PBF-010","RB-05612","P10-F05612","P3","Open","Economy and reward loops","Government <-> Vendor Core","","Labels=BalanceRisk;DependsOn;DocRisk;Supports; RiskKind=DocumentationRisk;EconomyBalance;MaintenanceCoupling; Evidence=Government->Vendor Core:DirectReference:Data/Scripts/Custom/Government System/CityUpgradeSystem.cs:L93:Vendor;Government->Vendor Core:DirectReference:Data/Scripts/Custom/Government System/Gumps/CityManagementGump.cs:L184:Vendor;Government->Vendor Core:DirectReference:Data/Scripts/Custom/Government System/Gumps/CityMarketGump.cs:L30:Vendor;Government->Vendor Core:DirectReferen...","Balance;Player;Economy","Review exact edges before moving files or changing behavior.;Review tax/vendor reward loops before tuning economy changes.","DeferredBalanceDecision","Labels=BalanceRisk;DependsOn;DocRisk;Supports; RiskKind=DocumentationRisk;EconomyBalance;MaintenanceCoupling; Evidence=Government->Vendor Core:DirectReference:Data/Scripts/Custom/Government System/CityUpgradeSystem.cs:L93:Vendor;Government->Vendor Core:DirectReference:Data/Scripts/Custom/Government System/Gumps/CityManagementGump.cs:L184:Vendor;Government->Vendor Core:DirectReference:Data/Scripts/Custom/Government System/Gumps/CityMarketGump.cs:L30:Vendor;Government->Vendor Core:DirectReferen...","No gameplay, economy, reward, source, XML, config, or project behavior changed; balance tuning requires an explicit design decision and source-specific follow-up.","Reviewed against regenerated synergy/conflict matrix and balance-risk list; no source edits were made.","POST-BATCH-F-01A","2026-06-13T19:48:57.0377992-05:00","Balance risk is intentionally separated from code correctness in POST-BATCH-F."
