"NoteId","Systems","Synergy","PreserveDuringReorg","Evidence","Verification"
"KEEP-0001","Character Level <-> Random Encounters","Dependency graph has hard source/runtime/save/project/config edges between these systems.;Encounter objectives can use level state to scale goals and pacing.","Preserve the level-to-encounter relationship during cleanup and document the contract.;Review exact edges before moving files or changing behavior.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Phase 9 synergy checklist: Character Level making Random Encounters objective-aware.;Random Encounters->Character Level:DirectReference:Data/Scripts/Custom/RandomEncounters/Helpers.cs:L117:CharacterLevelService;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"KEEP-0002","Character Level <-> Offline Skill Training","Offline training can support progression goals but can bypass active-play danger and objective pacing.","Separate accepted convenience from progression bypass risk in the backlog.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Offline Skill Training:docs/wiki/offline-skill-training.md;Offline Skill Training:docs/wiki/offline-skill-training.md:L38;Phase 9 balance review: bypass intended danger or grants permanent power too quickly.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"KEEP-0003","Government <-> Homestead","Homestead production can deepen non-combat economy if civic taxes and vendor flows are bounded.","Preserve civic economy hooks but backlog balance review for production and treasury loops.","Government:docs/wiki/Government_System.md;Government:docs/wiki/Player_Government_System_Guide.md;Government:docs/wiki/SystemAudit.md:L24;Homestead:docs/wiki/Farmable_Crops_System.md;Homestead:docs/wiki/Homestead_System.md;Homestead:docs/wiki/Standard_Crafting.md:L248;Homestead:docs/wiki/SystemAudit.md:L27;Phase 9 synergy checklist: Homestead deepening non-combat economy.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"KEEP-0004","Government <-> Housing","Civic systems can give housing ownership a social and territorial purpose.;Dependency graph has hard source/runtime/save/project/config edges between these systems.","Keep civic ownership and housing claims explicit in reorganization design.;Review exact edges before moving files or changing behavior.","Government->Housing:DirectReference:Data/Scripts/Custom/Government System/Items/Stones/CityManagementStone.cs:L1381:BaseHouse;Government->Housing:DirectReference:Data/Scripts/Custom/Government System/NPC Vendor Mall 2.1/LandLord.cs:L19:BaseHouse;Government->Housing:DirectReference:Data/Scripts/Custom/Government System/NPC Vendor Mall 2.1/MallToken.cs:L18:BaseHouse;Government->Housing:DirectReference:Data/Scripts/Custom/Government System/PlayerGovernmentSystem.cs:L292:BaseHouse;Government:docs...","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"KEEP-0005","Government <-> Vendor Core","City vendors, taxes, and treasuries can create civic economy goals, but can also distort gold flow.;Dependency graph has hard source/runtime/save/project/config edges between these systems.","Review exact edges before moving files or changing behavior.;Review tax/vendor reward loops before tuning economy changes.","Government->Vendor Core:DirectReference:Data/Scripts/Custom/Government System/CityUpgradeSystem.cs:L93:Vendor;Government->Vendor Core:DirectReference:Data/Scripts/Custom/Government System/Gumps/CityManagementGump.cs:L184:Vendor;Government->Vendor Core:DirectReference:Data/Scripts/Custom/Government System/Gumps/CityMarketGump.cs:L30:Vendor;Government->Vendor Core:DirectReference:Data/Scripts/Custom/Government System/Gumps/GovHelpGump.cs:L85:Vendor;Government:docs/wiki/Government_System.md;Gove...","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"KEEP-0006","Homestead <-> Crafting Core","Dependency graph has hard source/runtime/save/project/config edges between these systems.;Homestead expands crafting into production loops that need pacing and resource review.","Review exact edges before moving files or changing behavior.;Treat production loops as balance risk, not a serializer/build correctness issue.","Crafting Core:docs/wiki/Apiculture_Beekeeping.md;Crafting Core:docs/wiki/Crafting_Core.md;Crafting Core:docs/wiki/Standard_Crafting.md:L248;Crafting Core:docs/wiki/Standard_Crafting.md:L249;Homestead->Crafting Core:DirectReference:Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Craft/DefWinecrafting.cs:L11:CraftSystem;Homestead->Crafting Core:DirectReference:Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Items/Craft ...","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"KEEP-0007","Homestead <-> Harvest System","Harvest resources feed homestead production and can accelerate non-combat progression.","Review resource rates before economy tuning.","Harvest System:docs/wiki/Apiculture_Beekeeping.md:L313;Harvest System:docs/wiki/Farmable_Crops_System.md;Harvest System:docs/wiki/Grave_Robbing_Trade.md;Harvest System:docs/wiki/Standard_Crafting.md:L249;Homestead:docs/wiki/Farmable_Crops_System.md;Homestead:docs/wiki/Homestead_System.md;Homestead:docs/wiki/Standard_Crafting.md:L248;Homestead:docs/wiki/SystemAudit.md:L27;Phase 9 conflict checklist: crafting/resource loops versus progression pacing.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"KEEP-0008","Homestead <-> Gardening","Dependency graph has hard source/runtime/save/project/config edges between these systems.;Gardening and crops can support homestead production, food, and trade loops.","Preserve non-combat depth but backlog resource-loop tuning.;Review exact edges before moving files or changing behavior.","Gardening:docs/wiki/Misc_Core_Systems.md;Gardening:docs/wiki/SystemAudit.md:L40;Homestead->Gardening:DirectReference:Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Mobiles/SBGardener.cs:L40:PlantBowl;Homestead:docs/wiki/Farmable_Crops_System.md;Homestead:docs/wiki/Homestead_System.md;Homestead:docs/wiki/Standard_Crafting.md:L248;Homestead:docs/wiki/SystemAudit.md:L27;Phase 9 synergy checklist: Homestead deepening non-combat economy.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"KEEP-0009","XMLSpawner <-> Invasion","XMLSpawner can provide event tooling and quest/event behaviors for invasion-style content.","Preserve staff event tooling while documenting manual dependencies.","Invasion:docs/wiki/Invasion_System.md;Invasion:docs/wiki/SystemAudit.md:L21;Phase 9 synergy checklist: XMLSpawner supporting staff events and quests.;XMLSpawner:docs/wiki/SystemAudit.md:L22;XMLSpawner:docs/wiki/XML_Spawner_Enhancements.md","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"KEEP-0010","XMLSpawner <-> Champions","XMLSpawner can support champion/event content, but staff rewards can stack with normal champion rewards.","Document staff event overrides and reward policy.","Champions:docs/wiki/Champion_Spawns.md;Champions:docs/wiki/Champion_Spawns.md:L82;Champions:docs/wiki/SystemAudit.md:L34;Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;XMLSpawner:docs/wiki/SystemAudit.md:L22;XMLSpawner:docs/wiki/XML_Spawner_Enhancements.md","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
