"NonIssueId","Track","System","File","Evidence","Reason","Verification"
"P10-NI-0001","10.1 Build Inclusion Drift","Scripts Project","Data/Scripts/Scripts.csproj","Keep rows=12978","Rows marked Keep exist on disk and are included in Scripts.csproj, so they are not Phase 10 drift findings.","Re-run New-ProjectTruthRegister.ps1 after project edits."
"P10-NI-0002","10.2 Serialization Order And Versioning","World Save Loader","","Aligned serializer rows=8228","These serializer rows have detected Serial constructors, base calls first, and aligned known write/read counts; no Phase 10 finding was generated for this aggregate.","Re-run New-SerializationRegister.ps1 after serializer edits."
"P10-NI-0003","10.3 Global Hooks And Startup Side Effects","Runtime Hook Map","","Medium guarded hook rows=1347","Medium-risk hook rows with detected guard markers are tracked but not promoted to Phase 10 findings.","Re-run New-RuntimeHookMap.ps1 after hook edits."
"P10-NI-0004","10.4 Packet Handlers","Packet Handler Register","","Guarded packet rows=15","Packet rows with detected NullGuard and PacketReadGuard markers remain findings because packet entry points are critical, but guard evidence is recorded as a non-issue aggregate.","Manual source review required before changing packet handlers."
"P10-NI-0005","10.5 Gump Response Validation","Gump Response Register","","Rows with no generated bounds/null-state review need=3844","Rows without generated bounds/null-state flags remain tracked in Phase 5 but are not additional Phase 10 findings unless high-risk.","Manual source review remains required before behavior edits."
"P10-NI-0006","10.6 Command Access And Input Validation","Command Register","","Rows with duplicate count 0=474","These command rows have no generated duplicate-command signal; access and argument review may still be required before source edits.","Re-run command register after command edits."
"P10-NI-0007","10.7 Pooled Enumerable Ownership","Pooled Enumerable Scan","","Rows with file-level Free call and no direct foreach=244","These rows have a file-level Free marker and are not promoted unless method-level review later finds a leak.","Manual method-level review remains required before source edits."
"P10-NI-0008","10.8 Region And Map Assumptions","Regions","","NoLink region matrix rows=3","Phase 9 generated no direct relationship for these region pairs; no Phase 10 region finding was generated for those rows.","Re-run dependency graph and synergy matrix after source edits."
"P10-NI-0009","10.9 PlayerMobile Field Coupling","PlayerMobile Core","Data/Scripts/Mobiles/Base/PlayerMobile.cs","PlayerMobile tracked as DoNotMove in Phase 6.","The audit already marks PlayerMobile as a do-not-move save surface, so Phase 10 does not approve any rename/move.","Manual migration plan and save-load test required before any rename or move."
"P10-NI-0010","10.10 Economy And Reward Loops","Economy Systems","","Positive economy/crafting/housing support rows=10","Positive synergies are preservation notes rather than repair findings unless also labeled BalanceRisk.","Rerun Phase 9 matrix after economy edits."
"P10-NI-0011","10.11 Staff Tooling","Staff Dependency Register","","Staff dependency rows=32","Staff dependencies are visible in a focused register; Phase 10 does not require source edits for visibility alone.","Manual staff workflow review remains required before tool changes."
"P10-NI-0012","10.12 Legacy Compatibility","Legacy Compatibility","","No source deletion was performed in Phase 10.","Legacy review remains analysis-only; no compatibility shim was removed.","Future deletion requires project truth, serializer, hook, and build verification."
"P10-NI-0013","10.13 XML And Config Schemas","XML/config dependencies","","XMLConfig dependency edges=118","XML/config references are explicitly visible as dependency graph edges; no source edit is required to make the relationship visible.","Rerun dependency graph after config/source edits."
"P10-NI-0014","10.14 Documentation Contradictions","Documentation","","Documentation risk rows already source-traced=0","Source-traced rows can still carry stale or alias risks, but source trace presence is recorded as a non-issue signal.","Rerun documentation truth audit after docs edits."
