"Path","IncludePath","DriftClass","LikelySystem","ProposedFix","Verification"
"Data/Scripts/Custom/Government System/Resourcebox/ResourceBoxGump.cs","Custom\Government System\Resourcebox\ResourceBoxGump.cs","MovedGumpFolder","Custom:Government System","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/PvPConsent/PKNONPKGUMP.cs","Custom\PvPConsent\PKNONPKGUMP.cs","MovedGumpFolder","Custom:PvPConsent","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Cooking/Package Systems/Crystal's Cheese System/CheeseForm_gump.cs","Custom\Vhaerun%27s CRL Homestead System [2.0]\Vhaerun%27s CRL Cooking\Package Systems\Crystal%27s Cheese System\CheeseForm_gump.cs","MovedGumpFolder","Custom:Vhaerun's CRL Homestead System [2.0]","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/UpRootGump.cs","Custom\Vhaerun%27s CRL Homestead System [2.0]\Vhaerun%27s CRL Crops\UpRootGump.cs","MovedGumpFolder","Custom:Vhaerun's CRL Homestead System [2.0]","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/XMLSpawner/XmlAttach/XmlGetAttachGump.cs","Custom\XMLSpawner\XmlAttach\XmlGetAttachGump.cs","MovedGumpFolder","Custom:XMLSpawner","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeGames/CTFGump.cs","Custom\XMLSpawner\XmlPoints PvP\ChallengeGames\CTFGump.cs","MovedGumpFolder","Custom:XMLSpawner","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeGames/DeathBallGump.cs","Custom\XMLSpawner\XmlPoints PvP\ChallengeGames\DeathBallGump.cs","MovedGumpFolder","Custom:XMLSpawner","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeGames/DeathmatchGump.cs","Custom\XMLSpawner\XmlPoints PvP\ChallengeGames\DeathmatchGump.cs","MovedGumpFolder","Custom:XMLSpawner","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeGames/KingOfTheHillGump.cs","Custom\XMLSpawner\XmlPoints PvP\ChallengeGames\KingOfTheHillGump.cs","MovedGumpFolder","Custom:XMLSpawner","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeGames/LastManStandingGump.cs","Custom\XMLSpawner\XmlPoints PvP\ChallengeGames\LastManStandingGump.cs","MovedGumpFolder","Custom:XMLSpawner","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeGames/TeamDeathballGump.cs","Custom\XMLSpawner\XmlPoints PvP\ChallengeGames\TeamDeathballGump.cs","MovedGumpFolder","Custom:XMLSpawner","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeGames/TeamDeathmatchGump.cs","Custom\XMLSpawner\XmlPoints PvP\ChallengeGames\TeamDeathmatchGump.cs","MovedGumpFolder","Custom:XMLSpawner","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeGames/TeamKotHGump.cs","Custom\XMLSpawner\XmlPoints PvP\ChallengeGames\TeamKotHGump.cs","MovedGumpFolder","Custom:XMLSpawner","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeGames/TeamLMSGump.cs","Custom\XMLSpawner\XmlPoints PvP\ChallengeGames\TeamLMSGump.cs","MovedGumpFolder","Custom:XMLSpawner","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/PointsRewardGump.cs","Custom\XMLSpawner\XmlPoints PvP\PointsRewardGump.cs","MovedGumpFolder","Custom:XMLSpawner","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/XMLSpawner/XmlQuest/QuestLogGump.cs","Custom\XMLSpawner\XmlQuest\QuestLogGump.cs","MovedGumpFolder","Custom:XMLSpawner","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/XMLSpawner/XmlQuest/QuestRewardGump.cs","Custom\XMLSpawner\XmlQuest\QuestRewardGump.cs","MovedGumpFolder","Custom:XMLSpawner","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/XMLSpawner/XmlQuest/XmlPlayerQuestGump.cs","Custom\XMLSpawner\XmlQuest\XmlPlayerQuestGump.cs","MovedGumpFolder","Custom:XMLSpawner","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/XMLSpawner/XmlQuest/XmlQuestBookGump.cs","Custom\XMLSpawner\XmlQuest\XmlQuestBookGump.cs","MovedGumpFolder","Custom:XMLSpawner","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/XMLSpawner/XmlQuest/XmlQuestGumps.cs","Custom\XMLSpawner\XmlQuest\XmlQuestGumps.cs","MovedGumpFolder","Custom:XMLSpawner","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/XMLSpawner/XmlQuest/XmlQuestHolderGumps.cs","Custom\XMLSpawner\XmlQuest\XmlQuestHolderGumps.cs","MovedGumpFolder","Custom:XMLSpawner","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/XMLSpawner/XmlSpawnerGumps.cs","Custom\XMLSpawner\XmlSpawnerGumps.cs","MovedGumpFolder","Custom:XMLSpawner","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/XMLSpawner/XmlUtils/XmlCategorizedAddGump.cs","Custom\XMLSpawner\XmlUtils\XmlCategorizedAddGump.cs","MovedGumpFolder","Custom:XMLSpawner","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Custom/XMLSpawner/XmlUtils/XmlPartialCategorizedAddGump.cs","Custom\XMLSpawner\XmlUtils\XmlPartialCategorizedAddGump.cs","MovedGumpFolder","Custom:XMLSpawner","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Items/Boats/ConfirmDryDockGump.cs","Items\Boats\ConfirmDryDockGump.cs","MovedGumpFolder","Items:Boats","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Items/Boats/FindboatGump.cs","Items\Boats\FindboatGump.cs","MovedGumpFolder","Items:Boats","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Items/Boats/TillerManGump.cs","Items\Boats\TillerManGump.cs","MovedGumpFolder","Items:Boats","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Items/Books/BulletinBoards/BoardGump.cs","Items\Books\BulletinBoards\BoardGump.cs","MovedGumpFolder","Items:Books","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Items/Gifts/Crystal Token Gump.cs","Items\Gifts\Crystal Token Gump.cs","MovedGumpFolder","Items:Gifts","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Items/Gifts/NinthAnniversaryCoinGump.cs","Items\Gifts\NinthAnniversaryCoinGump.cs","MovedGumpFolder","Items:Gifts","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Items/Gifts/Shadow Token Gump.cs","Items\Gifts\Shadow Token Gump.cs","MovedGumpFolder","Items:Gifts","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Items/Houses/Monopoly/Gumps/Error Reporting/ErrorsGump.cs","Items\Houses\Monopoly\Gumps\Error Reporting\ErrorsGump.cs","MovedGumpFolder","Items:Houses","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Items/Houses/Monopoly/Gumps/Error Reporting/ErrorsNotifyGump.cs","Items\Houses\Monopoly\Gumps\Error Reporting\ErrorsNotifyGump.cs","MovedGumpFolder","Items:Houses","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Items/Houses/Remodeling/ConfirmRemoveGump.cs","Items\Houses\Remodeling\ConfirmRemoveGump.cs","MovedGumpFolder","Items:Houses","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
