"CurrentPath","TargetPath","System","Reason","NamespaceChange","SaveRisk","SerializedTypeCount","RiskFindingCount","ProjectUpdate","DocsUpdate","Verification","Rollback","ApprovalGate","Phase12Status"
"Data/Scripts/Custom/CharacterLevel","Data/Scripts/Custom/Progression/CharacterLevel","Character Level","Progression service is Confictura-native and already isolated.","NoneAllowedForFirstMove","SafeNoSerializedTypesDetected","0","6","Update 4 Scripts.csproj include rows after the move; rerun project truth.","docs/wiki/Character_Level_Recon_Report.md;docs/wiki/Confictura_Introduction.md;docs/wiki/Random_Encounter_Engine.md","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired.","Move Data/Scripts/Custom/Progression/CharacterLevel back to Data/Scripts/Custom/CharacterLevel, restore previous Scripts.csproj includes, rerun project truth, and revert docs source traces.","After Phase 2 project drift repair and focused Scripts.csproj update.","DesignOnlyNotExecuted"
"Data/Scripts/Custom/Offline Skill Training","Data/Scripts/Custom/Progression/OfflineSkillTraining","Offline Skill Training","Progression convenience system belongs with progression review, not loose Custom root.","NoneAllowedForFirstMove","CautionFileMoveAllowedOnlyWithoutNamespaceOrTypeRename","170","7","Update 14 Scripts.csproj include rows after the move; rerun project truth.","docs/wiki/offline-skill-training.md","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired.","Move Data/Scripts/Custom/Progression/OfflineSkillTraining back to Data/Scripts/Custom/Offline Skill Training, restore previous Scripts.csproj includes, rerun project truth, and revert docs source traces.","After serializer review and project truth repair.","DesignOnlyNotExecuted"
"Data/Scripts/Custom/RandomEncounters","Data/Scripts/Custom/PvE/RandomEncounters","Random Encounters","Automated PvE objective system with Character Level and XMLSpawner dependencies.","NoneAllowedForFirstMove","CautionFileMoveAllowedOnlyWithoutNamespaceOrTypeRename","2","17","Update 22 Scripts.csproj include rows after the move; rerun project truth.","docs/wiki/Random_Encounter_Engine.md;docs/wiki/Search_System.md","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired.","Move Data/Scripts/Custom/PvE/RandomEncounters back to Data/Scripts/Custom/RandomEncounters, restore previous Scripts.csproj includes, rerun project truth, and revert docs source traces.","After dependency docs update and project truth repair.","DesignOnlyNotExecuted"
"Data/Scripts/Custom/MonsterNest","Data/Scripts/Custom/PvE/MonsterNests","Monster Nests","Automated PvE objective system should be reviewed with Random Encounters and Champions.","NoneAllowedForFirstMove","CautionFileMoveAllowedOnlyWithoutNamespaceOrTypeRename","6","2","Update 12 Scripts.csproj include rows after the move; rerun project truth.","docs/wiki/Monster_Nest_System.md","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired.","Move Data/Scripts/Custom/PvE/MonsterNests back to Data/Scripts/Custom/MonsterNest, restore previous Scripts.csproj includes, rerun project truth, and revert docs source traces.","Only after serializer paths are source-reviewed.","DesignOnlyNotExecuted"
"Data/Scripts/Custom/PvPConsent","Data/Scripts/Custom/PvP/PvPConsent","PvP Consent","Consent/event gate code should be grouped with PvP policy extensions.","NoneAllowedForFirstMove","CautionFileMoveAllowedOnlyWithoutNamespaceOrTypeRename","5","44","Update 10 Scripts.csproj include rows after the move; rerun project truth.","docs/wiki/PvP_Consent_System.md;docs/wiki/pvp-consent-system.md","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired.","Move Data/Scripts/Custom/PvP/PvPConsent back to Data/Scripts/Custom/PvPConsent, restore previous Scripts.csproj includes, rerun project truth, and revert docs source traces.","After PvP Consent, Government, Regions, XMLPoints, and PlayerMobile policy review.","DesignOnlyNotExecuted"
"Data/Scripts/Custom/Government System","Data/Scripts/Custom/Government/GovernmentSystem","Government","Large Confictura-native civic package would gain clearer ownership.","ForbiddenWithoutMigration","CautionFileMoveAllowedOnlyWithoutNamespaceOrTypeRename","144","268","Update 412 Scripts.csproj include rows after the move; rerun project truth.","docs/wiki/Government_System.md;docs/wiki/Player_Government_System_Guide.md","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired.","Move Data/Scripts/Custom/Government/GovernmentSystem back to Data/Scripts/Custom/Government System, restore previous Scripts.csproj includes, rerun project truth, and revert docs source traces.","Requires explicit approval because 148 serialized files and many gumps/hooks are involved.","DesignOnlyNotExecuted"
"Data/Scripts/Custom/Invasion System","Data/Scripts/Custom/Events/InvasionSystem","Invasion","Staff event package belongs under Events if package shape remains intact.","NoneAllowedForFirstMove","CautionFileMoveAllowedOnlyWithoutNamespaceOrTypeRename","76","311","Update 200 Scripts.csproj include rows after the move; rerun project truth.","docs/wiki/Invasion_System.md","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired.","Move Data/Scripts/Custom/Events/InvasionSystem back to Data/Scripts/Custom/Invasion System, restore previous Scripts.csproj includes, rerun project truth, and revert docs source traces.","Requires staff workflow docs and serializer review.","DesignOnlyNotExecuted"
"Data/Scripts/Custom/AIOverhaul","Data/Scripts/Custom/Combat/AIOverhaul","AI Overhaul","Small Confictura-native combat behavior extension already isolated.","NoneAllowedForFirstMove","SafeNoSerializedTypesDetected","0","2","Update 1 Scripts.csproj include rows after the move; rerun project truth.","docs/wiki/AI_OVERHAUL_AUDIT.md;docs/wiki/Creature_AI_Core.md","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired.","Move Data/Scripts/Custom/Combat/AIOverhaul back to Data/Scripts/Custom/AIOverhaul, restore previous Scripts.csproj includes, rerun project truth, and revert docs source traces.","Respect nested AGENTS.md under current folder.","DesignOnlyNotExecuted"
"Data/Scripts/Custom/OmniAI","Data/Scripts/Custom/ThirdParty/OmniAI","OmniAI","Imported AI package should be contained rather than restyled.","NoneAllowedForFirstMove","CautionFileMoveAllowedOnlyWithoutNamespaceOrTypeRename","1","9","Update 16 Scripts.csproj include rows after the move; rerun project truth.","docs/wiki/AI_OVERHAUL_AUDIT.md;docs/wiki/Misc_Magic_Spells.md;docs/wiki/OmniAI.md","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired.","Move Data/Scripts/Custom/ThirdParty/OmniAI back to Data/Scripts/Custom/OmniAI, restore previous Scripts.csproj includes, rerun project truth, and revert docs source traces.","Review AI Overhaul overlap first.","DesignOnlyNotExecuted"
"Data/Scripts/Custom/OzThothStaticGump","Data/Scripts/Custom/StaffTools/StaticGumpTool","Static Gump Tool","Staff-only static gump tool belongs with staff tooling.","NoneAllowedForFirstMove","SafeNoSerializedTypesDetected","0","361","Update 42 Scripts.csproj include rows after the move; rerun project truth.","docs/wiki/Static_Gump_Tool.md","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired.","Move Data/Scripts/Custom/StaffTools/StaticGumpTool back to Data/Scripts/Custom/OzThothStaticGump, restore previous Scripts.csproj includes, rerun project truth, and revert docs source traces.","Respect nested AGENTS.md under current folder.","DesignOnlyNotExecuted"
"Data/Scripts/Custom/Staff Toolbar [2.0]","Data/Scripts/Custom/ThirdParty/Staff Toolbar [2.0]","Staff Toolbar","Imported staff toolbar package should be contained without restyling.","NoneAllowedForFirstMove","CautionFileMoveAllowedOnlyWithoutNamespaceOrTypeRename","1","4","Update 2 Scripts.csproj include rows after the move; rerun project truth.","docs/wiki/Staff_Toolbar.md","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired.","Move Data/Scripts/Custom/ThirdParty/Staff Toolbar [2.0] back to Data/Scripts/Custom/Staff Toolbar [2.0], restore previous Scripts.csproj includes, rerun project truth, and revert docs source traces.","Access and staff workflow review required.","DesignOnlyNotExecuted"
"Data/Scripts/Custom/XMLSpawner","Data/Scripts/Custom/ThirdParty/XMLSpawner","XMLSpawner","XMLSpawner is imported/shared infrastructure and should be contained only if it reduces confusion.","ForbiddenWithoutMigration","CautionFileMoveAllowedOnlyWithoutNamespaceOrTypeRename","100","372","Update 266 Scripts.csproj include rows after the move; rerun project truth.","docs/wiki/AI_OVERHAUL_AUDIT.md;docs/wiki/XML_Spawner_Enhancements.md","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired.","Move Data/Scripts/Custom/ThirdParty/XMLSpawner back to Data/Scripts/Custom/XMLSpawner, restore previous Scripts.csproj includes, rerun project truth, and revert docs source traces.","Requires explicit approval; packet, attachment, world save/load, and project truth risks are high.","DesignOnlyNotExecuted"
