"Category","RequiredVerification","BuildRequired"
"Documentation contradictions","Run New-DocumentationTruthAudit.ps1; check source traces and aliases; run git diff --check.","No unless source/project files changed."
"Project include drift","Run New-ProjectTruthRegister.ps1; compare missing/unincluded deltas; run maintained solution or Scripts.csproj build.","Yes."
"Save compatibility","Run New-SerializationRegister.ps1 before/after; compare write/read order and version gates; run build; perform save-load test where available.","Yes."
"Runtime hooks","Run New-RuntimeHookMap.ps1; review access/null/deleted/range/map guards; run build.","Yes."
"Packet handlers","Review packet ids/lengths/NetState/access; run New-RuntimeHookMap.ps1; build.","Yes."
"Gump guards","Review OnResponse button/text/null/deleted/stale-list guards; run runtime hook/gump scan; build.","Yes."
"Pooled enumerables","Run Phase 10 pooled enumerable scan; confirm Free on all paths; build.","Yes."
"Folder and namespace cleanup","Project truth, docs truth, dependency graph, serialization register, and build after every move; rollback path checked.","Yes."
"Inline comments","Run comment target register; git diff --check; build if source comments changed and project truth allows.","Yes for source comments."
"Economy and reward loops","Review source reward/resource paths; rerun synergy matrix; build if source changes.","Only if source changes."
