"RiskId","System","DocPath","Title","RiskReason","CanonicalPage","SourceTracePresent","StaleClaims","MissingSourceFiles","ExistingBacklogIds","GeneratedBacklogId","Recommendation","Evidence"
"DOC-RISK-0001","Unknown","docs/CCWM/Confictura_Codex_World_Map.md","Confictura Codex World Map","Stale or Needs Rework marker present","Support","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0001","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/CCWM/Confictura_Codex_World_Map.md"
"DOC-RISK-0002","Unknown","docs/CCWM/generated/Run_Index.md","CCWM Run Index","Stale or Needs Rework marker present","Support","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0002","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/CCWM/generated/Run_Index.md"
"DOC-RISK-0003","Unknown","docs/wiki/Access_Level_Stone.md","Access Level Stone","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0003","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Access_Level_Stone.md"
"DOC-RISK-0004","Bulk Orders","docs/wiki/Animal_Shape_Stones.md","System Name: Animal Shape Stones","Missing source-backed claim or alias cleanup needed","Canonical","No","","","WIKI-0015","","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Animal_Shape_Stones.md"
"DOC-RISK-0005","PlayerMobile Core","docs/wiki/Animal_Trainer_Stable_Claim.md","NPC Animal Trainer Stable/Claim","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0004","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Animal_Trainer_Stable_Claim.md"
"DOC-RISK-0006","Vendor Core","docs/wiki/Animal_Trainer_Stable_Claim.md","NPC Animal Trainer Stable/Claim","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0004","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Animal_Trainer_Stable_Claim.md"
"DOC-RISK-0007","Crafting Core","docs/wiki/Apiculture_Beekeeping.md","System Name: Apiculture (Beekeeping)","Stale or Needs Rework marker present","Canonical","Yes","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0005","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Apiculture_Beekeeping.md"
"DOC-RISK-0008","Vendor Core","docs/wiki/Apiculture_Beekeeping.md","System Name: Apiculture (Beekeeping)","Stale or Needs Rework marker present","Canonical","Yes","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0005","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Apiculture_Beekeeping.md"
"DOC-RISK-0009","Unknown","docs/wiki/auditautomationprompt.md","Wiki Audit Automation Prompt","Stale or Needs Rework marker present","Support","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0006","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/auditautomationprompt.md"
"DOC-RISK-0010","Unknown","docs/wiki/Auto_Sheath.md","Auto Sheath","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0007","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Auto_Sheath.md"
"DOC-RISK-0011","Vendor Core","docs/wiki/Banker_Speech_Commands.md","NPC Banker Speech Commands","Missing source-backed claim or alias cleanup needed","Canonical","No","","","WIKI-0013","","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Banker_Speech_Commands.md"
"DOC-RISK-0012","PlayerMobile Core","docs/wiki/Barbaric_Play_Style.md","Barbaric Play Style","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0008","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Barbaric_Play_Style.md"
"DOC-RISK-0013","Magic Schools","docs/wiki/Bard_Song_Magic.md","Bard Song Magic","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0009","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Bard_Song_Magic.md"
"DOC-RISK-0014","Spell Framework","docs/wiki/Base_Spell_Framework.md","Base Spell Framework","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0010","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Base_Spell_Framework.md"
"DOC-RISK-0015","Boats","docs/wiki/Boat_Core_Mechanics.md","Boat Core Mechanics","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0011","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Boat_Core_Mechanics.md"
"DOC-RISK-0016","Boats","docs/wiki/boat-navigation-control.md","Boat Navigation Control","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0012","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/boat-navigation-control.md"
"DOC-RISK-0017","Unknown","docs/wiki/bond-info-command.md","System Name: Bond Info Command","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0013","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/bond-info-command.md"
"DOC-RISK-0018","Unknown","docs/wiki/Book_Publisher.md","Book Publisher","Missing source-backed claim or alias cleanup needed;Stale or Needs Rework marker present","Canonical","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0014","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Book_Publisher.md"
"DOC-RISK-0019","Bulk Orders","docs/wiki/Bulk_Order_System.md","Bulk Order System","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0015","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Bulk_Order_System.md"
"DOC-RISK-0020","Unknown","docs/wiki/Bushido.md","Bushido","Missing source-backed claim or alias cleanup needed;Stale or Needs Rework marker present","Canonical","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0016","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Bushido.md"
"DOC-RISK-0021","Champions","docs/wiki/Champion_Spawns.md","Champion Spawns","Missing source-backed claim or alias cleanup needed;Stale or Needs Rework marker present","Canonical","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0017","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Champion_Spawns.md"
"DOC-RISK-0022","Unknown","docs/wiki/Change_Season_Command.md","Change Season Command","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0018","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Change_Season_Command.md"
"DOC-RISK-0023","Character Level","docs/wiki/Character_Level_Recon_Report.md","Character Level Recon Report","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0019","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Character_Level_Recon_Report.md"
"DOC-RISK-0024","Unknown","docs/wiki/Character_Swap.md","Character Swap","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0020","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Character_Swap.md"
"DOC-RISK-0025","Unknown","docs/wiki/Chat_System.md","Chat System","Missing source-backed claim or alias cleanup needed;Stale or Needs Rework marker present","Canonical","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0021","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Chat_System.md"
"DOC-RISK-0026","Unknown","docs/wiki/Clear_Deck_Command.md","Clear Deck Command","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0022","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Clear_Deck_Command.md"
