"System","Domains","Classification","ReviewGroup","Evidence"
"Character Level","Progression","GameplayLayer","Progression","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"Random Encounters","PvE;Progression","GameplayLayer","PvE","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"PvP Consent","PvP;Combat","GameplayLayer","PvP","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"Government","Government;Economy;Documentation","GameplayLayer","Economy","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"Homestead","Economy;Crafting;Housing","ImportedPackage","Economy","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"XMLSpawner","Staff events;PvE;Documentation","SharedService","Staff events","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"Invasion","PvE;Staff events","StaffEventTool","Staff events","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"Champions","PvE;Progression","GameplayLayer","PvE","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"Monster Nests","PvE;Exploration","GameplayLayer","PvE","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"Clone Offline Player Characters","AI;PvE","GameplayLayer","PvE","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"Offline Skill Training","Progression","GameplayLayer","Progression","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"OmniAI","AI;Combat","ImportedPackage","AI","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"AI Overhaul","AI;Combat","GameplayLayer","AI","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"Staff Toolbar","Staff events","StaffEventTool","Staff events","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"Static Gump Tool","Staff events","StaffEventTool","Staff events","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"Spell Framework","Magic","SharedService","Magic","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"Magic Schools","Magic;Combat","GameplayLayer","Magic","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"Crafting Core","Crafting;Economy","SharedService","Economy","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"Harvest System","Crafting;Economy","SharedService","Economy","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"Bulk Orders","Crafting;Economy","GameplayLayer","Economy","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"Gardening","Crafting;Economy","GameplayLayer","Economy","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"Housing","Housing;Economy","SharedService","Economy","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"Boats","Travel;Housing","GameplayLayer","Travel","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"Regions","World;PvP;Government","SharedService","PvP","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"PlayerMobile Core","Core;Progression;Combat","SharedService","Core","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"Vendor Core","Economy","SharedService","Economy","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
"Obsolete Scripts","Legacy;Documentation","LegacyCompatibility","Legacy","Phase 9 domain bucket assigned from system card scope and root audit high-risk areas."
