"Track","ReviewedRows","Findings","NonIssues","BacklogItems","AcceptedRisks","CommentTargets","Status","Evidence"
"10.1 Build Inclusion Drift","13039","61","1","61","0","0","Complete","Generated by Phase 10 risk-specific review script from phase registers and source pooled-enumerable scan."
"10.10 Economy And Reward Loops","36","26","1","26","0","0","Complete","Generated by Phase 10 risk-specific review script from phase registers and source pooled-enumerable scan."
"10.11 Staff Tooling","156","124","1","124","0","0","Complete","Generated by Phase 10 risk-specific review script from phase registers and source pooled-enumerable scan."
"10.12 Legacy Compatibility","660","659","1","659","0","0","Complete","Generated by Phase 10 risk-specific review script from phase registers and source pooled-enumerable scan."
"10.13 XML And Config Schemas","350","232","1","232","0","0","Complete","Generated by Phase 10 risk-specific review script from phase registers and source pooled-enumerable scan."
"10.14 Documentation Contradictions","158","158","1","158","0","0","Complete","Generated by Phase 10 risk-specific review script from phase registers and source pooled-enumerable scan."
"10.2 Serialization Order And Versioning","9853","1625","1","1625","0","3105","Complete","Generated by Phase 10 risk-specific review script from phase registers and source pooled-enumerable scan."
"10.3 Global Hooks And Startup Side Effects","2895","1548","1","1548","0","207","Complete","Generated by Phase 10 risk-specific review script from phase registers and source pooled-enumerable scan."
"10.4 Packet Handlers","32","17","1","17","0","17","Complete","Generated by Phase 10 risk-specific review script from phase registers and source pooled-enumerable scan."
"10.5 Gump Response Validation","4782","938","1","938","0","0","Complete","Generated by Phase 10 risk-specific review script from phase registers and source pooled-enumerable scan."
"10.6 Command Access And Input Validation","973","499","1","499","0","0","Complete","Generated by Phase 10 risk-specific review script from phase registers and source pooled-enumerable scan."
"10.7 Pooled Enumerable Ownership","652","408","1","408","0","408","Complete","Generated by Phase 10 risk-specific review script from phase registers and source pooled-enumerable scan."
"10.8 Region And Map Assumptions","115","112","1","112","0","0","Complete","Generated by Phase 10 risk-specific review script from phase registers and source pooled-enumerable scan."
"10.9 PlayerMobile Field Coupling","395","394","1","394","0","1","Complete","Generated by Phase 10 risk-specific review script from phase registers and source pooled-enumerable scan."
"Phase 10 Overall","0","0","0","0","3","0","Complete","Generated by Phase 10 risk-specific review script from phase registers and source pooled-enumerable scan."
