"DependencyId","Systems","Labels","RequiredStaffSurface","PlayerObjectiveImpact","Recommendation","Evidence"
"STAFF-0001","Random Encounters <-> XMLSpawner","BalanceRisk;Conflicts;DependsOn;DocRisk;StaffDependency","XMLSpawner","Exploration and staff event goals can collide.;Shared runtime or persistence surface; player objective impact requires source review before behavior changes.","Review event reward and spawn precedence.;Review exact edges before moving files or changing behavior.","Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/RandomEncounters/EncounterEngine.cs:L16:XmlSpawner;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/RandomEncounters/Helpers.cs:L15:XmlSpawner;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/RandomEncounters/Records.cs:L14:XmlSpawner;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/RandomEncounters/..."
"STAFF-0002","Random Encounters <-> Invasion","BalanceRisk;DocRisk;StaffDependency","Invasion","Exploration and staff event goals can collide.","Review event windows and reward stacking.","Invasion:docs/wiki/Invasion_System.md;Invasion:docs/wiki/SystemAudit.md:L21;Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20"
"STAFF-0003","PvP Consent <-> XMLSpawner","BalanceRisk;Bypasses;Conflicts;DependsOn;DocRisk;StaffDependency","XMLSpawner","Shared runtime or persistence surface; player objective impact requires source review before behavior changes.;Staff-driven event goals may conflict with normal PvP expectations.","Require an explicit event override policy and staff documentation.;Review exact edges before moving files or changing behavior.","Phase 9 conflict checklist: XMLPoints event overrides versus normal PvP consent.;PvP Consent->XMLSpawner:DirectReference:Data/Scripts/Mobiles/Base/PlayerMobile.cs:L12:XmlSpawner;PvP Consent:docs/wiki/pvp-consent-system.md;XMLSpawner:docs/wiki/SystemAudit.md:L22;XMLSpawner:docs/wiki/XML_Spawner_Enhancements.md"
"STAFF-0004","Government <-> Invasion","DependsOn;StaffDependency","Invasion","Shared runtime or persistence surface; player objective impact requires source review before behavior changes.","Review exact edges before moving files or changing behavior.","Government->Invasion:DirectReference:Data/Scripts/Custom/Invasion System/Gump/InvasionGump.cs:L8:Invasion;Government->Invasion:DirectReference:Data/Scripts/Custom/Invasion System/Stones/GargoyleCityInvasionStone.cs:L10:Invasion;Government->Invasion:DirectReference:Data/Scripts/Custom/Invasion System/Underworld/StartstoGargoyleCityIlshenar.cs:L27:Invasion;Government:docs/wiki/Government_System.md;Government:docs/wiki/Player_Government_System_Guide.md;Government:docs/wiki/SystemAudit.md:L24;Inv..."
"STAFF-0005","Homestead <-> Static Gump Tool","DependsOn;StaffDependency","Static Gump Tool","Shared runtime or persistence surface; player objective impact requires source review before behavior changes.","Review exact edges before moving files or changing behavior.","Homestead->Static Gump Tool:DirectReference:Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/AddCooking.cs:L14:StaticGump;Homestead->Static Gump Tool:DirectReference:Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Items/Craft Items/Tools/WinecraftersTools.cs:L7:STool;Homestead->Static Gump Tool:DirectReference:Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Mobiles/SBWinecrafter.cs:L37:STool;Homestead->Static ..."
"STAFF-0006","XMLSpawner <-> Invasion","DocRisk;StaffDependency;Supports","XMLSpawner","Social and staff-driven goals.","Preserve staff event tooling while documenting manual dependencies.","Invasion:docs/wiki/Invasion_System.md;Invasion:docs/wiki/SystemAudit.md:L21;Phase 9 synergy checklist: XMLSpawner supporting staff events and quests.;XMLSpawner:docs/wiki/SystemAudit.md:L22;XMLSpawner:docs/wiki/XML_Spawner_Enhancements.md"
"STAFF-0007","XMLSpawner <-> Champions","BalanceRisk;DocRisk;StaffDependency;Supports","XMLSpawner","Group PvE and staff event goals.","Document staff event overrides and reward policy.","Champions:docs/wiki/Champion_Spawns.md;Champions:docs/wiki/Champion_Spawns.md:L82;Champions:docs/wiki/SystemAudit.md:L34;Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;XMLSpawner:docs/wiki/SystemAudit.md:L22;XMLSpawner:docs/wiki/XML_Spawner_Enhancements.md"
"STAFF-0008","XMLSpawner <-> Monster Nests","BalanceRisk;Conflicts;DocRisk;StaffDependency","XMLSpawner","Exploration and staff event goals.","Review spawn overlap and documentation.","Monster Nests:docs/wiki/Monster_Nest_System.md;Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;XMLSpawner:docs/wiki/SystemAudit.md:L22;XMLSpawner:docs/wiki/XML_Spawner_Enhancements.md"
"STAFF-0009","XMLSpawner <-> Staff Toolbar","DocRisk;StaffDependency;Supports","XMLSpawner","Staff-driven goals.","Keep staff-only access and documentation visible.","Phase 9 staff-dependency review.;Staff Toolbar:docs/wiki/Staff_Toolbar.md;XMLSpawner:docs/wiki/SystemAudit.md:L22;XMLSpawner:docs/wiki/XML_Spawner_Enhancements.md"
"STAFF-0010","XMLSpawner <-> Static Gump Tool","DocRisk;StaffDependency;Supports","XMLSpawner","Staff-driven goals.","Keep staff-only access and docs visible.","Phase 9 staff-dependency review.;Static Gump Tool:docs/wiki/Static_Gump_Tool.md;Static Gump Tool:docs/wiki/SystemAudit.md:L102;Static Gump Tool:docs/wiki/wikibacklog.md:L23;XMLSpawner:docs/wiki/SystemAudit.md:L22;XMLSpawner:docs/wiki/XML_Spawner_Enhancements.md"
"STAFF-0011","XMLSpawner <-> Spell Framework","DependsOn;StaffDependency","XMLSpawner","Shared runtime or persistence surface; player objective impact requires source review before behavior changes.","Review exact edges before moving files or changing behavior.","Spell Framework:docs/wiki/Base_Spell_Framework.md;Spell Framework:docs/wiki/SystemAudit.md:L104;Spell Framework:docs/wiki/SystemAudit.md:L54;XMLSpawner->Spell Framework:DirectReference:Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs:L12268:SpellRegistry;XMLSpawner:docs/wiki/SystemAudit.md:L22;XMLSpawner:docs/wiki/XML_Spawner_Enhancements.md"
"STAFF-0012","XMLSpawner <-> Housing","DependsOn;StaffDependency","XMLSpawner","Shared runtime or persistence surface; player objective impact requires source review before behavior changes.","Review exact edges before moving files or changing behavior.","Housing:docs/wiki/Flip_Deed.md;Housing:docs/wiki/Housing_System.md;Housing:docs/wiki/offline-skill-training.md:L38;Housing:docs/wiki/SystemAudit.md:L71;XMLSpawner->Housing:DirectReference:Data/Scripts/Custom/XMLSpawner/XmlUtils/XmlFind.cs:L403:BaseHouse;XMLSpawner:docs/wiki/SystemAudit.md:L22;XMLSpawner:docs/wiki/XML_Spawner_Enhancements.md"
"STAFF-0013","XMLSpawner <-> Regions","DependsOn;StaffDependency","XMLSpawner","Shared runtime or persistence surface; player objective impact requires source review before behavior changes.","Review exact edges before moving files or changing behavior.","Regions->XMLSpawner:DirectReference:Data/Scripts/Custom/RandomEncounters/Records.cs:L14:XmlSpawner;Regions->XMLSpawner:DirectReference:Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeGameRegion.cs:L9:XmlSpawner;Regions->XMLSpawner:DirectReference:Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeRegionStone.cs:L8:XmlSpawner;Regions:docs/wiki/Housing_System.md;Regions:docs/wiki/Magery_Spell_Color_Setting.md;Regions:docs/wiki/offline-skill-training.md:L38;Regions:docs/wiki/SystemAudit..."
"STAFF-0014","XMLSpawner <-> PlayerMobile Core","DependsOn;StaffDependency","XMLSpawner","Shared runtime or persistence surface; player objective impact requires source review before behavior changes.","Review exact edges before moving files or changing behavior.","PlayerMobile Core->XMLSpawner:DirectReference:Data/Scripts/Mobiles/Base/PlayerMobile.cs:L12:XmlSpawner;PlayerMobile Core:docs/wiki/Animal_Trainer_Stable_Claim.md;PlayerMobile Core:docs/wiki/Barbaric_Play_Style.md;PlayerMobile Core:docs/wiki/SystemAudit.md:L47;PlayerMobile Core:docs/wiki/SystemAudit.md:L60;XMLSpawner->PlayerMobile Core:DirectReference:Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs:L9335:PlayerMobile;XMLSpawner->PlayerMobile Core:DirectReference:Data/Scripts/Custom/XMLSpawner..."
"STAFF-0015","XMLSpawner <-> Vendor Core","DependsOn;StaffDependency","XMLSpawner","Shared runtime or persistence surface; player objective impact requires source review before behavior changes.","Review exact edges before moving files or changing behavior.","Vendor Core->XMLSpawner:DirectReference:Data/Scripts/Custom/Mobiles/Vendors/Gort.cs:L10:XmlSpawner;Vendor Core->XMLSpawner:DirectReference:Data/Scripts/Custom/Mobiles/Vendors/Siddo.cs:L10:XmlSpawner;Vendor Core->XMLSpawner:DirectReference:Data/Scripts/Custom/Mobiles/Vendors/SirGideon.cs:L9:XmlSpawner;Vendor Core->XMLSpawner:DirectReference:Data/Scripts/Custom/XMLSpawner/XmlMobiles/TalkingBaseVendor.cs:L15:XmlSpawner;Vendor Core:docs/CCWM/Confictura_Codex_World_Map.md:L9444;Vendor Core:docs/wi..."
"STAFF-0016","XMLSpawner <-> Obsolete Scripts","Conflicts;DocRisk;StaffDependency","XMLSpawner","Staff workflows can be confusing when stale hooks remain active.","Backlog source review for obsolete hook registrations before cleanup.","High-risk systems list: obsolete or legacy files that still register commands or hooks.;Obsolete Scripts:docs/wiki/Magery_Spell_Color_Setting.md;Obsolete Scripts:docs/wiki/Obsolete_Script_Collection.md;Obsolete Scripts:docs/wiki/SystemAudit.md:L103;XMLSpawner:docs/wiki/SystemAudit.md:L22;XMLSpawner:docs/wiki/XML_Spawner_Enhancements.md"
"STAFF-0017","Invasion <-> Champions","BalanceRisk;DependsOn;DocRisk;StaffDependency","Invasion","Shared runtime or persistence surface; player objective impact requires source review before behavior changes.;Staff-driven and long-term PvE goals can overlap.","Review event reward tables and staff scheduling assumptions.;Review exact edges before moving files or changing behavior.","Champions:docs/wiki/Champion_Spawns.md;Champions:docs/wiki/Champion_Spawns.md:L82;Champions:docs/wiki/SystemAudit.md:L34;Invasion->Champions:DirectReference:Data/Scripts/Custom/Invasion System/Add Ins/Lord BlackThorn Clone.cs:L3:CannedEvil;Invasion->Champions:DirectReference:Data/Scripts/Custom/Invasion System/Add Ins/SubChamps/BaseSubChampion.cs:L5:CannedEvil;Invasion->Champions:DirectReference:Data/Scripts/Custom/Invasion System/Add Ins/SubChamps/LordBlackThornBot.cs:L3:CannedEvil;Invasion-..."
"STAFF-0018","Invasion <-> Staff Toolbar","DocRisk;StaffDependency;Supports","Invasion","Staff-driven goals.","Document required access and manual steps.","Invasion:docs/wiki/Invasion_System.md;Invasion:docs/wiki/SystemAudit.md:L21;Phase 9 staff-dependency review.;Staff Toolbar:docs/wiki/Staff_Toolbar.md"
"STAFF-0019","Invasion <-> Static Gump Tool","DocRisk;StaffDependency;Supports","Invasion","Staff-driven goals.","Document required access and manual steps.","Invasion:docs/wiki/Invasion_System.md;Invasion:docs/wiki/SystemAudit.md:L21;Phase 9 staff-dependency review.;Static Gump Tool:docs/wiki/Static_Gump_Tool.md;Static Gump Tool:docs/wiki/SystemAudit.md:L102;Static Gump Tool:docs/wiki/wikibacklog.md:L23"
"STAFF-0020","Invasion <-> Boats","DependsOn;StaffDependency","Invasion","Shared runtime or persistence surface; player objective impact requires source review before behavior changes.","Review exact edges before moving files or changing behavior.","Boats:docs/wiki/Boat_Core_Mechanics.md;Boats:docs/wiki/boat-navigation-control.md;Boats:docs/wiki/SystemAudit.md:L15;Boats:docs/wiki/SystemAudit.md:L6;Invasion->Boats:DirectReference:Data/Scripts/Custom/Invasion System/Add Ins/Pirates/Chasing Pirates/PirateCaptain.cs:L283:BaseBoat;Invasion->Boats:DirectReference:Data/Scripts/Custom/Invasion System/Add Ins/Pirates/Chasing Pirates/PirateShip.cs:L7:BaseBoat;Invasion:docs/wiki/Invasion_System.md;Invasion:docs/wiki/SystemAudit.md:L21"
"STAFF-0021","Invasion <-> Regions","DependsOn;StaffDependency","Invasion","Shared runtime or persistence surface; player objective impact requires source review before behavior changes.","Review exact edges before moving files or changing behavior.","Invasion->Regions:DirectReference:Data/Scripts/Custom/Invasion System/Add Ins/BaseSpecialCreature.cs:L498:Region;Invasion->Regions:DirectReference:Data/Scripts/Custom/Invasion System/Add Ins/MobileFeatures.cs:L10:Region;Invasion->Regions:DirectReference:Data/Scripts/Custom/Invasion System/Add Ins/Pirates/Chasing Pirates/PirateCaptain.cs:L16:Region;Invasion->Regions:DirectReference:Data/Scripts/Custom/Invasion System/Add Ins/SubChamps/BaseSubChampion.cs:L192:Region;Invasion:docs/wiki/Invasion_..."
"STAFF-0022","Invasion <-> PlayerMobile Core","DependsOn;StaffDependency","Invasion","Shared runtime or persistence surface; player objective impact requires source review before behavior changes.","Review exact edges before moving files or changing behavior.","Invasion->PlayerMobile Core:DirectReference:Data/Scripts/Custom/Invasion System/Add Ins/Pirates/Chasing Pirates/PirateCaptain.cs:L359:PlayerMobile;Invasion->PlayerMobile Core:DirectReference:Data/Scripts/Custom/Invasion System/Add Ins/SubChamps/BaseSubChampion.cs:L124:PlayerMobile;Invasion->PlayerMobile Core:DirectReference:Data/Scripts/Custom/Invasion System/Add Ins/SubChamps/lizardmanmage.cs:L53:PlayerMobile;Invasion->PlayerMobile Core:DirectReference:Data/Scripts/Custom/Invasion System/Add..."
"STAFF-0023","Staff Toolbar <-> Static Gump Tool","DocRisk;Duplicates;StaffDependency;Supports","Staff Toolbar","Staff-driven goals.","Document separate staff workflows or backlog consolidation review.","Phase 9 staff-dependency review.;Staff Toolbar:docs/wiki/Staff_Toolbar.md;Static Gump Tool:docs/wiki/Static_Gump_Tool.md;Static Gump Tool:docs/wiki/SystemAudit.md:L102;Static Gump Tool:docs/wiki/wikibacklog.md:L23"
"STAFF-0024","Staff Toolbar <-> Regions","DependsOn;StaffDependency","Staff Toolbar","Shared runtime or persistence surface; player objective impact requires source review before behavior changes.","Review exact edges before moving files or changing behavior.","Regions:docs/wiki/Housing_System.md;Regions:docs/wiki/Magery_Spell_Color_Setting.md;Regions:docs/wiki/offline-skill-training.md:L38;Regions:docs/wiki/SystemAudit.md:L24;Staff Toolbar->Regions:DirectReference:Data/Scripts/Custom/Staff Toolbar [2.0]/Toolbar.cs:L645:Region;Staff Toolbar:docs/wiki/Staff_Toolbar.md"
"STAFF-0025","Static Gump Tool <-> Crafting Core","DependsOn;StaffDependency","Static Gump Tool","Shared runtime or persistence surface; player objective impact requires source review before behavior changes.","Review exact edges before moving files or changing behavior.","Crafting Core->Static Gump Tool:DirectReference:Data/Scripts/Trades/Core/CraftItem.cs:L3100:STool;Crafting Core:docs/wiki/Apiculture_Beekeeping.md;Crafting Core:docs/wiki/Crafting_Core.md;Crafting Core:docs/wiki/Standard_Crafting.md:L248;Crafting Core:docs/wiki/Standard_Crafting.md:L249;Static Gump Tool:docs/wiki/Static_Gump_Tool.md;Static Gump Tool:docs/wiki/SystemAudit.md:L102;Static Gump Tool:docs/wiki/wikibacklog.md:L23"
