"SystemA","SystemB","DomainsA","DomainsB","Labels","RelationshipSummary","EvidenceStrength","EdgeCount","HardEdgeCount","SoftEdgeCount","SpeculativeEdgeCount","GraphEdgeTypes","RuntimeHookCount","DocumentationRiskCount","KnownNeedsReworkCount","RiskType","ObjectiveImpact","StaffDependency","Recommendation","Evidence","Verification","ReviewStatus"
"Character Level","Random Encounters","Progression","PvE;Progression","DependsOn;DocRisk;Supports","Dependency graph has hard source/runtime/save/project/config edges between these systems.;Encounter objectives can use level state to scale goals and pacing.","SourceVerified","1","1","0","0","DirectReference","11","5","1","DocumentationRisk;GameplaySynergy;MaintenanceCoupling","Progression and exploration goals become more objective-aware.;Shared runtime or persistence surface; player objective impact requires source review before behavior changes.","False","Preserve the level-to-encounter relationship during cleanup and document the contract.;Review exact edges before moving files or changing behavior.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Phase 9 synergy checklist: Character Level making Random Encounters objective-aware.;Random Encounters->Character Level:DirectReference:Data/Scripts/Custom/PvE/RandomEncounters/Helpers.cs:L117:CharacterLevelService;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","Reviewed"
"Character Level","PvP Consent","Progression","PvP;Combat","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","35","4","0","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.;PvP Consent:docs/wiki/pvp-consent-system.md","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Character Level","Government","Progression","Government;Economy;Documentation","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","276","5","1","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Government:docs/wiki/Government_System.md;Government:docs/wiki/Player_Government_System_Guide.md;Government:docs/wiki/SystemAudit.md:L24;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Character Level","Homestead","Progression","Economy;Crafting;Housing","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","289","7","7","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Homestead:docs/wiki/Farmable_Crops_System.md;Homestead:docs/wiki/Homestead_System.md;Homestead:docs/wiki/Standard_Crafting.md:L248;Homestead:docs/wiki/SystemAudit.md:L27;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Character Level","XMLSpawner","Progression","Staff events;PvE;Documentation","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","592","4","1","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.;XMLSpawner:docs/wiki/SystemAudit.md:L22;XMLSpawner:docs/wiki/XML_Spawner_Enhancements.md","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Character Level","Invasion","Progression","PvE;Staff events","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","137","4","1","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Invasion:docs/wiki/Invasion_System.md;Invasion:docs/wiki/SystemAudit.md:L21;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Character Level","Champions","Progression","PvE;Progression","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","31","4","2","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Champions:docs/wiki/Champion_Spawns.md;Champions:docs/wiki/Champion_Spawns.md:L82;Champions:docs/wiki/SystemAudit.md:L34;Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Character Level","Monster Nests","Progression","PvE;Exploration","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","7","4","0","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Monster Nests:docs/wiki/Monster_Nest_System.md;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Character Level","Clone Offline Player Characters","Progression","AI;PvE","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","16","4","1","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Clone Offline Player Characters:docs/wiki/Clone_Offline_Player_Characters.md;Clone Offline Player Characters:docs/wiki/SystemAudit.md:L32;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Character Level","Offline Skill Training","Progression","Progression","BalanceRisk;Bypasses;DocRisk;Supports","Offline training can support progression goals but can bypass active-play danger and objective pacing.","PhaseReviewSeed","0","0","0","0","","11","4","1","DocumentationRisk;ProgressionBalance","Progression goals may advance without active objectives.","False","Separate accepted convenience from progression bypass risk in the backlog.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Offline Skill Training:docs/wiki/offline-skill-training.md;Offline Skill Training:docs/wiki/offline-skill-training.md:L38;Phase 9 balance review: bypass intended danger or grants permanent power too quickly.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","Reviewed"
"Character Level","OmniAI","Progression","AI;Combat","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","5","5","1","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.;OmniAI:docs/wiki/Misc_Magic_Spells.md;OmniAI:docs/wiki/OmniAI.md;OmniAI:docs/wiki/SystemAudit.md:L26","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Character Level","AI Overhaul","Progression","AI;Combat","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","3","4","0","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","AI Overhaul:docs/wiki/Creature_AI_Core.md;Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Character Level","Staff Toolbar","Progression","Staff events","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","29","4","0","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.;Staff Toolbar:docs/wiki/Staff_Toolbar.md","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Character Level","Static Gump Tool","Progression","Staff events","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","196","4","2","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.;Static Gump Tool:docs/wiki/Static_Gump_Tool.md;Static Gump Tool:docs/wiki/SystemAudit.md:L102;Static Gump Tool:docs/wiki/wikibacklog.md:L23","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Character Level","Spell Framework","Progression","Magic","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","354","4","3","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.;Spell Framework:docs/wiki/Base_Spell_Framework.md;Spell Framework:docs/wiki/SystemAudit.md:L104;Spell Framework:docs/wiki/SystemAudit.md:L54","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Character Level","Magic Schools","Progression","Magic;Combat","DependsOn","Dependency graph has hard source/runtime/save/project/config edges between these systems.","SourceVerified","1","1","0","0","DirectReference","3","17","11","MaintenanceCoupling","Shared runtime or persistence surface; player objective impact requires source review before behavior changes.","False","Review exact edges before moving files or changing behavior.","Character Level->Magic Schools:DirectReference:Data/Scripts/Custom/Progression/CharacterLevel/CharacterLevelService.cs:L20:DeathKnight;Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Magic Schools:docs/wiki/Bard_Song_Magic.md;Magic Schools:docs/wiki/Death_Knight_Magic.md;Magic Schools:docs/wiki/SystemAudit.md:L51;Magic Schools:docs/wiki/SystemAudit.md:L53","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","Reviewed"
"Character Level","Crafting Core","Progression","Crafting;Economy","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","53","8","7","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Crafting Core:docs/wiki/Apiculture_Beekeeping.md;Crafting Core:docs/wiki/Crafting_Core.md;Crafting Core:docs/wiki/Standard_Crafting.md:L248;Crafting Core:docs/wiki/Standard_Crafting.md:L249;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
