"BatchId","RowId","System","PacketId","Length","File","Line","Handler","TrustBoundary","StateValidation","PacketReadValidation","AccessChecks","NullDeletedGuards","RangeMapGuards","OverrideConflictRisk","ReviewStatus","Action","SourceEvidence"
"POST-BATCH-A","PHA-001","XMLSpawner","0x66","0","Data/Scripts/Custom/XMLSpawner/PacketHandlerOverrides.cs","43","XmlTextEntryBook.ContentChange","Live ingame book-content packet; delayed override replaces core BaseBook 0x66 and also registers the 6017 handler.","Packet registration is ingame; core dispatch requires an attached non-deleted Mobile before handler invocation.","Handler reads serial, page count, page indexes, line count, and safe UTF8 line text; page count, page index, line count, and line length are bounded.","Fixed server-side writable, range, and IsAccessibleTo checks for XmlTextEntryBook edits; fixed delegated BaseBook content edits to include IsAccessibleTo like core BaseBook.ContentChange.","Book/item null checks are present; core ingame dispatch covers state.Mobile null/deleted.","Range guard now applies to both BaseEntryBook and delegated BaseBook edits; map guard is indirect through item accessibility.","Intentional override conflict with BaseBook.ContentChange; review confirms normal BaseBook path delegates to local BaseContentChange.","Fixed","Patched XmlTextEntryBook.ContentChange and BaseContentChange to enforce writable/range/accessibility before accepting client page edits.","PacketHandlerOverrides.cs:41-57; XmlTextEntryBook.cs:194-317; BaseBook.cs:399-447"
"POST-BATCH-A","PHA-002","XMLSpawner","0x06","5","Data/Scripts/Custom/XMLSpawner/PacketHandlerOverrides.cs","61","XmlAttach.UseReq","Live ingame use-request packet; delayed override replaces core 0x06 and also registers the 6017 handler.","Packet registration is ingame; core dispatch requires an attached non-deleted Mobile before handler invocation.","Fixed-size packet; handler reads one serial/int32 and routes only mobile, item, or paperdoll request forms.","Fixed core parity for the action-throttle bypass threshold by using AccessLevel.Counselor instead of AccessLevel.GameMaster.","Target mobile/item null and deleted checks are present before use; attachment callbacks also guard deleted attachments.","Target range/map policy remains delegated to Mobile.Use and item/mobile use logic as in core.","Intentional override conflict with core UseReq; source comment says normal items and mobiles should behave like core while adding attachment hooks.","Fixed","Patched XmlAttach.UseReq to restore core NextActionTime update after accepted use requests and core Counselor bypass threshold.","PacketHandlerOverrides.cs:59-64; XmlAttach.cs:2463-2567; PacketHandlers.cs:1487-1525"
"POST-BATCH-A","PHA-003","XMLSpawner","0x66","0","Data/Scripts/Custom/XMLSpawner/XmlTextEntryBook.cs","191","ContentChange","Commented local registration; live registration comes from PacketHandlerOverrides delayed override.","No live packet registration at this line.","No live packet reader path at this line.","No live access path at this line.","No live null/deleted path at this line.","No live range/map path at this line.","Historical/commented registration can mislead future review; PacketHandlerOverrides is the active override.","ReviewedNoChange","Kept commented registration unchanged; active 0x66 review and fixes are recorded in PHA-001.","XmlTextEntryBook.cs:186-194; PacketHandlerOverrides.cs:41-57"
"POST-BATCH-A","PHA-004","Items:Books","0xD4","0","Data/Scripts/Items/Books/BaseBook.cs","339","HeaderChange","Live ingame book-header edit packet for writable books.","Packet registration is ingame; core dispatch requires an attached non-deleted Mobile before handler invocation.","Reads serial, skips flags/page count, bounds title length to 60 and author length to 30, and uses safe UTF8 reads.","Requires writable book, one-tile range, and IsAccessibleTo before changing title/author.","Book null guard is present; core ingame dispatch covers state.Mobile null/deleted.","One-tile range guard is present; item accessibility covers secured/container policy.","No override conflict in this file; XMLSpawner 0x66 override leaves header handlers alone.","ReviewedNoChange","No source change; guards match the expected BaseBook header edit path.","BaseBook.cs:337-397"
"POST-BATCH-A","PHA-005","Items:Books","0x66","0","Data/Scripts/Items/Books/BaseBook.cs","340","ContentChange","Live ingame book-content edit packet for writable BaseBook items unless XMLSpawner override replaces it later.","Packet registration is ingame; core dispatch requires an attached non-deleted Mobile before handler invocation.","Reads serial, page count, page indexes, line count, and safe UTF8 line text; page count, page index, line count, and line length are bounded.","Requires writable book, one-tile range, and IsAccessibleTo before changing pages.","Book null guard is present; core ingame dispatch covers state.Mobile null/deleted.","One-tile range guard is present; item accessibility covers secured/container policy.","XMLSpawner delayed override replaces this registration at runtime and delegates ordinary BaseBook edits through XmlTextEntryBook.BaseContentChange.","ReviewedNoChange","No direct BaseBook source change; XMLSpawner delegate parity is fixed in PHA-001.","BaseBook.cs:337-447; PacketHandlerOverrides.cs:41-57"
"POST-BATCH-A","PHA-006","Items:Books","0x93","99","Data/Scripts/Items/Books/BaseBook.cs","341","OldHeaderChange","Live ingame legacy fixed-length book-header edit packet.","Packet registration is ingame; core dispatch requires an attached non-deleted Mobile before handler invocation.","Fixed length 99; reads serial, skips flags/page count, and uses bounded safe string reads for title and author.","Requires writable book, one-tile range, and IsAccessibleTo before changing title/author.","Book null guard is present; core ingame dispatch covers state.Mobile null/deleted.","One-tile range guard is present; item accessibility covers secured/container policy.","No override conflict found for 0x93.","ReviewedNoChange","No source change; legacy handler has the same core access/range guard shape as HeaderChange.","BaseBook.cs:337-364"
"POST-BATCH-A","PHA-007","Housing","0xB1","0","Data/Scripts/Items/Houses/Monopoly/Misc/GumpResponse.cs","23","DisplayGumpResponse","Live ingame gump-response packet; delayed override wraps core 0xB1 to enforce TownHouse sale-sign rules.","Packet registration is ingame; core dispatch requires an attached non-deleted Mobile before handler invocation.","Reads gump serial, type, button, switch count, switch IDs, text count, text entry IDs, text lengths, and safe Unicode text; negative counts and text length >239 are guarded.","Custom CheckResponse applies only to matched gumps before calling OnResponse; unmatched gumps fall through to previous/core handler.","Gump lookup and Mobile null checks are present; matched gumps are removed before OnResponse as in core.","TownHouse check scans nearby houses; broader gump range/map policy remains owned by specific gump implementations.","Override captures previous 0xB1 handler. Before this batch, fallback delegated with an advanced reader, corrupting the successor/core parse for unmatched gumps such as virtue responses.","Fixed","Patched DisplayGumpResponse to save and restore PacketReader position before m_Successor or core fallback. Deferred exact switch/text maximum parity because core Gump.m_Switches and m_TextEntries are internal to ServerCore.","GumpResponse.cs:19-101; PacketReader.cs:71-87; PacketHandlers.cs:1267-1365; Gump.cs:35-36"
"POST-BATCH-A","PHA-008","Items:Misc","0x71","0","Data/Scripts/Items/Misc/BulletinBoards.cs","230","BBClientRequest","Live ingame bulletin-board request packet with subcommands for content, header, post, and remove.","Packet registration is ingame; core dispatch requires an attached non-deleted Mobile before handler invocation.","Reads subcommand byte, board serial, and subcommand-specific serials/text; post subject and line lengths are byte-sized and read through safe UTF8 helpers.","Board range is checked before all subcommands; message removal requires GameMaster or original poster.","Board/message null and parent checks are present; core ingame dispatch covers state.Mobile null/deleted.","Board CheckRange gates access before subcommands; message parent checks prevent cross-board use.","No override conflict found for 0x71.","ReviewedNoChange","No source change; retained for later broader bulletin-board content/rate-limit review if needed.","BulletinBoards.cs:228-344"
"POST-BATCH-A","PHA-009","Items:Misc","0xDA","0","Data/Scripts/Items/Misc/Games/Mahjong/MahjongPacketHandlers.cs","38","OnPacket","Live ingame Mahjong packet with internal subcommands.","Packet registration is ingame; core dispatch requires an attached non-deleted Mobile before handler invocation.","Reads game serial, unknown byte, subcommand byte, and subcommand-specific fields; subcommand lookup is bounded to 0x100.","Most mutating subcommands require active game player or dealer; ExitGame tolerates null game and delegates leave validation.","Game null checks are present before mutating paths; core ingame dispatch covers state.Mobile null/deleted.","Game membership/dealer checks are the primary domain guard; no separate physical range guard is present for virtual table state.","No override conflict found for 0xDA.","ReviewedNoChange","No source change; review records game-state authorization as the controlling guard.","MahjongPacketHandlers.cs:36-267"
"POST-BATCH-A","PHA-010","Items:Trades","0x56","11","Data/Scripts/Items/Trades/Maps/MapItem.cs","547","OnMapCommand","Live ingame fixed-length map command packet for map pins/editability.","Packet registration is ingame; core dispatch requires an attached non-deleted Mobile before handler invocation.","Fixed length 11; reads map serial, command, pin number, and x/y coordinates.","Map command methods require Validate or ValidateEdit; Validate checks visibility, same map, alive state, secure trade, protection, range, and root ownership.","Map null guard is present; core ingame dispatch covers state.Mobile null/deleted.","Validate enforces same-map and two-tile range for non-staff map editing.","No override conflict found for 0x56.","ReviewedNoChange","No source change; existing command methods provide the meaningful access/range gates.","MapItem.cs:394-435; MapItem.cs:545-585"
