DecisionId,DecisionLevel,RecommendedSequence,DecisionArea,SystemOrRelationship,FilesOrScope,PlainEnglishQuestion,PlainEnglishContext,WhatApprovalAllows,WhatStaysBlockedIfNotApproved,RecommendedDefault,AnswerOptions,ExecutiveDecision,ExecutiveDecisionDetails,RiskIfApproved,RiskIfDeferred,AutomationSuitability,SuggestedGoalShape,CanRunAsOneGoal,RequiredApprovalSpecifics,VerificationNeeded,SourceAuditEvidence,GateRowIds,SourceRowCount,NotesForCoder
EXEC-0001,NextTarget,10,Non-gated source work,SOURCE-BATCH-004+,One focused system/file set selected by executive request,"Do you want to name the next narrow, non-gated source improvement for SOURCE-BATCH-004?","The audit controller has completed SOURCE-BATCH-001 through SOURCE-BATCH-003. There is no hidden queue of approved source-safe work left. To keep improving code without crossing policy gates, you need to name one concrete behavior, system, and expected file set.","A future goal can implement one focused non-gated repair or feature, after proving it does not cross the POST-BATCH-Y fences.","No additional non-gated source batch opens; gated staff, balance, region, serializer, and reorganization work remain blocked.",Leave blank until you have a concrete behavior you want changed.,Name next target | Leave pending | Ask for candidate discovery list,Ask for candidate discovery list,"Find candidate non-gated source improvements from the audit/source tree. Prefer small safety/guard/bug-fix work. Do not cross staff, balance, region, serializer, project/config/data, or reorganization gates.",Low to medium if the target is narrow; risk depends on touched system and whether runtime hooks or serializers are involved.,No new source improvements happen beyond already committed batches.,Good after target is concrete; one behavior per goal.,SOURCE-BATCH-004 Non-Gated Focused Source Change,"Yes, for one concrete behavior/system/file set only.","Provide behavior to change, system, expected files if known, and what must stay unchanged.",POST-BATCH-Y gate preflight; targeted source scan; serializer/hook/command scan if touched; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/source-batch-controller-roadmap-status.csv; docs/codebase-audit/outputs/source-batch-controller-closeout.md,,1,"Do not invent the target. If this row is unanswered, keep SOURCE-BATCH-004+ pending."
EXEC-0002,GlobalControl,20,Automation policy,All future answered decisions,All approved decision rows after executive fills this CSV,"After you fill in decisions, may approved rows be processed by an automated sequential goal runner, or should each decision become its own goal?","A sequential runner can save time by processing multiple approved rows in order, but grouped source changes increase review and rollback complexity. One-goal-per-decision is slower but safer for policy, serializer, and reorganization work.",Defines how future approved rows from this CSV may be converted into implementation goals.,Future agents should default to one goal per approved decision or ask before grouping.,One goal per approved decision for gated work; sequential runner only for low-risk non-gated repairs.,One goal per decision | Sequential runner for approved rows | Sequential runner only for non-gated rows | Ask before each batch,,,"A broad runner may mix unrelated risks, making review and rollback harder.","More manual goal writing and slower throughput, but better control.",This row defines automation policy.,SOURCE-DECISION-RUNNER only if explicitly approved.,"Yes, this is a governance row only.","State which categories can be grouped, max rows per goal, and whether commits must happen after each row or each batch.",Every implementation still needs category-specific verification from the matched gate rows.,docs/codebase-audit/outputs/post-batch-aa-source-batch-roadmap.csv; docs/codebase-audit/outputs/source-batch-controller-roadmap-status.csv,,1,"If unanswered, do not run a broad automation goal across gated categories."
EXEC-0003,GlobalControl,30,Reorganization policy,All folder and namespace cleanup rows,PvP Consent; Invasion; XMLSpawner; Government; Offline Skill Training; Homestead,"For reorganization, do you want file moves only, namespace/type renames, or no reorganization yet?","File moves can improve layout while keeping saved object identity stable. Namespace/type renames are much riskier because old RunUO saves bind objects to namespace and type names. Reorg also requires docs, project hygiene, runtime compile visibility, and rollback evidence.",Sets the default policy for future reorganization rows before system-specific move plans are written.,Folder/package cleanup remains blocked for the six listed systems.,Approve file moves only when there is a specific plan; no namespace/type renames by default; one system at a time.,File moves only | Namespace/type renames allowed with migration plan | Defer all reorganization | Request detailed move plan first,,,"Moves can break project references, docs source traces, runtime compile visibility, or save identity if the scope is too broad.","Code remains harder to navigate, but runtime and save compatibility risk stays low.",Limited. Create one reorganization goal per system after this global policy is answered.,GATED-SOURCE-BATCH-REORG per approved system.,No for all systems together; yes for one approved system move plan.,"State allowed move type, whether namespaces/types may change, target layout preference, rollback requirement, and whether Scripts.csproj IDE hygiene must be maintained.",Project truth; runtime compile visibility; serialization register; dependency graph; docs source traces; Scripts.csproj if needed; Server.csproj Debug/x86 build; compile-only runtime verification; rollback check; git diff --check.,docs/codebase-audit/outputs/post-batch-y-source-change-gate-register.csv rows with Category=Folder and namespace cleanup,PBY-0059;PBY-0060;PBY-0061;PBY-0062;PBY-0063;PBY-0064,6,"Even with global approval, still require a per-system move plan before editing."
EXEC-0004,GlobalControl,40,Serialization policy,Serialized save compatibility defaults,HouseFoundation and any future serialized type touched by reorganization or serializer work,"Should the project preserve serialized namespace/type identity by default, with migrations only by explicit approval?",RunUO world saves depend on serialized type names and exact read/write order. This policy protects player/world data. It means cleanup work should avoid renaming serialized types or changing save order unless a migration plan is explicitly approved.,Establishes a default safety rule for future source changes and reorganization: preserve save identity unless a row-specific migration is approved.,Agents must continue treating serializer renames/order changes as blocked and ask before touching them.,Yes: preserve serialized identity and save order by default; require explicit migration approval for any exception.,Preserve by default | Allow migrations with explicit plan | Defer serializer policy decision,,,Preserve-by-default has low runtime risk but limits cleanup freedom. Migration approval carries high save compatibility risk.,Future serializer work remains blocked or repeatedly asks for approval.,Good as a global guardrail; actual serializer changes remain standalone goals.,Global policy row plus standalone GATED-SOURCE-BATCH-HOUSEFOUNDATION if migration is approved.,Yes for policy recording only; no for serializer implementation.,State default serializer policy and whether any exceptions are allowed without separate approval.,"For implementation exceptions: before/after serializer map, old-save compatibility proof, Server.csproj Debug/x86 build, compile-only runtime verification, save-load test where available, git diff --check.",docs/codebase-audit/outputs/post-batch-y-source-change-gate-register.csv row RB-00724; serialization-register.csv,PBY-0065,1,"If unanswered, preserve serialized identity and do not change serializer order."
GATE-0001,GateRow,101,Economy and reward loops,Character Level <-> Offline Skill Training,Relationship-level row; no single source file is approved for policy edits from this row.,"Do you approve tuning the reward, progression, economy, or gameplay balance relationship for Character Level <-> Offline Skill Training?","This is not classified as a code defect. It is a gameplay design choice about how fast players progress, what rewards are worth, and how two systems reinforce or bypass each other.","A focused source batch may change reward rates, progression incentives, economy loops, spawn rewards, vendor behavior, crafting/harvest/gardening loops, or paired-system tuning for this relationship.",Current gameplay balance stays preserved for this relationship; code correctness fixes outside tuning may still proceed.,Preserve current tuning unless you have a specific desired gameplay outcome.,Approve tuning with stated outcome | Preserve current tuning | Request design proposal | Reject tuning,,,"Can affect player economy, progression speed, farming value, event rewards, or perceived fairness.","Known balance concerns remain, but player-facing economy and progression stay stable.",Partly automatable after a design answer; implementation should be one relationship or reward path per goal.,GATED-SOURCE-BATCH-BALANCE for this relationship only.,"No, unless multiple rows are intentionally approved under one balance design document.","State desired tuning policy, target system/relationship, what should increase/decrease, and acceptance notes.",Source review of reward/economy paths; affected docs update if behavior changes; gameplay acceptance notes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Labels=BalanceRisk;Bypasses;DocRisk;Supports; RiskKind=DocumentationRisk;ProgressionBalance; Evidence=Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Offline Skill Training:docs/wiki/offline-skill-training.md;Offline Skill Training:docs/wiki/offline-skill-training.md:L38;Phase 9 balance review: bypass intended danger or grants permanent power too quickly. || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.,PBY-0001,1,GateOutcome=Preserve current balance/reward behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0002,GateRow,102,Economy and reward loops,Random Encounters <-> XMLSpawner,Relationship-level row; no single source file is approved for policy edits from this row.,"Do you approve tuning the reward, progression, economy, or gameplay balance relationship for Random Encounters <-> XMLSpawner?","This is not classified as a code defect. It is a gameplay design choice about how fast players progress, what rewards are worth, and how two systems reinforce or bypass each other.","A focused source batch may change reward rates, progression incentives, economy loops, spawn rewards, vendor behavior, crafting/harvest/gardening loops, or paired-system tuning for this relationship.",Current gameplay balance stays preserved for this relationship; code correctness fixes outside tuning may still proceed.,Preserve current tuning unless you have a specific desired gameplay outcome.,Approve tuning with stated outcome | Preserve current tuning | Request design proposal | Reject tuning,,,"Can affect player economy, progression speed, farming value, event rewards, or perceived fairness.","Known balance concerns remain, but player-facing economy and progression stay stable.",Partly automatable after a design answer; implementation should be one relationship or reward path per goal.,GATED-SOURCE-BATCH-BALANCE for this relationship only.,"No, unless multiple rows are intentionally approved under one balance design document.","State desired tuning policy, target system/relationship, what should increase/decrease, and acceptance notes.",Source review of reward/economy paths; affected docs update if behavior changes; gameplay acceptance notes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Labels=BalanceRisk;Conflicts;DependsOn;DocRisk;StaffDependency; RiskKind=DocumentationRisk;MaintenanceCoupling;PvEBalance; Evidence=Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/RandomEncounters/EncounterEngine.cs:L16:XmlSpawner;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/RandomEncounters/Helpers.cs:L15:XmlSpawner;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/C... || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.,PBY-0002,1,GateOutcome=Preserve current balance/reward behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0003,GateRow,103,Economy and reward loops,Random Encounters <-> Invasion,Relationship-level row; no single source file is approved for policy edits from this row.,"Do you approve tuning the reward, progression, economy, or gameplay balance relationship for Random Encounters <-> Invasion?","This is not classified as a code defect. It is a gameplay design choice about how fast players progress, what rewards are worth, and how two systems reinforce or bypass each other.","A focused source batch may change reward rates, progression incentives, economy loops, spawn rewards, vendor behavior, crafting/harvest/gardening loops, or paired-system tuning for this relationship.",Current gameplay balance stays preserved for this relationship; code correctness fixes outside tuning may still proceed.,Preserve current tuning unless you have a specific desired gameplay outcome.,Approve tuning with stated outcome | Preserve current tuning | Request design proposal | Reject tuning,,,"Can affect player economy, progression speed, farming value, event rewards, or perceived fairness.","Known balance concerns remain, but player-facing economy and progression stay stable.",Partly automatable after a design answer; implementation should be one relationship or reward path per goal.,GATED-SOURCE-BATCH-BALANCE for this relationship only.,"No, unless multiple rows are intentionally approved under one balance design document.","State desired tuning policy, target system/relationship, what should increase/decrease, and acceptance notes.",Source review of reward/economy paths; affected docs update if behavior changes; gameplay acceptance notes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Labels=BalanceRisk;DocRisk;StaffDependency; RiskKind=DocumentationRisk;PvEBalance; Evidence=Invasion:docs/wiki/Invasion_System.md;Invasion:docs/wiki/SystemAudit.md:L21;Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20 || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.,PBY-0003,1,GateOutcome=Preserve current balance/reward behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0004,GateRow,104,Economy and reward loops,Random Encounters <-> Champions,Relationship-level row; no single source file is approved for policy edits from this row.,"Do you approve tuning the reward, progression, economy, or gameplay balance relationship for Random Encounters <-> Champions?","This is not classified as a code defect. It is a gameplay design choice about how fast players progress, what rewards are worth, and how two systems reinforce or bypass each other.","A focused source batch may change reward rates, progression incentives, economy loops, spawn rewards, vendor behavior, crafting/harvest/gardening loops, or paired-system tuning for this relationship.",Current gameplay balance stays preserved for this relationship; code correctness fixes outside tuning may still proceed.,Preserve current tuning unless you have a specific desired gameplay outcome.,Approve tuning with stated outcome | Preserve current tuning | Request design proposal | Reject tuning,,,"Can affect player economy, progression speed, farming value, event rewards, or perceived fairness.","Known balance concerns remain, but player-facing economy and progression stay stable.",Partly automatable after a design answer; implementation should be one relationship or reward path per goal.,GATED-SOURCE-BATCH-BALANCE for this relationship only.,"No, unless multiple rows are intentionally approved under one balance design document.","State desired tuning policy, target system/relationship, what should increase/decrease, and acceptance notes.",Source review of reward/economy paths; affected docs update if behavior changes; gameplay acceptance notes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Labels=BalanceRisk;DocRisk;Duplicates; RiskKind=DocumentationRisk;PvEBalance; Evidence=Champions:docs/wiki/Champion_Spawns.md;Champions:docs/wiki/Champion_Spawns.md:L82;Champions:docs/wiki/SystemAudit.md:L34;Champions:docs/wiki/wikibacklog.md;Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20 || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.,PBY-0004,1,GateOutcome=Preserve current balance/reward behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0005,GateRow,105,Economy and reward loops,Random Encounters <-> Monster Nests,Relationship-level row; no single source file is approved for policy edits from this row.,"Do you approve tuning the reward, progression, economy, or gameplay balance relationship for Random Encounters <-> Monster Nests?","This is not classified as a code defect. It is a gameplay design choice about how fast players progress, what rewards are worth, and how two systems reinforce or bypass each other.","A focused source batch may change reward rates, progression incentives, economy loops, spawn rewards, vendor behavior, crafting/harvest/gardening loops, or paired-system tuning for this relationship.",Current gameplay balance stays preserved for this relationship; code correctness fixes outside tuning may still proceed.,Preserve current tuning unless you have a specific desired gameplay outcome.,Approve tuning with stated outcome | Preserve current tuning | Request design proposal | Reject tuning,,,"Can affect player economy, progression speed, farming value, event rewards, or perceived fairness.","Known balance concerns remain, but player-facing economy and progression stay stable.",Partly automatable after a design answer; implementation should be one relationship or reward path per goal.,GATED-SOURCE-BATCH-BALANCE for this relationship only.,"No, unless multiple rows are intentionally approved under one balance design document.","State desired tuning policy, target system/relationship, what should increase/decrease, and acceptance notes.",Source review of reward/economy paths; affected docs update if behavior changes; gameplay acceptance notes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Labels=BalanceRisk;DocRisk;Duplicates; RiskKind=DocumentationRisk;PvEBalance; Evidence=Monster Nests:docs/wiki/Monster_Nest_System.md;Phase 9 player objective review: exploration goals.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20 || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.,PBY-0005,1,GateOutcome=Preserve current balance/reward behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0006,GateRow,106,Economy and reward loops,Random Encounters <-> Offline Skill Training,Relationship-level row; no single source file is approved for policy edits from this row.,"Do you approve tuning the reward, progression, economy, or gameplay balance relationship for Random Encounters <-> Offline Skill Training?","This is not classified as a code defect. It is a gameplay design choice about how fast players progress, what rewards are worth, and how two systems reinforce or bypass each other.","A focused source batch may change reward rates, progression incentives, economy loops, spawn rewards, vendor behavior, crafting/harvest/gardening loops, or paired-system tuning for this relationship.",Current gameplay balance stays preserved for this relationship; code correctness fixes outside tuning may still proceed.,Preserve current tuning unless you have a specific desired gameplay outcome.,Approve tuning with stated outcome | Preserve current tuning | Request design proposal | Reject tuning,,,"Can affect player economy, progression speed, farming value, event rewards, or perceived fairness.","Known balance concerns remain, but player-facing economy and progression stay stable.",Partly automatable after a design answer; implementation should be one relationship or reward path per goal.,GATED-SOURCE-BATCH-BALANCE for this relationship only.,"No, unless multiple rows are intentionally approved under one balance design document.","State desired tuning policy, target system/relationship, what should increase/decrease, and acceptance notes.",Source review of reward/economy paths; affected docs update if behavior changes; gameplay acceptance notes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Labels=BalanceRisk;Bypasses;DocRisk; RiskKind=DocumentationRisk;ProgressionBalance; Evidence=Offline Skill Training:docs/wiki/offline-skill-training.md;Offline Skill Training:docs/wiki/offline-skill-training.md:L38;Phase 9 balance review: bypass intended danger.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20 || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.,PBY-0006,1,GateOutcome=Preserve current balance/reward behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
