"Id","Priority","Status","Category","DriftClass","System","Count","Evidence","Risk","RecommendedFix","Verification","Notes"
"PT-001","P0","Open","MissingCompileTarget","MovedGumpFolder","Custom:XMLSpawner","20","phase-02-missing-compile-targets-classified.csv","Build may fail or stale project paths may hide moved or removed source files.","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.",""
"PT-002","P0","Open","MissingCompileTarget","MovedGumpFolder","Trades:Bulk Orders","7","phase-02-missing-compile-targets-classified.csv","Build may fail or stale project paths may hide moved or removed source files.","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.",""
"PT-003","P0","Open","MissingCompileTarget","MovedGumpFolder","Items:Houses","7","phase-02-missing-compile-targets-classified.csv","Build may fail or stale project paths may hide moved or removed source files.","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.",""
"PT-004","P0","Open","MissingCompileTarget","MovedGumpFolder","Items:Misc","5","phase-02-missing-compile-targets-classified.csv","Build may fail or stale project paths may hide moved or removed source files.","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.",""
"PT-005","P0","Open","MissingCompileTarget","MovedGumpFolder","System:Help","5","phase-02-missing-compile-targets-classified.csv","Build may fail or stale project paths may hide moved or removed source files.","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.",""
"PT-006","P0","Open","MissingCompileTarget","MovedGumpFolder","System:Commands","5","phase-02-missing-compile-targets-classified.csv","Build may fail or stale project paths may hide moved or removed source files.","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.",""
"PT-007","P0","Open","MissingCompileTarget","MovedGumpFolder","Trades:Gardening","4","phase-02-missing-compile-targets-classified.csv","Build may fail or stale project paths may hide moved or removed source files.","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.",""
"PT-008","P0","Open","MissingCompileTarget","MovedGumpFolder","Trades:Core","3","phase-02-missing-compile-targets-classified.csv","Build may fail or stale project paths may hide moved or removed source files.","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.",""
"PT-009","P0","Open","MissingCompileTarget","MovedGumpFolder","Items:Boats","3","phase-02-missing-compile-targets-classified.csv","Build may fail or stale project paths may hide moved or removed source files.","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.",""
"PT-010","P0","Open","MissingCompileTarget","MovedGumpFolder","Items:Gifts","3","phase-02-missing-compile-targets-classified.csv","Build may fail or stale project paths may hide moved or removed source files.","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.",""
"PT-011","P0","Open","MissingCompileTarget","MovedGumpFolder","Custom:Vhaerun's CRL Homestead System [2.0]","2","phase-02-missing-compile-targets-classified.csv","Build may fail or stale project paths may hide moved or removed source files.","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.",""
"PT-012","P0","Open","MissingCompileTarget","MovedGumpFolder","Custom:Government System","1","phase-02-missing-compile-targets-classified.csv","Build may fail or stale project paths may hide moved or removed source files.","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.",""
"PT-013","P0","Open","MissingCompileTarget","MovedGumpFolder","Quests:Museum","1","phase-02-missing-compile-targets-classified.csv","Build may fail or stale project paths may hide moved or removed source files.","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.",""
"PT-014","P0","Open","MissingCompileTarget","MovedGumpFolder","Trades:Apiculture","1","phase-02-missing-compile-targets-classified.csv","Build may fail or stale project paths may hide moved or removed source files.","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.",""
"PT-015","P0","Open","MissingCompileTarget","MovedGumpFolder","Quests:Epic","1","phase-02-missing-compile-targets-classified.csv","Build may fail or stale project paths may hide moved or removed source files.","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.",""
"PT-016","P0","Open","MissingCompileTarget","MovedGumpFolder","System:Skills","1","phase-02-missing-compile-targets-classified.csv","Build may fail or stale project paths may hide moved or removed source files.","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.",""
