"System","CurrentPath","SerializedTypeCount","SaveRisk","NamespaceRule","RequiredApproval","SaveVerification"
"Character Level","Data/Scripts/Custom/CharacterLevel","0","SafeNoSerializedTypesDetected","NoneAllowedForFirstMove","After Phase 2 project drift repair and focused Scripts.csproj update.","Compare serialization register before/after; no namespace/type rename; run save-load test where available; build after project truth repair."
"Offline Skill Training","Data/Scripts/Custom/Offline Skill Training","170","CautionFileMoveAllowedOnlyWithoutNamespaceOrTypeRename","NoneAllowedForFirstMove","After serializer review and project truth repair.","Compare serialization register before/after; no namespace/type rename; run save-load test where available; build after project truth repair."
"Random Encounters","Data/Scripts/Custom/RandomEncounters","2","CautionFileMoveAllowedOnlyWithoutNamespaceOrTypeRename","NoneAllowedForFirstMove","After dependency docs update and project truth repair.","Compare serialization register before/after; no namespace/type rename; run save-load test where available; build after project truth repair."
"Monster Nests","Data/Scripts/Custom/MonsterNest","6","CautionFileMoveAllowedOnlyWithoutNamespaceOrTypeRename","NoneAllowedForFirstMove","Only after serializer paths are source-reviewed.","Compare serialization register before/after; no namespace/type rename; run save-load test where available; build after project truth repair."
"PvP Consent","Data/Scripts/Custom/PvPConsent","5","CautionFileMoveAllowedOnlyWithoutNamespaceOrTypeRename","NoneAllowedForFirstMove","After PvP Consent, Government, Regions, XMLPoints, and PlayerMobile policy review.","Compare serialization register before/after; no namespace/type rename; run save-load test where available; build after project truth repair."
"Government","Data/Scripts/Custom/Government System","144","CautionFileMoveAllowedOnlyWithoutNamespaceOrTypeRename","ForbiddenWithoutMigration","Requires explicit approval because 148 serialized files and many gumps/hooks are involved.","Compare serialization register before/after; no namespace/type rename; run save-load test where available; build after project truth repair."
"Invasion","Data/Scripts/Custom/Invasion System","76","CautionFileMoveAllowedOnlyWithoutNamespaceOrTypeRename","NoneAllowedForFirstMove","Requires staff workflow docs and serializer review.","Compare serialization register before/after; no namespace/type rename; run save-load test where available; build after project truth repair."
"AI Overhaul","Data/Scripts/Custom/AIOverhaul","0","SafeNoSerializedTypesDetected","NoneAllowedForFirstMove","Respect nested AGENTS.md under current folder.","Compare serialization register before/after; no namespace/type rename; run save-load test where available; build after project truth repair."
"OmniAI","Data/Scripts/Custom/OmniAI","1","CautionFileMoveAllowedOnlyWithoutNamespaceOrTypeRename","NoneAllowedForFirstMove","Review AI Overhaul overlap first.","Compare serialization register before/after; no namespace/type rename; run save-load test where available; build after project truth repair."
"Static Gump Tool","Data/Scripts/Custom/OzThothStaticGump","0","SafeNoSerializedTypesDetected","NoneAllowedForFirstMove","Respect nested AGENTS.md under current folder.","Compare serialization register before/after; no namespace/type rename; run save-load test where available; build after project truth repair."
"Staff Toolbar","Data/Scripts/Custom/Staff Toolbar [2.0]","1","CautionFileMoveAllowedOnlyWithoutNamespaceOrTypeRename","NoneAllowedForFirstMove","Access and staff workflow review required.","Compare serialization register before/after; no namespace/type rename; run save-load test where available; build after project truth repair."
"XMLSpawner","Data/Scripts/Custom/XMLSpawner","100","CautionFileMoveAllowedOnlyWithoutNamespaceOrTypeRename","ForbiddenWithoutMigration","Requires explicit approval; packet, attachment, world save/load, and project truth risks are high.","Compare serialization register before/after; no namespace/type rename; run save-load test where available; build after project truth repair."
"Homestead","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]","707","CautionFileMoveAllowedOnlyWithoutNamespaceOrTypeRename","ForbiddenWithoutMigration","Requires explicit approval; high serializer volume and package substructure.","Compare serialization register before/after; no namespace/type rename; run save-load test where available; build after project truth repair."
"Clone Offline Player Characters","Data/Scripts/Custom/CloneOfflinePlayerCharacters","4","CautionFileMoveAllowedOnlyWithoutNamespaceOrTypeRename","NoneAllowedForFirstMove","Review AI and serialization risks first.","Compare serialization register before/after; no namespace/type rename; run save-load test where available; build after project truth repair."
