"RiskId","Systems","Labels","RiskKind","WhyBalanceNotCorrectness","Recommendation","Evidence","Verification"
"BAL-0001","Character Level <-> Offline Skill Training","BalanceRisk;Bypasses;DocRisk;Supports","DocumentationRisk;ProgressionBalance","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Separate accepted convenience from progression bypass risk in the backlog.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Offline Skill Training:docs/wiki/offline-skill-training.md;Offline Skill Training:docs/wiki/offline-skill-training.md:L38;Phase 9 balance review: bypass intended danger or grants permanent power too quickly.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0002","Random Encounters <-> XMLSpawner","BalanceRisk;Conflicts;DependsOn;DocRisk;StaffDependency","DocumentationRisk;MaintenanceCoupling;PvEBalance","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Review event reward and spawn precedence.;Review exact edges before moving files or changing behavior.","Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/RandomEncounters/EncounterEngine.cs:L16:XmlSpawner;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/RandomEncounters/Helpers.cs:L15:XmlSpawner;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/RandomEncounters/Records.cs:L14:XmlSpawner;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/RandomEncounters/...","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0003","Random Encounters <-> Invasion","BalanceRisk;DocRisk;StaffDependency","DocumentationRisk;PvEBalance","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Review event windows and reward stacking.","Invasion:docs/wiki/Invasion_System.md;Invasion:docs/wiki/SystemAudit.md:L21;Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0004","Random Encounters <-> Champions","BalanceRisk;DocRisk;Duplicates","DocumentationRisk;PvEBalance","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Review reward cadence across automated PvE systems.","Champions:docs/wiki/Champion_Spawns.md;Champions:docs/wiki/Champion_Spawns.md:L82;Champions:docs/wiki/SystemAudit.md:L34;Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0005","Random Encounters <-> Monster Nests","BalanceRisk;DocRisk;Duplicates","DocumentationRisk;PvEBalance","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Keep distinct objective roles for encounters and nests.","Monster Nests:docs/wiki/Monster_Nest_System.md;Phase 9 player objective review: exploration goals.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0006","Random Encounters <-> Offline Skill Training","BalanceRisk;Bypasses;DocRisk","DocumentationRisk;ProgressionBalance","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Review offline gains against active encounter reward pacing.","Offline Skill Training:docs/wiki/offline-skill-training.md;Offline Skill Training:docs/wiki/offline-skill-training.md:L38;Phase 9 balance review: bypass intended danger.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0007","PvP Consent <-> Government","BalanceRisk;Conflicts;DocRisk;Overrides","DocumentationRisk;PolicyConflict","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Create a repair/backlog item that reviews war, ban, region, and consent precedence together.","Government:docs/wiki/Government_System.md;Government:docs/wiki/Player_Government_System_Guide.md;Government:docs/wiki/SystemAudit.md:L24;Phase 9 conflict checklist: PvP Consent versus Government war and city-ban rules.;PvP Consent:docs/wiki/pvp-consent-system.md","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0008","PvP Consent <-> XMLSpawner","BalanceRisk;Bypasses;Conflicts;DependsOn;DocRisk;StaffDependency","DocumentationRisk;MaintenanceCoupling;PolicyConflict","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Require an explicit event override policy and staff documentation.;Review exact edges before moving files or changing behavior.","Phase 9 conflict checklist: XMLPoints event overrides versus normal PvP consent.;PvP Consent->XMLSpawner:DirectReference:Data/Scripts/Mobiles/Base/PlayerMobile.cs:L12:XmlSpawner;PvP Consent:docs/wiki/pvp-consent-system.md;XMLSpawner:docs/wiki/SystemAudit.md:L22;XMLSpawner:docs/wiki/XML_Spawner_Enhancements.md","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0009","Government <-> Homestead","BalanceRisk;DocRisk;Supports","DocumentationRisk;EconomyBalance","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Preserve civic economy hooks but backlog balance review for production and treasury loops.","Government:docs/wiki/Government_System.md;Government:docs/wiki/Player_Government_System_Guide.md;Government:docs/wiki/SystemAudit.md:L24;Homestead:docs/wiki/Farmable_Crops_System.md;Homestead:docs/wiki/Homestead_System.md;Homestead:docs/wiki/Standard_Crafting.md:L248;Homestead:docs/wiki/SystemAudit.md:L27;Phase 9 synergy checklist: Homestead deepening non-combat economy.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0010","Government <-> Vendor Core","BalanceRisk;DependsOn;DocRisk;Supports","DocumentationRisk;EconomyBalance;MaintenanceCoupling","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Review exact edges before moving files or changing behavior.;Review tax/vendor reward loops before tuning economy changes.","Government->Vendor Core:DirectReference:Data/Scripts/Custom/Government System/CityUpgradeSystem.cs:L93:Vendor;Government->Vendor Core:DirectReference:Data/Scripts/Custom/Government System/Gumps/CityManagementGump.cs:L184:Vendor;Government->Vendor Core:DirectReference:Data/Scripts/Custom/Government System/Gumps/CityMarketGump.cs:L30:Vendor;Government->Vendor Core:DirectReference:Data/Scripts/Custom/Government System/Gumps/GovHelpGump.cs:L85:Vendor;Government:docs/wiki/Government_System.md;Gove...","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0011","Homestead <-> Crafting Core","BalanceRisk;DependsOn;DocRisk;Supports","DocumentationRisk;EconomyBalance;MaintenanceCoupling","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Review exact edges before moving files or changing behavior.;Treat production loops as balance risk, not a serializer/build correctness issue.","Crafting Core:docs/wiki/Apiculture_Beekeeping.md;Crafting Core:docs/wiki/Crafting_Core.md;Crafting Core:docs/wiki/Standard_Crafting.md:L248;Crafting Core:docs/wiki/Standard_Crafting.md:L249;Homestead->Crafting Core:DirectReference:Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Craft/DefWinecrafting.cs:L11:CraftSystem;Homestead->Crafting Core:DirectReference:Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Items/Craft ...","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0012","Homestead <-> Harvest System","BalanceRisk;DocRisk;Supports","DocumentationRisk;EconomyBalance","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Review resource rates before economy tuning.","Harvest System:docs/wiki/Apiculture_Beekeeping.md:L313;Harvest System:docs/wiki/Farmable_Crops_System.md;Harvest System:docs/wiki/Grave_Robbing_Trade.md;Harvest System:docs/wiki/Standard_Crafting.md:L249;Homestead:docs/wiki/Farmable_Crops_System.md;Homestead:docs/wiki/Homestead_System.md;Homestead:docs/wiki/Standard_Crafting.md:L248;Homestead:docs/wiki/SystemAudit.md:L27;Phase 9 conflict checklist: crafting/resource loops versus progression pacing.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0013","Homestead <-> Bulk Orders","BalanceRisk;DocRisk;Duplicates","DocumentationRisk;EconomyBalance","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Review reward overlap before balance changes.","Bulk Orders:docs/wiki/Animal_Shape_Stones.md;Bulk Orders:docs/wiki/Bulk_Order_System.md;Bulk Orders:docs/wiki/SystemAudit.md:L29;Bulk Orders:docs/wiki/SystemAudit.md:L41;Homestead:docs/wiki/Farmable_Crops_System.md;Homestead:docs/wiki/Homestead_System.md;Homestead:docs/wiki/Standard_Crafting.md:L248;Homestead:docs/wiki/SystemAudit.md:L27;Phase 9 conflict checklist: crafting/resource loops versus progression pacing.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
