"BatchId","GateRowId","BacklogId","SourceId","PreviousPostAuditBatch","PreviousReviewRowId","PreviousActiveStatus","Category","System","Files","GateScope","Decision","GateOutcome","BlocksSourceWork","BlocksOnlyThisDomain","AcceptedFence","BlockedChangeSurface","AllowedSourceBoundary","RequiredApprovalBeforeCrossingFence","FirstAllowedSourceBatchUse","VerificationRequiredForFutureSourceEdit","DecisionRationale","PriorAction","PriorReviewArtifact","SourceEvidence","ReviewedAt","Notes"
"POST-BATCH-Y","PBY-0001","RB-05603","P10-F05603","POST-BATCH-F","PBF-001","DeferredBalanceDecision","Economy and reward loops","Character Level <-> Offline Skill Training","Relationship-level row; no single source file is approved for policy edits from this row.","AcceptedFence","PreserveCurrentBalancePolicy","Preserve current balance/reward behavior.","No","No","Yes","Gameplay economy, reward rates, progression coupling, spawn reward, vendor/economy, crafting/harvest/gardening loop, and paired-system tuning for this relationship.","Source changes may proceed outside economy/reward tuning. Edits inside a listed pair must preserve current gameplay balance unless a later design batch approves tuning.","Required before changing balance, rewards, progression incentives, economy loops, or paired-system gameplay tuning.","Exclude balance/tuning changes from first source batch.","Future balance-affecting source edits must include source review, affected-system documentation update, gameplay/balance acceptance notes, Server.csproj Debug/x86 build, and compile-only runtime verification.","POST-BATCH-F explicitly separated balance risk from code correctness. The source readiness boundary preserves current balance rather than treating these as code defects.","No gameplay, economy, reward, source, XML, config, or project behavior changed; balance tuning requires an explicit design decision and source-specific follow-up.","docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv","PriorOverlayEvidence: Labels=BalanceRisk;Bypasses;DocRisk;Supports; RiskKind=DocumentationRisk;ProgressionBalance; Evidence=Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Offline Skill Training:docs/wiki/offline-skill-training.md;Offline Skill Training:docs/wiki/offline-skill-training.md:L38;Phase 9 balance review: bypass intended danger or grants permanent power too quickly. || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.","2026-06-15T11:56:52.1526354-05:00","POST-BATCH-Y fence record. No source/project/XML/config/data files changed; this row defines source-change boundaries only."
"POST-BATCH-Y","PBY-0002","RB-05604","P10-F05604","POST-BATCH-F","PBF-002","DeferredBalanceDecision","Economy and reward loops","Random Encounters <-> XMLSpawner","Relationship-level row; no single source file is approved for policy edits from this row.","AcceptedFence","PreserveCurrentBalancePolicy","Preserve current balance/reward behavior.","No","No","Yes","Gameplay economy, reward rates, progression coupling, spawn reward, vendor/economy, crafting/harvest/gardening loop, and paired-system tuning for this relationship.","Source changes may proceed outside economy/reward tuning. Edits inside a listed pair must preserve current gameplay balance unless a later design batch approves tuning.","Required before changing balance, rewards, progression incentives, economy loops, or paired-system gameplay tuning.","Exclude balance/tuning changes from first source batch.","Future balance-affecting source edits must include source review, affected-system documentation update, gameplay/balance acceptance notes, Server.csproj Debug/x86 build, and compile-only runtime verification.","POST-BATCH-F explicitly separated balance risk from code correctness. The source readiness boundary preserves current balance rather than treating these as code defects.","No gameplay, economy, reward, source, XML, config, or project behavior changed; balance tuning requires an explicit design decision and source-specific follow-up.","docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv","PriorOverlayEvidence: Labels=BalanceRisk;Conflicts;DependsOn;DocRisk;StaffDependency; RiskKind=DocumentationRisk;MaintenanceCoupling;PvEBalance; Evidence=Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/RandomEncounters/EncounterEngine.cs:L16:XmlSpawner;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/RandomEncounters/Helpers.cs:L15:XmlSpawner;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/C... || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.","2026-06-15T11:56:52.1526354-05:00","POST-BATCH-Y fence record. No source/project/XML/config/data files changed; this row defines source-change boundaries only."
"POST-BATCH-Y","PBY-0003","RB-05605","P10-F05605","POST-BATCH-F","PBF-003","DeferredBalanceDecision","Economy and reward loops","Random Encounters <-> Invasion","Relationship-level row; no single source file is approved for policy edits from this row.","AcceptedFence","PreserveCurrentBalancePolicy","Preserve current balance/reward behavior.","No","No","Yes","Gameplay economy, reward rates, progression coupling, spawn reward, vendor/economy, crafting/harvest/gardening loop, and paired-system tuning for this relationship.","Source changes may proceed outside economy/reward tuning. Edits inside a listed pair must preserve current gameplay balance unless a later design batch approves tuning.","Required before changing balance, rewards, progression incentives, economy loops, or paired-system gameplay tuning.","Exclude balance/tuning changes from first source batch.","Future balance-affecting source edits must include source review, affected-system documentation update, gameplay/balance acceptance notes, Server.csproj Debug/x86 build, and compile-only runtime verification.","POST-BATCH-F explicitly separated balance risk from code correctness. The source readiness boundary preserves current balance rather than treating these as code defects.","No gameplay, economy, reward, source, XML, config, or project behavior changed; balance tuning requires an explicit design decision and source-specific follow-up.","docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv","PriorOverlayEvidence: Labels=BalanceRisk;DocRisk;StaffDependency; RiskKind=DocumentationRisk;PvEBalance; Evidence=Invasion:docs/wiki/Invasion_System.md;Invasion:docs/wiki/SystemAudit.md:L21;Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20 || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.","2026-06-15T11:56:52.1526354-05:00","POST-BATCH-Y fence record. No source/project/XML/config/data files changed; this row defines source-change boundaries only."
"POST-BATCH-Y","PBY-0004","RB-05606","P10-F05606","POST-BATCH-F","PBF-004","DeferredBalanceDecision","Economy and reward loops","Random Encounters <-> Champions","Relationship-level row; no single source file is approved for policy edits from this row.","AcceptedFence","PreserveCurrentBalancePolicy","Preserve current balance/reward behavior.","No","No","Yes","Gameplay economy, reward rates, progression coupling, spawn reward, vendor/economy, crafting/harvest/gardening loop, and paired-system tuning for this relationship.","Source changes may proceed outside economy/reward tuning. Edits inside a listed pair must preserve current gameplay balance unless a later design batch approves tuning.","Required before changing balance, rewards, progression incentives, economy loops, or paired-system gameplay tuning.","Exclude balance/tuning changes from first source batch.","Future balance-affecting source edits must include source review, affected-system documentation update, gameplay/balance acceptance notes, Server.csproj Debug/x86 build, and compile-only runtime verification.","POST-BATCH-F explicitly separated balance risk from code correctness. The source readiness boundary preserves current balance rather than treating these as code defects.","No gameplay, economy, reward, source, XML, config, or project behavior changed; balance tuning requires an explicit design decision and source-specific follow-up.","docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv","PriorOverlayEvidence: Labels=BalanceRisk;DocRisk;Duplicates; RiskKind=DocumentationRisk;PvEBalance; Evidence=Champions:docs/wiki/Champion_Spawns.md;Champions:docs/wiki/Champion_Spawns.md:L82;Champions:docs/wiki/SystemAudit.md:L34;Champions:docs/wiki/wikibacklog.md;Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20 || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.","2026-06-15T11:56:52.1526354-05:00","POST-BATCH-Y fence record. No source/project/XML/config/data files changed; this row defines source-change boundaries only."
"POST-BATCH-Y","PBY-0005","RB-05607","P10-F05607","POST-BATCH-F","PBF-005","DeferredBalanceDecision","Economy and reward loops","Random Encounters <-> Monster Nests","Relationship-level row; no single source file is approved for policy edits from this row.","AcceptedFence","PreserveCurrentBalancePolicy","Preserve current balance/reward behavior.","No","No","Yes","Gameplay economy, reward rates, progression coupling, spawn reward, vendor/economy, crafting/harvest/gardening loop, and paired-system tuning for this relationship.","Source changes may proceed outside economy/reward tuning. Edits inside a listed pair must preserve current gameplay balance unless a later design batch approves tuning.","Required before changing balance, rewards, progression incentives, economy loops, or paired-system gameplay tuning.","Exclude balance/tuning changes from first source batch.","Future balance-affecting source edits must include source review, affected-system documentation update, gameplay/balance acceptance notes, Server.csproj Debug/x86 build, and compile-only runtime verification.","POST-BATCH-F explicitly separated balance risk from code correctness. The source readiness boundary preserves current balance rather than treating these as code defects.","No gameplay, economy, reward, source, XML, config, or project behavior changed; balance tuning requires an explicit design decision and source-specific follow-up.","docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv","PriorOverlayEvidence: Labels=BalanceRisk;DocRisk;Duplicates; RiskKind=DocumentationRisk;PvEBalance; Evidence=Monster Nests:docs/wiki/Monster_Nest_System.md;Phase 9 player objective review: exploration goals.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20 || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.","2026-06-15T11:56:52.1526354-05:00","POST-BATCH-Y fence record. No source/project/XML/config/data files changed; this row defines source-change boundaries only."
"POST-BATCH-Y","PBY-0006","RB-05608","P10-F05608","POST-BATCH-F","PBF-006","DeferredBalanceDecision","Economy and reward loops","Random Encounters <-> Offline Skill Training","Relationship-level row; no single source file is approved for policy edits from this row.","AcceptedFence","PreserveCurrentBalancePolicy","Preserve current balance/reward behavior.","No","No","Yes","Gameplay economy, reward rates, progression coupling, spawn reward, vendor/economy, crafting/harvest/gardening loop, and paired-system tuning for this relationship.","Source changes may proceed outside economy/reward tuning. Edits inside a listed pair must preserve current gameplay balance unless a later design batch approves tuning.","Required before changing balance, rewards, progression incentives, economy loops, or paired-system gameplay tuning.","Exclude balance/tuning changes from first source batch.","Future balance-affecting source edits must include source review, affected-system documentation update, gameplay/balance acceptance notes, Server.csproj Debug/x86 build, and compile-only runtime verification.","POST-BATCH-F explicitly separated balance risk from code correctness. The source readiness boundary preserves current balance rather than treating these as code defects.","No gameplay, economy, reward, source, XML, config, or project behavior changed; balance tuning requires an explicit design decision and source-specific follow-up.","docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv","PriorOverlayEvidence: Labels=BalanceRisk;Bypasses;DocRisk; RiskKind=DocumentationRisk;ProgressionBalance; Evidence=Offline Skill Training:docs/wiki/offline-skill-training.md;Offline Skill Training:docs/wiki/offline-skill-training.md:L38;Phase 9 balance review: bypass intended danger.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20 || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.","2026-06-15T11:56:52.1526354-05:00","POST-BATCH-Y fence record. No source/project/XML/config/data files changed; this row defines source-change boundaries only."
"POST-BATCH-Y","PBY-0007","RB-05609","P10-F05609","POST-BATCH-F","PBF-007","DeferredBalanceDecision","Economy and reward loops","PvP Consent <-> Government","Relationship-level row; no single source file is approved for policy edits from this row.","AcceptedFence","PreserveCurrentBalancePolicy","Preserve current balance/reward behavior.","No","No","Yes","Gameplay economy, reward rates, progression coupling, spawn reward, vendor/economy, crafting/harvest/gardening loop, and paired-system tuning for this relationship.","Source changes may proceed outside economy/reward tuning. Edits inside a listed pair must preserve current gameplay balance unless a later design batch approves tuning.","Required before changing balance, rewards, progression incentives, economy loops, or paired-system gameplay tuning.","Exclude balance/tuning changes from first source batch.","Future balance-affecting source edits must include source review, affected-system documentation update, gameplay/balance acceptance notes, Server.csproj Debug/x86 build, and compile-only runtime verification.","POST-BATCH-F explicitly separated balance risk from code correctness. The source readiness boundary preserves current balance rather than treating these as code defects.","No gameplay, economy, reward, source, XML, config, or project behavior changed; balance tuning requires an explicit design decision and source-specific follow-up.","docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv","PriorOverlayEvidence: Labels=BalanceRisk;Conflicts;DocRisk;Overrides; RiskKind=DocumentationRisk;PolicyConflict; Evidence=Government:docs/wiki/Government_System.md;Government:docs/wiki/Player_Government_System_Guide.md;Government:docs/wiki/SystemAudit.md:L24;Phase 9 conflict checklist: PvP Consent versus Government war and city-ban rules.;PvP Consent:docs/wiki/pvp-consent-system.md || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.","2026-06-15T11:56:52.1526354-05:00","POST-BATCH-Y fence record. No source/project/XML/config/data files changed; this row defines source-change boundaries only."
"POST-BATCH-Y","PBY-0008","RB-05610","P10-F05610","POST-BATCH-F","PBF-008","DeferredBalanceDecision","Economy and reward loops","PvP Consent <-> XMLSpawner","Relationship-level row; no single source file is approved for policy edits from this row.","AcceptedFence","PreserveCurrentBalancePolicy","Preserve current balance/reward behavior.","No","No","Yes","Gameplay economy, reward rates, progression coupling, spawn reward, vendor/economy, crafting/harvest/gardening loop, and paired-system tuning for this relationship.","Source changes may proceed outside economy/reward tuning. Edits inside a listed pair must preserve current gameplay balance unless a later design batch approves tuning.","Required before changing balance, rewards, progression incentives, economy loops, or paired-system gameplay tuning.","Exclude balance/tuning changes from first source batch.","Future balance-affecting source edits must include source review, affected-system documentation update, gameplay/balance acceptance notes, Server.csproj Debug/x86 build, and compile-only runtime verification.","POST-BATCH-F explicitly separated balance risk from code correctness. The source readiness boundary preserves current balance rather than treating these as code defects.","No gameplay, economy, reward, source, XML, config, or project behavior changed; balance tuning requires an explicit design decision and source-specific follow-up.","docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv","PriorOverlayEvidence: Labels=BalanceRisk;Bypasses;Conflicts;DependsOn;DocRisk;StaffDependency; RiskKind=DocumentationRisk;MaintenanceCoupling;PolicyConflict; Evidence=Phase 9 conflict checklist: XMLPoints event overrides versus normal PvP consent.;PvP Consent->XMLSpawner:DirectReference:Data/Scripts/Mobiles/Base/PlayerMobile.cs:L12:XmlSpawner;PvP Consent:docs/wiki/pvp-consent-system.md;XMLSpawner:docs/wiki/AI_OVERHAUL_AUDIT.md;XMLSpawner:docs/wiki/SystemAudit.md:L22;XMLSpawner:docs/wiki/XML_Spawner_Enhancements.md || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.","2026-06-15T11:56:52.1526354-05:00","POST-BATCH-Y fence record. No source/project/XML/config/data files changed; this row defines source-change boundaries only."
"POST-BATCH-Y","PBY-0009","RB-05611","P10-F05611","POST-BATCH-F","PBF-009","DeferredBalanceDecision","Economy and reward loops","Government <-> Homestead","Relationship-level row; no single source file is approved for policy edits from this row.","AcceptedFence","PreserveCurrentBalancePolicy","Preserve current balance/reward behavior.","No","No","Yes","Gameplay economy, reward rates, progression coupling, spawn reward, vendor/economy, crafting/harvest/gardening loop, and paired-system tuning for this relationship.","Source changes may proceed outside economy/reward tuning. Edits inside a listed pair must preserve current gameplay balance unless a later design batch approves tuning.","Required before changing balance, rewards, progression incentives, economy loops, or paired-system gameplay tuning.","Exclude balance/tuning changes from first source batch.","Future balance-affecting source edits must include source review, affected-system documentation update, gameplay/balance acceptance notes, Server.csproj Debug/x86 build, and compile-only runtime verification.","POST-BATCH-F explicitly separated balance risk from code correctness. The source readiness boundary preserves current balance rather than treating these as code defects.","No gameplay, economy, reward, source, XML, config, or project behavior changed; balance tuning requires an explicit design decision and source-specific follow-up.","docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv","PriorOverlayEvidence: Labels=BalanceRisk;DocRisk;Supports; RiskKind=DocumentationRisk;EconomyBalance; Evidence=Government:docs/wiki/Government_System.md;Government:docs/wiki/Player_Government_System_Guide.md;Government:docs/wiki/SystemAudit.md:L24;Homestead:docs/wiki/Farmable_Crops_System.md;Homestead:docs/wiki/Homestead_System.md;Homestead:docs/wiki/Standard_Crafting.md:L234;Homestead:docs/wiki/SystemAudit.md:L27;Phase 9 synergy checklist: Homestead deepening non-combat economy. || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.","2026-06-15T11:56:52.1526354-05:00","POST-BATCH-Y fence record. No source/project/XML/config/data files changed; this row defines source-change boundaries only."
"POST-BATCH-Y","PBY-0010","RB-05612","P10-F05612","POST-BATCH-F","PBF-010","DeferredBalanceDecision","Economy and reward loops","Government <-> Vendor Core","Relationship-level row; no single source file is approved for policy edits from this row.","AcceptedFence","PreserveCurrentBalancePolicy","Preserve current balance/reward behavior.","No","No","Yes","Gameplay economy, reward rates, progression coupling, spawn reward, vendor/economy, crafting/harvest/gardening loop, and paired-system tuning for this relationship.","Source changes may proceed outside economy/reward tuning. Edits inside a listed pair must preserve current gameplay balance unless a later design batch approves tuning.","Required before changing balance, rewards, progression incentives, economy loops, or paired-system gameplay tuning.","Exclude balance/tuning changes from first source batch.","Future balance-affecting source edits must include source review, affected-system documentation update, gameplay/balance acceptance notes, Server.csproj Debug/x86 build, and compile-only runtime verification.","POST-BATCH-F explicitly separated balance risk from code correctness. The source readiness boundary preserves current balance rather than treating these as code defects.","No gameplay, economy, reward, source, XML, config, or project behavior changed; balance tuning requires an explicit design decision and source-specific follow-up.","docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv","PriorOverlayEvidence: Labels=BalanceRisk;DependsOn;DocRisk;Supports; RiskKind=DocumentationRisk;EconomyBalance;MaintenanceCoupling; Evidence=Government->Vendor Core:DirectReference:Data/Scripts/Custom/Government System/CityUpgradeSystem.cs:L93:Vendor;Government->Vendor Core:DirectReference:Data/Scripts/Custom/Government System/Gumps/CityManagementGump.cs:L184:Vendor;Government->Vendor Core:DirectReference:Data/Scripts/Custom/Government System/Gumps/CityMarketGump.cs:L30:Vendor;Government->Vendor Core:DirectReferen... || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.","2026-06-15T11:56:52.1526354-05:00","POST-BATCH-Y fence record. No source/project/XML/config/data files changed; this row defines source-change boundaries only."
