"System","CurrentPath","TargetPath","ProjectIncludeAction","PreMoveBlocker","Verification"
"Character Level","Data/Scripts/Custom/CharacterLevel","Data/Scripts/Custom/Progression/CharacterLevel","Update 4 Scripts.csproj include rows after the move; rerun project truth.","Phase 2 project truth currently has missing compile targets; repair or isolate affected include group before executing moves.","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired."
"Offline Skill Training","Data/Scripts/Custom/Offline Skill Training","Data/Scripts/Custom/Progression/OfflineSkillTraining","Update 14 Scripts.csproj include rows after the move; rerun project truth.","Phase 2 project truth currently has missing compile targets; repair or isolate affected include group before executing moves.","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired."
"Random Encounters","Data/Scripts/Custom/RandomEncounters","Data/Scripts/Custom/PvE/RandomEncounters","Update 22 Scripts.csproj include rows after the move; rerun project truth.","Phase 2 project truth currently has missing compile targets; repair or isolate affected include group before executing moves.","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired."
"Monster Nests","Data/Scripts/Custom/MonsterNest","Data/Scripts/Custom/PvE/MonsterNests","Update 12 Scripts.csproj include rows after the move; rerun project truth.","Phase 2 project truth currently has missing compile targets; repair or isolate affected include group before executing moves.","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired."
"PvP Consent","Data/Scripts/Custom/PvPConsent","Data/Scripts/Custom/PvP/PvPConsent","Update 10 Scripts.csproj include rows after the move; rerun project truth.","Phase 2 project truth currently has missing compile targets; repair or isolate affected include group before executing moves.","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired."
"Government","Data/Scripts/Custom/Government System","Data/Scripts/Custom/Government/GovernmentSystem","Update 412 Scripts.csproj include rows after the move; rerun project truth.","Phase 2 project truth currently has missing compile targets; repair or isolate affected include group before executing moves.","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired."
"Invasion","Data/Scripts/Custom/Invasion System","Data/Scripts/Custom/Events/InvasionSystem","Update 200 Scripts.csproj include rows after the move; rerun project truth.","Phase 2 project truth currently has missing compile targets; repair or isolate affected include group before executing moves.","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired."
"AI Overhaul","Data/Scripts/Custom/AIOverhaul","Data/Scripts/Custom/Combat/AIOverhaul","Update 1 Scripts.csproj include rows after the move; rerun project truth.","Phase 2 project truth currently has missing compile targets; repair or isolate affected include group before executing moves.","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired."
"OmniAI","Data/Scripts/Custom/OmniAI","Data/Scripts/Custom/ThirdParty/OmniAI","Update 16 Scripts.csproj include rows after the move; rerun project truth.","Phase 2 project truth currently has missing compile targets; repair or isolate affected include group before executing moves.","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired."
"Static Gump Tool","Data/Scripts/Custom/OzThothStaticGump","Data/Scripts/Custom/StaffTools/StaticGumpTool","Update 42 Scripts.csproj include rows after the move; rerun project truth.","Phase 2 project truth currently has missing compile targets; repair or isolate affected include group before executing moves.","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired."
"Staff Toolbar","Data/Scripts/Custom/Staff Toolbar [2.0]","Data/Scripts/Custom/ThirdParty/Staff Toolbar [2.0]","Update 2 Scripts.csproj include rows after the move; rerun project truth.","Phase 2 project truth currently has missing compile targets; repair or isolate affected include group before executing moves.","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired."
"XMLSpawner","Data/Scripts/Custom/XMLSpawner","Data/Scripts/Custom/ThirdParty/XMLSpawner","Update 266 Scripts.csproj include rows after the move; rerun project truth.","Phase 2 project truth currently has missing compile targets; repair or isolate affected include group before executing moves.","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired."
"Homestead","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]","Data/Scripts/Custom/ThirdParty/Vhaerun's CRL Homestead System [2.0]","Update 776 Scripts.csproj include rows after the move; rerun project truth.","Phase 2 project truth currently has missing compile targets; repair or isolate affected include group before executing moves.","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired."
"Clone Offline Player Characters","Data/Scripts/Custom/CloneOfflinePlayerCharacters","Data/Scripts/Custom/PvE/CloneOfflinePlayerCharacters","Update 8 Scripts.csproj include rows after the move; rerun project truth.","Phase 2 project truth currently has missing compile targets; repair or isolate affected include group before executing moves.","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired."
