"System","CurrentPath","TargetPath","DocsToUpdate","RequiredDocActions","Verification"
"Character Level","Data/Scripts/Custom/CharacterLevel","Data/Scripts/Custom/Progression/CharacterLevel","docs/wiki/Character_Level_Recon_Report.md;docs/wiki/Confictura_Introduction.md;docs/wiki/Random_Encounter_Engine.md","Update source traces, wiki links, system cards, dependency evidence, and project truth references after the move.","Re-run New-DocumentationTruthAudit.ps1 and New-DependencyGraph.ps1 after docs/source trace edits."
"Offline Skill Training","Data/Scripts/Custom/Offline Skill Training","Data/Scripts/Custom/Progression/OfflineSkillTraining","docs/wiki/offline-skill-training.md","Update source traces, wiki links, system cards, dependency evidence, and project truth references after the move.","Re-run New-DocumentationTruthAudit.ps1 and New-DependencyGraph.ps1 after docs/source trace edits."
"Random Encounters","Data/Scripts/Custom/RandomEncounters","Data/Scripts/Custom/PvE/RandomEncounters","docs/wiki/Random_Encounter_Engine.md;docs/wiki/Search_System.md","Update source traces, wiki links, system cards, dependency evidence, and project truth references after the move.","Re-run New-DocumentationTruthAudit.ps1 and New-DependencyGraph.ps1 after docs/source trace edits."
"Monster Nests","Data/Scripts/Custom/MonsterNest","Data/Scripts/Custom/PvE/MonsterNests","docs/wiki/Monster_Nest_System.md","Update source traces, wiki links, system cards, dependency evidence, and project truth references after the move.","Re-run New-DocumentationTruthAudit.ps1 and New-DependencyGraph.ps1 after docs/source trace edits."
"PvP Consent","Data/Scripts/Custom/PvPConsent","Data/Scripts/Custom/PvP/PvPConsent","docs/wiki/PvP_Consent_System.md;docs/wiki/pvp-consent-system.md","Update source traces, wiki links, system cards, dependency evidence, and project truth references after the move.","Re-run New-DocumentationTruthAudit.ps1 and New-DependencyGraph.ps1 after docs/source trace edits."
"Government","Data/Scripts/Custom/Government System","Data/Scripts/Custom/Government/GovernmentSystem","docs/wiki/Government_System.md;docs/wiki/Player_Government_System_Guide.md","Update source traces, wiki links, system cards, dependency evidence, and project truth references after the move.","Re-run New-DocumentationTruthAudit.ps1 and New-DependencyGraph.ps1 after docs/source trace edits."
"Invasion","Data/Scripts/Custom/Invasion System","Data/Scripts/Custom/Events/InvasionSystem","docs/wiki/Invasion_System.md","Update source traces, wiki links, system cards, dependency evidence, and project truth references after the move.","Re-run New-DocumentationTruthAudit.ps1 and New-DependencyGraph.ps1 after docs/source trace edits."
"AI Overhaul","Data/Scripts/Custom/AIOverhaul","Data/Scripts/Custom/Combat/AIOverhaul","docs/wiki/AI_OVERHAUL_AUDIT.md;docs/wiki/Creature_AI_Core.md","Update source traces, wiki links, system cards, dependency evidence, and project truth references after the move.","Re-run New-DocumentationTruthAudit.ps1 and New-DependencyGraph.ps1 after docs/source trace edits."
"OmniAI","Data/Scripts/Custom/OmniAI","Data/Scripts/Custom/ThirdParty/OmniAI","docs/wiki/AI_OVERHAUL_AUDIT.md;docs/wiki/Misc_Magic_Spells.md;docs/wiki/OmniAI.md","Update source traces, wiki links, system cards, dependency evidence, and project truth references after the move.","Re-run New-DocumentationTruthAudit.ps1 and New-DependencyGraph.ps1 after docs/source trace edits."
"Static Gump Tool","Data/Scripts/Custom/OzThothStaticGump","Data/Scripts/Custom/StaffTools/StaticGumpTool","docs/wiki/Static_Gump_Tool.md","Update source traces, wiki links, system cards, dependency evidence, and project truth references after the move.","Re-run New-DocumentationTruthAudit.ps1 and New-DependencyGraph.ps1 after docs/source trace edits."
"Staff Toolbar","Data/Scripts/Custom/Staff Toolbar [2.0]","Data/Scripts/Custom/ThirdParty/Staff Toolbar [2.0]","docs/wiki/Staff_Toolbar.md","Update source traces, wiki links, system cards, dependency evidence, and project truth references after the move.","Re-run New-DocumentationTruthAudit.ps1 and New-DependencyGraph.ps1 after docs/source trace edits."
"XMLSpawner","Data/Scripts/Custom/XMLSpawner","Data/Scripts/Custom/ThirdParty/XMLSpawner","docs/wiki/AI_OVERHAUL_AUDIT.md;docs/wiki/XML_Spawner_Enhancements.md","Update source traces, wiki links, system cards, dependency evidence, and project truth references after the move.","Re-run New-DocumentationTruthAudit.ps1 and New-DependencyGraph.ps1 after docs/source trace edits."
"Homestead","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]","Data/Scripts/Custom/ThirdParty/Vhaerun's CRL Homestead System [2.0]","docs/wiki/Homestead_System.md","Update source traces, wiki links, system cards, dependency evidence, and project truth references after the move.","Re-run New-DocumentationTruthAudit.ps1 and New-DependencyGraph.ps1 after docs/source trace edits."
"Clone Offline Player Characters","Data/Scripts/Custom/CloneOfflinePlayerCharacters","Data/Scripts/Custom/PvE/CloneOfflinePlayerCharacters","docs/wiki/AI_OVERHAUL_AUDIT.md;docs/wiki/Clone_Offline_Player_Characters.md","Update source traces, wiki links, system cards, dependency evidence, and project truth references after the move.","Re-run New-DocumentationTruthAudit.ps1 and New-DependencyGraph.ps1 after docs/source trace edits."
