"Id","Source","Category","System","Files","Count","Reason","NextAction","Verification","Status"
"DEF-0001","Phase 11 comment review","Inline comments","Multiple","","206","The hook draft names no concrete ordering, lifecycle, or duplicate-subscription rule; leave it for targeted source review.","Review representative targets during the matching repair batch; add comments only with source-specific reasons.","Rerun comment target register and source diff check after comments are applied.","Deferred"
"DEF-0002","Phase 11 comment review","Inline comments","Multiple","","3104","The draft is intentionally generic; Phase 11 approves only comments with source-specific save risk such as PlayerMobile.","Review representative targets during the matching repair batch; add comments only with source-specific reasons.","Rerun comment target register and source diff check after comments are applied.","Deferred"
"DEF-0003","Phase 11 comment review","Inline comments","Multiple","","15","Generated candidate needs method-level source review before a comment can be high-signal.","Review representative targets during the matching repair batch; add comments only with source-specific reasons.","Rerun comment target register and source diff check after comments are applied.","Deferred"
"DEF-0004","Phase 11 comment review","Inline comments","Multiple","","1","Generated candidate needs method-level source review before a comment can be high-signal.","Review representative targets during the matching repair batch; add comments only with source-specific reasons.","Rerun comment target register and source diff check after comments are applied.","Deferred"
"DEF-0005","Phase 11 comment review","Inline comments","Multiple","","408","Pooled enumerable findings may require code changes such as try/finally Free; adding only a comment would document a likely bug without fixing it.","Review representative targets during the matching repair batch; add comments only with source-specific reasons.","Rerun comment target register and source diff check after comments are applied.","Deferred"
"DEF-0006","Phase 11 comment review","Inline comments","Multiple","","1","Nearby source comments already explain that XMLSpawner replaces or extends default packet handlers and why the delayed registration exists.","Review representative targets during the matching repair batch; add comments only with source-specific reasons.","Rerun comment target register and source diff check after comments are applied.","Deferred"
"DEF-0007","Phase 11 comment review","Inline comments","Multiple","","2","Nearby source comments already explain that XMLSpawner replaces or extends default packet handlers and why the delayed registration exists.","Review representative targets during the matching repair batch; add comments only with source-specific reasons.","Rerun comment target register and source diff check after comments are applied.","Deferred"
"DEF-0008","Phase 12 reorganization design","Folder and namespace cleanup","Character Level","Data/Scripts/Custom/CharacterLevel","1","After Phase 2 project drift repair and focused Scripts.csproj update.","Open a focused move batch only after project truth, save compatibility, docs, and build gates are satisfied.","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired.","Deferred"
"DEF-0009","Phase 12 reorganization design","Folder and namespace cleanup","Offline Skill Training","Data/Scripts/Custom/Offline Skill Training","1","After serializer review and project truth repair.","Open a focused move batch only after project truth, save compatibility, docs, and build gates are satisfied.","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired.","Deferred"
"DEF-0010","Phase 12 reorganization design","Folder and namespace cleanup","Random Encounters","Data/Scripts/Custom/RandomEncounters","1","After dependency docs update and project truth repair.","Open a focused move batch only after project truth, save compatibility, docs, and build gates are satisfied.","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired.","Deferred"
"DEF-0011","Phase 12 reorganization design","Folder and namespace cleanup","Monster Nests","Data/Scripts/Custom/MonsterNest","1","Only after serializer paths are source-reviewed.","Open a focused move batch only after project truth, save compatibility, docs, and build gates are satisfied.","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired.","Deferred"
"DEF-0012","Phase 12 reorganization design","Folder and namespace cleanup","PvP Consent","Data/Scripts/Custom/PvPConsent","1","After PvP Consent, Government, Regions, XMLPoints, and PlayerMobile policy review.","Open a focused move batch only after project truth, save compatibility, docs, and build gates are satisfied.","Re-run New-ProjectTruthRegister.ps1; re-run dependency, serialization, and docs trace outputs for moved paths; run Scripts.csproj build after Phase 2 project drift is repaired.","Deferred"
