"Priority","System","Classification","SourceFileCount","RiskBasis","FirstFollowUp"
"1","Character Level","GameplayLayer","2","Runtime hook markers present","Review system card and feed Phase 5/6/8 outputs."
"2","Random Encounters","GameplayLayer","11","Serialization markers present","Review system card and feed Phase 5/6/8 outputs."
"3","PvP Consent","GameplayLayer","6","Serialization markers present","Review system card and feed Phase 5/6/8 outputs."
"4","Government","GameplayLayer","217","Serialization markers present","Review system card and feed Phase 5/6/8 outputs."
"5","Homestead","ImportedPackage","402","Serialization markers present","Review system card and feed Phase 5/6/8 outputs."
"6","XMLSpawner","SharedService","133","Shared service or framework dependency","Review system card and feed Phase 5/6/8 outputs."
"7","Invasion","StaffEventTool","100","Serialization markers present","Review system card and feed Phase 5/6/8 outputs."
"8","Champions","GameplayLayer","73","Serialization markers present","Review system card and feed Phase 5/6/8 outputs."
"9","Monster Nests","GameplayLayer","6","Serialization markers present","Review system card and feed Phase 5/6/8 outputs."
"10","Clone Offline Player Characters","GameplayLayer","13","Serialization markers present","Review system card and feed Phase 5/6/8 outputs."
"11","Offline Skill Training","GameplayLayer","7","Serialization markers present","Review system card and feed Phase 5/6/8 outputs."
"12","OmniAI","ImportedPackage","8","Serialization markers present","Review system card and feed Phase 5/6/8 outputs."
"13","AI Overhaul","GameplayLayer","1","Seed high-risk system","Review system card and feed Phase 5/6/8 outputs."
"14","Staff Toolbar","StaffEventTool","1","Serialization markers present","Review system card and feed Phase 5/6/8 outputs."
"15","Static Gump Tool","StaffEventTool","21","Runtime hook markers present","Review system card and feed Phase 5/6/8 outputs."
"16","Spell Framework","SharedService","577","Shared service or framework dependency","Review system card and feed Phase 5/6/8 outputs."
"17","Magic Schools","GameplayLayer","267","Serialization markers present","Review system card and feed Phase 5/6/8 outputs."
"18","Crafting Core","SharedService","21","Shared service or framework dependency","Review system card and feed Phase 5/6/8 outputs."
"19","Harvest System","SharedService","21","Shared service or framework dependency","Review system card and feed Phase 5/6/8 outputs."
"20","Bulk Orders","GameplayLayer","60","Serialization markers present","Review system card and feed Phase 5/6/8 outputs."
"21","Gardening","GameplayLayer","63","Serialization markers present","Review system card and feed Phase 5/6/8 outputs."
"22","Housing","SharedService","94","Shared service or framework dependency","Review system card and feed Phase 5/6/8 outputs."
"23","Boats","GameplayLayer","33","Serialization markers present","Review system card and feed Phase 5/6/8 outputs."
"24","Regions","SharedService","56","Shared service or framework dependency","Review system card and feed Phase 5/6/8 outputs."
"25","PlayerMobile Core","SharedService","1","Shared service or framework dependency","Review system card and feed Phase 5/6/8 outputs."
"26","Vendor Core","SharedService","111","Shared service or framework dependency","Review system card and feed Phase 5/6/8 outputs."
"27","Obsolete Scripts","LegacyCompatibility","324","Legacy compatibility and possible active hooks","Review system card and feed Phase 5/6/8 outputs."
