"Input","Present","RowCount","Purpose"
"project-truth-register.csv","Yes","13152","Prior phase output required by Phase 14 final verification."
"cross-tree-runtime-inventory.csv","Yes","6700","Prior phase output required by Phase 14 final verification."
"system-owner-map.csv","Yes","2629","Prior phase output required by Phase 14 final verification."
"runtime-hook-map.csv","Yes","6604","Prior phase output required by Phase 14 final verification."
"serialization-register.csv","Yes","9158","Prior phase output required by Phase 14 final verification."
"documentation-truth-table.csv","Yes","122","Prior phase output required by Phase 14 final verification."
"dependency-graph.csv","Yes","30063","Prior phase output required by Phase 14 final verification."
"synergy-conflict-matrix.csv","Yes","351","Prior phase output required by Phase 14 final verification."
"risk-track-findings.csv","Yes","6801","Prior phase output required by Phase 14 final verification."
"comment-target-register.csv","Yes","3739","Prior phase output required by Phase 14 final verification."
"reorganization-design.csv","Yes","5","Prior phase output required by Phase 14 final verification."
"repair-backlog.csv","Yes","6815","Prior phase output required by Phase 14 final verification."
"accepted-risk-register.csv","Yes","3","Prior phase output required by Phase 14 final verification."
"deferred-work-register.csv","Yes","21","Prior phase output required by Phase 14 final verification."
"verification-matrix.csv","Yes","10","Prior phase output required by Phase 14 final verification."
"docs/codebase-audit/PHASE_STATUS.md","Yes","","Controlling phase-runner state, instructions, or plan evidence."
"docs/codebase-audit/RUN_LOG.md","Yes","","Controlling phase-runner state, instructions, or plan evidence."
"CODEBASE_SYSTEMS_AUDIT_AND_REORG_PLAN.md","Yes","","Controlling phase-runner state, instructions, or plan evidence."
"docs/codebase-audit-phases/phase-14-verification-and-commit-workflow.md","Yes","","Controlling phase-runner state, instructions, or plan evidence."
