"DocPath","IssueTypes","ExistingBacklogIds","GeneratedBacklogId","Priority","Evidence","Recommendation","Status"
"docs/CCWM/Confictura_Codex_World_Map.md","NeedsReworkOrTodo","","DOC-0001","Medium","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/CCWM/generated/Run_Index.md","NeedsReworkOrTodo","","DOC-0002","Medium","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Access_Level_Stone.md","MissingSourceTrace","","DOC-0003","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Animal_Shape_Stones.md","MissingSourceTrace","WIKI-0015","","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","ExistingBacklog"
"docs/wiki/Animal_Trainer_Stable_Claim.md","MissingSourceTrace","","DOC-0004","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Apiculture_Beekeeping.md","NeedsReworkOrTodo","","DOC-0005","Medium","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/auditautomationprompt.md","NeedsReworkOrTodo","","DOC-0006","Medium","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Auto_Sheath.md","MissingSourceTrace","","DOC-0007","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Banker_Speech_Commands.md","MissingSourceTrace","WIKI-0013","","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","ExistingBacklog"
"docs/wiki/Barbaric_Play_Style.md","MissingSourceTrace","","DOC-0008","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Bard_Song_Magic.md","MissingSourceTrace","","DOC-0009","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Base_Spell_Framework.md","MissingSourceTrace","","DOC-0010","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Boat_Core_Mechanics.md","MissingSourceTrace","","DOC-0011","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/boat-navigation-control.md","MissingSourceTrace","","DOC-0012","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/bond-info-command.md","MissingSourceTrace","","DOC-0013","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Book_Publisher.md","MissingSourceTrace;NeedsReworkOrTodo","","DOC-0014","High","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.; Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Bulk_Order_System.md","MissingSourceTrace","","DOC-0015","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Bushido.md","MissingSourceTrace;NeedsReworkOrTodo","","DOC-0016","High","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.; Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Champion_Spawns.md","MissingSourceTrace;NeedsReworkOrTodo","","DOC-0017","High","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.; Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Change_Season_Command.md","MissingSourceTrace","","DOC-0018","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
