"File","Class","Location","CommentType","Reason","DraftComment","SourcePhase","Status","Evidence"
"Data/Scripts/Custom/Access Level Stone [2.0]/AccessLevelStone.cs","Server.Items.AccessLevelStone","Serialize/Deserialize","Serialization","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","// Save format: keep Serialize and Deserialize field order, version gates, and discarded legacy reads aligned.","Phase 6","CandidateForPhase11","Serialize:L82;Deserialize:L96;SerialCtor:L79;VersionWrite:L85;VersionRead:L99"
"Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/DragonShapeChangeStone-body.cs","Server.Items.DragonShapeShiftStone","Serialize/Deserialize","Serialization","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","// Save format: keep Serialize and Deserialize field order, version gates, and discarded legacy reads aligned.","Phase 6","CandidateForPhase11","Serialize:L120;Deserialize:L131;SerialCtor:L25;VersionWrite:L123;VersionRead:L134"
"Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FelinusShapeChangeStone.cs","Server.Items.FelinusShapeShiftStone","Serialize/Deserialize","Serialization","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","// Save format: keep Serialize and Deserialize field order, version gates, and discarded legacy reads aligned.","Phase 6","CandidateForPhase11","Serialize:L123;Deserialize:L134;SerialCtor:L25;VersionWrite:L126;VersionRead:L137"
"Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/RatShapeChangeStone.cs","Server.Items.RatShapeShiftStone","Serialize/Deserialize","Serialization","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","// Save format: keep Serialize and Deserialize field order, version gates, and discarded legacy reads aligned.","Phase 6","CandidateForPhase11","Serialize:L123;Deserialize:L134;SerialCtor:L25;VersionWrite:L126;VersionRead:L137"
"Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/WolvenShapeChangeStone.cs","Server.Items.WolvenShapeShiftStone","Serialize/Deserialize","Serialization","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","// Save format: keep Serialize and Deserialize field order, version gates, and discarded legacy reads aligned.","Phase 6","CandidateForPhase11","Serialize:L123;Deserialize:L134;SerialCtor:L25;VersionWrite:L126;VersionRead:L137"
"Data/Scripts/Custom/Book Publisher [2.0]/PublishedBook.cs","Server.Items.PublishedBook","Serialize/Deserialize","Serialization","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","// Save format: keep Serialize and Deserialize field order, version gates, and discarded legacy reads aligned.","Phase 6","CandidateForPhase11","Serialize:L215;Deserialize:L193;SerialCtor:L190;VersionWrite:L218;VersionRead:L196"
"Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs","Server.Items.GMHidingStone","Serialize/Deserialize","Serialization","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","// Save format: keep Serialize and Deserialize field order, version gates, and discarded legacy reads aligned.","Phase 6","CandidateForPhase11","Serialize:L748;Deserialize:L758;SerialCtor:L745;VersionWrite:L751;VersionRead:L762"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Nosferatu.cs","Server.Mobiles.Nosferatu","Serialize/Deserialize","Serialization","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","// Save format: keep Serialize and Deserialize field order, version gates, and discarded legacy reads aligned.","Phase 6","CandidateForPhase11","Serialize:L46;Deserialize:L53;SerialCtor:L43;VersionWrite:L49;VersionRead:L56"
"Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Ilhenir.cs","Server.Mobiles.StainedOoze","Serialize/Deserialize","Serialization","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","// Save format: keep Serialize and Deserialize field order, version gates, and discarded legacy reads aligned.","Phase 6","CandidateForPhase11","Serialize:L473;Deserialize:L482;SerialCtor:L470;VersionWrite:L477;VersionRead:L486"
"Data/Scripts/Custom/Champions/Mobiles/Champs-UO/LordOaks.cs","Server.Mobiles.LordOaks","Serialize/Deserialize","Serialization","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","// Save format: keep Serialize and Deserialize field order, version gates, and discarded legacy reads aligned.","Phase 6","CandidateForPhase11","Serialize:L255;Deserialize:L265;SerialCtor:L252;VersionWrite:L259;VersionRead:L269"
