"System","CurrentPath","TargetPath","NamespaceDecision","Reason","MigrationRequirement"
"Character Level","Data/Scripts/Custom/CharacterLevel","Data/Scripts/Custom/Progression/CharacterLevel","NoNamespaceChange","World saves, source references, project includes, and docs source traces should be updated independently from any namespace migration.","None for folder-only move."
"Offline Skill Training","Data/Scripts/Custom/Offline Skill Training","Data/Scripts/Custom/Progression/OfflineSkillTraining","NamespaceRenameForbiddenWithoutMigration","World saves, source references, project includes, and docs source traces should be updated independently from any namespace migration.","Explicit migration plan and save-load verification required."
"Random Encounters","Data/Scripts/Custom/RandomEncounters","Data/Scripts/Custom/PvE/RandomEncounters","NamespaceRenameForbiddenWithoutMigration","World saves, source references, project includes, and docs source traces should be updated independently from any namespace migration.","Explicit migration plan and save-load verification required."
"Monster Nests","Data/Scripts/Custom/MonsterNest","Data/Scripts/Custom/PvE/MonsterNests","NamespaceRenameForbiddenWithoutMigration","World saves, source references, project includes, and docs source traces should be updated independently from any namespace migration.","Explicit migration plan and save-load verification required."
"PvP Consent","Data/Scripts/Custom/PvPConsent","Data/Scripts/Custom/PvP/PvPConsent","NamespaceRenameForbiddenWithoutMigration","World saves, source references, project includes, and docs source traces should be updated independently from any namespace migration.","Explicit migration plan and save-load verification required."
"Government","Data/Scripts/Custom/Government System","Data/Scripts/Custom/Government/GovernmentSystem","NamespaceRenameForbiddenWithoutMigration","World saves, source references, project includes, and docs source traces should be updated independently from any namespace migration.","Explicit migration plan and save-load verification required."
"Invasion","Data/Scripts/Custom/Invasion System","Data/Scripts/Custom/Events/InvasionSystem","NamespaceRenameForbiddenWithoutMigration","World saves, source references, project includes, and docs source traces should be updated independently from any namespace migration.","Explicit migration plan and save-load verification required."
"AI Overhaul","Data/Scripts/Custom/AIOverhaul","Data/Scripts/Custom/Combat/AIOverhaul","NoNamespaceChange","World saves, source references, project includes, and docs source traces should be updated independently from any namespace migration.","None for folder-only move."
"OmniAI","Data/Scripts/Custom/OmniAI","Data/Scripts/Custom/ThirdParty/OmniAI","NamespaceRenameForbiddenWithoutMigration","World saves, source references, project includes, and docs source traces should be updated independently from any namespace migration.","Explicit migration plan and save-load verification required."
"Static Gump Tool","Data/Scripts/Custom/OzThothStaticGump","Data/Scripts/Custom/StaffTools/StaticGumpTool","NoNamespaceChange","World saves, source references, project includes, and docs source traces should be updated independently from any namespace migration.","None for folder-only move."
"Staff Toolbar","Data/Scripts/Custom/Staff Toolbar [2.0]","Data/Scripts/Custom/ThirdParty/Staff Toolbar [2.0]","NamespaceRenameForbiddenWithoutMigration","World saves, source references, project includes, and docs source traces should be updated independently from any namespace migration.","Explicit migration plan and save-load verification required."
"XMLSpawner","Data/Scripts/Custom/XMLSpawner","Data/Scripts/Custom/ThirdParty/XMLSpawner","NamespaceRenameForbiddenWithoutMigration","World saves, source references, project includes, and docs source traces should be updated independently from any namespace migration.","Explicit migration plan and save-load verification required."
"Homestead","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]","Data/Scripts/Custom/ThirdParty/Vhaerun's CRL Homestead System [2.0]","NamespaceRenameForbiddenWithoutMigration","World saves, source references, project includes, and docs source traces should be updated independently from any namespace migration.","Explicit migration plan and save-load verification required."
"Clone Offline Player Characters","Data/Scripts/Custom/CloneOfflinePlayerCharacters","Data/Scripts/Custom/PvE/CloneOfflinePlayerCharacters","NamespaceRenameForbiddenWithoutMigration","World saves, source references, project includes, and docs source traces should be updated independently from any namespace migration.","Explicit migration plan and save-load verification required."
