"CandidateId","ProposedBatchId","RecommendationRank","Recommendation","BehaviorToChange","System","ExpectedSourceFiles","NonGatedRationale","PostBatchYGateHitCount","PostBatchYGateEvidence","ActiveOverlayRows","ActiveOverlayEvidence","Risks","VerificationRequired","WhatMustStayUnchanged","SourceEvidence","SuggestedGoalShape"
"SB119-CAND-001","SOURCE-BATCH-119","1","RecommendedTarget","Add stale/null/mobile/source-item guards to DecoBlackmoor.OnDragLift(Mobile from) before sending the existing collectible-message and delegating to base.OnDragLift.","Items:Special / Rares / PaganReagents / DecoBlackmoor","Data/Scripts/Items/Special/Rares/PaganReagents/DecoBlackmoor.cs","Single decorative rare item file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves collectible message and drag-lift delegation.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Special/Rares/PaganReagents/DecoBlackmoor.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Special/Rares/PaganReagents/DecoBlackmoor.cs.","Implementation must not change item ID, Movable, Stackable, collectible message, base.OnDragLift return behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message/base-call scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends the collectible message and returns base.OnDragLift(from); constructor fields and serialization stay unchanged.","Discovery found DecoBlackmoor.OnDragLift dereferencing from.SendMessage before stale/null guards.","SOURCE-BATCH-119 DecoBlackmoor Guard Repair"
"SB119-CAND-002","SOURCE-BATCH-120","2","NextCleanCandidate","Add stale/null/mobile/source-item guards to DecoBloodspawn.OnDragLift(Mobile from) before sending the existing collectible-message and delegating to base.OnDragLift.","Items:Special / Rares / PaganReagents / DecoBloodspawn","Data/Scripts/Items/Special/Rares/PaganReagents/DecoBloodspawn.cs","Single decorative rare item file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves collectible message and drag-lift delegation.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Special/Rares/PaganReagents/DecoBloodspawn.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Special/Rares/PaganReagents/DecoBloodspawn.cs.","Implementation must not change item ID, Movable, Stackable, collectible message, base.OnDragLift return behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message/base-call scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends the collectible message and returns base.OnDragLift(from); constructor fields and serialization stay unchanged.","Discovery found DecoBloodspawn.OnDragLift dereferencing from.SendMessage before stale/null guards.","SOURCE-BATCH-120 DecoBloodspawn Guard Repair"
"SB119-CAND-003","SOURCE-BATCH-121","3","NextCleanCandidate","Add stale/null/mobile/source-item guards to DecoBrimstone.OnDragLift(Mobile from) before sending the existing collectible-message and delegating to base.OnDragLift.","Items:Special / Rares / PaganReagents / DecoBrimstone","Data/Scripts/Items/Special/Rares/PaganReagents/DecoBrimstone.cs","Single decorative rare item file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves collectible message and drag-lift delegation.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Special/Rares/PaganReagents/DecoBrimstone.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Special/Rares/PaganReagents/DecoBrimstone.cs.","Implementation must not change item ID, Movable, Stackable, collectible message, base.OnDragLift return behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message/base-call scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends the collectible message and returns base.OnDragLift(from); constructor fields and serialization stay unchanged.","Discovery found DecoBrimstone.OnDragLift dereferencing from.SendMessage before stale/null guards.","SOURCE-BATCH-121 DecoBrimstone Guard Repair"
"SB119-CAND-004","SOURCE-BATCH-122","4","NextCleanCandidate","Add stale/null/mobile/source-item guards to DecoDragonsBlood.OnDragLift(Mobile from) before sending the existing collectible-message and delegating to base.OnDragLift.","Items:Special / Rares / PaganReagents / DecoDragonsBlood","Data/Scripts/Items/Special/Rares/PaganReagents/DecoDragonsBlood.cs","Single decorative rare item file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves collectible message and drag-lift delegation.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Special/Rares/PaganReagents/DecoDragonsBlood.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Special/Rares/PaganReagents/DecoDragonsBlood.cs.","Implementation must not change item ID, Movable, Stackable, collectible message, base.OnDragLift return behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message/base-call scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends the collectible message and returns base.OnDragLift(from); constructor fields and serialization stay unchanged.","Discovery found DecoDragonsBlood.OnDragLift dereferencing from.SendMessage before stale/null guards.","SOURCE-BATCH-122 DecoDragonsBlood Guard Repair"
"SB119-CAND-005","SOURCE-BATCH-123","5","NextCleanCandidate","Add stale/null/mobile/source-item guards to DecoDragonsBlood2.OnDragLift(Mobile from) before sending the existing collectible-message and delegating to base.OnDragLift.","Items:Special / Rares / PaganReagents / DecoDragonsBlood2","Data/Scripts/Items/Special/Rares/PaganReagents/DecoDragonsBlood2.cs","Single decorative rare item file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves collectible message and drag-lift delegation.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Special/Rares/PaganReagents/DecoDragonsBlood2.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Special/Rares/PaganReagents/DecoDragonsBlood2.cs.","Implementation must not change item ID, Movable, Stackable, collectible message, base.OnDragLift return behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message/base-call scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends the collectible message and returns base.OnDragLift(from); constructor fields and serialization stay unchanged.","Discovery found DecoDragonsBlood2.OnDragLift dereferencing from.SendMessage before stale/null guards.","SOURCE-BATCH-123 DecoDragonsBlood2 Guard Repair"
"SB119-CAND-006","SOURCE-BATCH-124","6","NextCleanCandidate","Add stale/null/mobile/source-item guards to DecoEyeOfNewt.OnDragLift(Mobile from) before sending the existing collectible-message and delegating to base.OnDragLift.","Items:Special / Rares / PaganReagents / DecoEyeOfNewt","Data/Scripts/Items/Special/Rares/PaganReagents/DecoEyeOfNewt.cs","Single decorative rare item file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves collectible message and drag-lift delegation.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Special/Rares/PaganReagents/DecoEyeOfNewt.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Special/Rares/PaganReagents/DecoEyeOfNewt.cs.","Implementation must not change item ID, Movable, Stackable, collectible message, base.OnDragLift return behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message/base-call scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends the collectible message and returns base.OnDragLift(from); constructor fields and serialization stay unchanged.","Discovery found DecoEyeOfNewt.OnDragLift dereferencing from.SendMessage before stale/null guards.","SOURCE-BATCH-124 DecoEyeOfNewt Guard Repair"
"SB119-CAND-007","SOURCE-BATCH-125","7","NextCleanCandidate","Add stale/null/mobile/source-item guards to DecoGarlic.OnDragLift(Mobile from) before sending the existing collectible-message and delegating to base.OnDragLift.","Items:Special / Rares / PaganReagents / DecoGarlic","Data/Scripts/Items/Special/Rares/PaganReagents/DecoGarlic.cs","Single decorative rare item file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves collectible message and drag-lift delegation.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Special/Rares/PaganReagents/DecoGarlic.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Special/Rares/PaganReagents/DecoGarlic.cs.","Implementation must not change item ID, Movable, Stackable, collectible message, base.OnDragLift return behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message/base-call scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends the collectible message and returns base.OnDragLift(from); constructor fields and serialization stay unchanged.","Discovery found DecoGarlic.OnDragLift dereferencing from.SendMessage before stale/null guards.","SOURCE-BATCH-125 DecoGarlic Guard Repair"
"SB119-CAND-008","SOURCE-BATCH-126","8","NextCleanCandidate","Add stale/null/mobile/source-item guards to DecoGarlic2.OnDragLift(Mobile from) before sending the existing collectible-message and delegating to base.OnDragLift.","Items:Special / Rares / PaganReagents / DecoGarlic2","Data/Scripts/Items/Special/Rares/PaganReagents/DecoGarlic2.cs","Single decorative rare item file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves collectible message and drag-lift delegation.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Special/Rares/PaganReagents/DecoGarlic2.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Special/Rares/PaganReagents/DecoGarlic2.cs.","Implementation must not change item ID, Movable, Stackable, collectible message, base.OnDragLift return behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message/base-call scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends the collectible message and returns base.OnDragLift(from); constructor fields and serialization stay unchanged.","Discovery found DecoGarlic2.OnDragLift dereferencing from.SendMessage before stale/null guards.","SOURCE-BATCH-126 DecoGarlic2 Guard Repair"
"SB119-CAND-009","SOURCE-BATCH-127","9","NextCleanCandidate","Add stale/null/mobile/source-item guards to DecoGarlicBulb.OnDragLift(Mobile from) before sending the existing collectible-message and delegating to base.OnDragLift.","Items:Special / Rares / PaganReagents / DecoGarlicBulb","Data/Scripts/Items/Special/Rares/PaganReagents/DecoGarlicBulb.cs","Single decorative rare item file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves collectible message and drag-lift delegation.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Special/Rares/PaganReagents/DecoGarlicBulb.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Special/Rares/PaganReagents/DecoGarlicBulb.cs.","Implementation must not change item ID, Movable, Stackable, collectible message, base.OnDragLift return behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message/base-call scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends the collectible message and returns base.OnDragLift(from); constructor fields and serialization stay unchanged.","Discovery found DecoGarlicBulb.OnDragLift dereferencing from.SendMessage before stale/null guards.","SOURCE-BATCH-127 DecoGarlicBulb Guard Repair"
"SB119-CAND-010","SOURCE-BATCH-128","10","NextCleanCandidate","Add stale/null/mobile/source-item guards to DecoGarlicBulb2.OnDragLift(Mobile from) before sending the existing collectible-message and delegating to base.OnDragLift.","Items:Special / Rares / PaganReagents / DecoGarlicBulb2","Data/Scripts/Items/Special/Rares/PaganReagents/DecoGarlicBulb2.cs","Single decorative rare item file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves collectible message and drag-lift delegation.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Special/Rares/PaganReagents/DecoGarlicBulb2.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Special/Rares/PaganReagents/DecoGarlicBulb2.cs.","Implementation must not change item ID, Movable, Stackable, collectible message, base.OnDragLift return behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message/base-call scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends the collectible message and returns base.OnDragLift(from); constructor fields and serialization stay unchanged.","Discovery found DecoGarlicBulb2.OnDragLift dereferencing from.SendMessage before stale/null guards.","SOURCE-BATCH-128 DecoGarlicBulb2 Guard Repair"
