"Id","System","Status","VerificationStatus","Reason","NextAction","CardPath"
"SC-001","Character Level","Open","NeedsRuntimeReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/character-level.md"
"SC-002","Random Encounters","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/random-encounters.md"
"SC-003","PvP Consent","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/pvp-consent.md"
"SC-004","Government","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/government.md"
"SC-005","Homestead","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/homestead.md"
"SC-006","XMLSpawner","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/xmlspawner.md"
"SC-007","Invasion","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/invasion.md"
"SC-008","Champions","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/champions.md"
"SC-009","Monster Nests","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/monster-nests.md"
"SC-010","Clone Offline Player Characters","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/clone-offline-player-characters.md"
"SC-011","Offline Skill Training","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/offline-skill-training.md"
"SC-012","OmniAI","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/omniai.md"
"SC-013","AI Overhaul","Open","PartiallyVerified","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/ai-overhaul.md"
