"Path","DriftClass","Priority","LikelySystem","RuntimeMarkers","ProposedFix","Verification"
"Data/Scripts/Custom/AIOverhaul/AITacticalTargeting.cs","ActiveSourceMissingInclude","P2","Custom:AIOverhaul","","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/CloneOfflinePlayerCharacters/BackpackClone.cs","ActiveSourceMissingInclude","P2","Custom:CloneOfflinePlayerCharacters","","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/CloneOfflinePlayerCharacters/CharacterClone.cs","ActiveSourceMissingInclude","P2","Custom:CloneOfflinePlayerCharacters","CustomTimerSubclass","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/CloneOfflinePlayerCharacters/CheckClonesCommand.cs","ActiveSourceMissingInclude","P1","Custom:CloneOfflinePlayerCharacters","CommandSystem.Register;Initialize","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/CloneOfflinePlayerCharacters/CloneThings.cs","ActiveSourceMissingInclude","P2","Custom:CloneOfflinePlayerCharacters","","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/CloneOfflinePlayerCharacters/EtherealMountClone.cs","ActiveSourceMissingInclude","P2","Custom:CloneOfflinePlayerCharacters","","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/CloneOfflinePlayerCharacters/MountClone.cs","ActiveSourceMissingInclude","P2","Custom:CloneOfflinePlayerCharacters","","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/Government System/GovernmentTestingMode.cs","ActiveSourceMissingInclude","P2","Custom:Government System","","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/Government System/Commands/GovernmentTestingCommand.cs","ActiveSourceMissingInclude","P1","Custom:Government System","CommandSystem.Register;Initialize","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/Government System/Gumps/ResourceBoxGump.cs","ActiveSourceMissingInclude","P1","Custom:Government System","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
