"Id","AuditId","Priority","Status","System","Capability","Decision","RecommendedSurface","Files","Evidence","Risk","ContentBrief","SpoilerBoundary","AcceptanceTest","RuntimeOwnerCheck","Notes"
"IGDB-0001","IGD-DOC-docs-wiki-pvp-consent-system-md","P1","Ready","CanonicalWiki:Player Commands And Account Tools","PvP Consent System","Incorporate","Help","Data/Scripts/Custom/PvPConsent/GoddessOfProtection.cs;Data/Scripts/Custom/PvPConsent/Gumps/PKNONPKGUMP.cs;Data/Scripts/Custom/PvPConsent/NONPKEventMoongate.cs;Data/Scripts/Custom/PvPConsent/NONPKSword.cs;Data/Scripts/Custom/PvPConsent/PKSword.cs;Data/Scripts/Mobiles/Base/PlayerMobile.cs;Data/Scripts/System/Misc/Notoriety.cs;Data/Scripts/System/Regions/BaseRegion.cs","Current source paths from the canonical documentation truth table were revalidated against the filesystem.","High: combat consent, harmful and beneficial eligibility, persistence, region exceptions, and event gates can cause meaningful loss or conflict.","Add an authoritative in-game rules page covering opt-in or opt-out controls, persistence, restrictions, region and event behavior, feedback, and recovery.","PvP authority and consent rules are not secrets; omit staff-only controls.","Use two ordinary staging accounts through hostile, beneficial, region, event, logout, save/restart, and invalid-state paths.","Required: ordinary-player staging placement/accessibility evidence; no world save is present in this checkout.","Required incorporation: PvP and authority rules must be reachable in game."
"IGDB-0002","IGD-CAP-government-authority-economy","P1","Ready","Custom:Government System","Player government founding, authority, elections, treasury, maintenance, conflict, and destructive actions","RefreshExisting","SystemHelpGump","Data/Scripts/Custom/Government System;Data/Scripts/Custom/Government System/Gumps/GovHelpGump.cs","Current filesystem and named symbols reviewed by the audit generator.","High: persistent towns, treasury funds, maintenance, elections, bans, wars, permissions, and disbanding can cause material loss.","Source-review every help page and place current costs, authority, persistence, maintenance, elections, conflict, and destructive confirmations before secondary detail.","Government rules are not secrets; do not expose staff-only controls.","Use disposable staging towns to exercise founding through save/restart, election, treasury, authority, conflict, and disband paths.","Required: ordinary-player staging placement/accessibility evidence; no world save is present in this checkout.",""
"IGDB-0003","IGD-SYS-custom-offline-skill-training","P1","Ready","Custom:Offline Skill Training","Current source boundary: Custom:Offline Skill Training","Incorporate","Help","Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs;Data/Scripts/Custom/Offline Skill Training/Items/LegendaryStudyBooks.cs;Data/Scripts/Custom/Offline Skill Training/Items/RandomStudyBooks.cs;Data/Scripts/Custom/Offline Skill Training/Items/StandardStudyBooks.cs;Data/Scripts/Custom/Offline Skill Training/Items/StudyBook.cs;Data/Scripts/Custom/Offline Skill Training/Vendors/SBStudyBookbinder.cs;Data/Scripts/Custom/Offline Skill Training/Vendors/StudyBookbinder.cs","7 current source file(s) grouped by current path; first 12 plus every direct Player-command source are listed in SourceFiles. Existing inventory is ownership guidance only.","High: the system changes persistent progression, property, combat consent, or unattended character behavior.","Add or refresh an in-game overview when this custom bucket exposes a distinct player mechanic; otherwise record an explicit exclusion in the detailed review.","Do not enumerate ordinary content variants or reveal locations and solutions.","Verify the detailed row or exclusion for each player-facing custom capability and stage-test its teaching surface.","Required: ordinary-player staging placement/accessibility evidence; no world save is present in this checkout.","Boundary census row. Detailed rows carry incorporation work."
"IGDB-0004","IGD-CAP-character-level-service","P1","Ready","Custom:Progression","Character Level persistent progression and player service commands","Incorporate","LibraryReference","Data/Scripts/Custom/Progression/CharacterLevel/CharacterLevelCommands.cs;Data/Scripts/Custom/Progression/CharacterLevel/CharacterLevelService.cs","Current filesystem and named symbols reviewed by the audit generator.","High: persistent progression, rewards, caps, and service actions affect long-lived characters.","Explain activation, progression sources, caps, rewards, commands, persistence, respec or recovery behavior, and interactions with older characters.","Do not publish hidden reward locations or encounter solutions.","Use fresh and existing staging characters through gain, cap, command, save/restart, and invalid-state paths.","Required: ordinary-player staging placement/accessibility evidence; no world save is present in this checkout.",""
"IGDB-0005","IGD-SYS-custom-vhaerun-s-crl-homestead-system-2-0","P1","Ready","Custom:Vhaerun's CRL Homestead System [2.0]","Current source boundary: Custom:Vhaerun's CRL Homestead System [2.0]","Incorporate","Help","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Addons/BottleRackAddon.cs;Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Addons/KegStorageAddon.cs;Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Commands/AddGrapevines.cs;Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Commands/VinePlacement.cs;Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Craft/DefWinecrafting.cs;Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Gumps/AddGrapevineGump.cs;Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Items/Craft Items/Resources/WinecrafterSugar.cs;Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Items/Craft Items/Resources/WinecrafterYeast.cs;Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Items/Craft Items/Resources/WineGrapes.cs;Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Items/Craft Items/Tools/VinyardLabelMaker.cs;Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Items/Craft Items/Tools/WinecraftersTools.cs;Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Items/Craft Items/WineGrapeInfo.cs;Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Cooking/Package Systems/HungerGump/HungerGump.cs","388 current source file(s) grouped by current path; first 12 plus every direct Player-command source are listed in SourceFiles. Existing inventory is ownership guidance only.","High: the system changes persistent progression, property, combat consent, or unattended character behavior.","Add or refresh an in-game overview when this custom bucket exposes a distinct player mechanic; otherwise record an explicit exclusion in the detailed review.","Do not enumerate ordinary content variants or reveal locations and solutions.","Verify the detailed row or exclusion for each player-facing custom capability and stage-test its teaching surface.","Required: ordinary-player staging placement/accessibility evidence; no world save is present in this checkout.","Boundary census row. Detailed rows carry incorporation work."
"IGDB-0006","IGD-CAP-direct-player-command-discovery","P1","Ready","System:Commands","Complete direct Player command discovery and syntax","RefreshExisting","Help","Data/Scripts/System/Help/Gumps/HelpGump.cs","Current filesystem and named symbols reviewed by the audit generator.","High: undiscoverable commands include persistent settings, automated actions, service controls, and stop paths.","Rebuild the in-game command reference from the current direct Player registration census, grouping aliases and routing dense systems to their own help.","List commands and safe effects; omit secret output content.","Every direct Player command is discoverable in game with syntax, prerequisites, persistent effects, error behavior, and stop or undo path.","Required for final player-visible implementation acceptance.",""
"IGDB-0007","IGD-CAP-onboarding-help-guide-library","P1","Ready","System:Help","New-player onboarding, Help, Guide to Adventure, and Personal Library routing","RefreshExisting","Help","Data/Scripts/Items/Books/DynamicBook.cs;Data/Scripts/Mobiles/Civilized/ShardGreeter.cs;Data/Scripts/System/Commands/Player/MyLibrary.cs;Data/Scripts/System/Help/Gumps/HelpGump.cs","Current filesystem and named symbols reviewed by the audit generator.","High: the authoritative onboarding path appears to make acquisition assumptions that current source alone does not prove.","Reconcile how a fresh player reaches Help, the Guide, the Library, basic commands, and deeper references. Correct only after owner staging confirms actual stock or placement.","Onboarding is not secret; do not reveal unrelated world discoveries.","A fresh ordinary character can find and traverse every onboarding surface without staff intervention or an external wiki.","Required: ordinary-player staging placement/accessibility evidence; no world save is present in this checkout.",""
"IGDB-0008","IGD-CAP-town-crier-privacy-bridge","P1","Ready","System:Help","Town Crier private speech and external publication boundary","RefreshExisting","Help","Data/Scripts/System/Help/Gumps/HelpGump.cs;Data/Scripts/System/Misc/Talk.cs","Current filesystem and named symbols reviewed by the audit generator.","High: players need an accurate boundary between local/private speech and externally published content.","State exactly which Town Crier interactions can leave the game, how to use private/local speech, what content is sanitized, and what delivery feedback means.","No spoiler restriction; do not expose webhook or staff configuration.","On staging, exercise public, private, offline, rejected, and delivered cases with a test endpoint and ordinary player account.","Required: ordinary-player staging placement/accessibility evidence; no world save is present in this checkout.",""
"IGDB-0009","IGD-CAP-auto-loop-taming","P1","Ready","System:Skills","Auto-loop animal taming and explicit stop controls","Incorporate","Help","Data/Scripts/System/Skills/Taming.cs;Data/Scripts/System/Skills/TamingLoopController.cs","Current filesystem and named symbols reviewed by the audit generator.","High: an automated repeated action needs an obvious stop path, interruption rules, and failure feedback.","Teach how looping starts, how to stop it, and what movement, range, target state, success, failure, death, or logout does.","No spoiler restriction; do not publish hidden creature locations.","Start and stop the loop as an ordinary player and verify all interruption and invalid-target messages.","Required for final player-visible implementation acceptance.",""
"IGDB-0010","IGD-CAP-crafting-queue-batch-containers-search","P1","Ready","Trades:Core","Crafting search, batch amount, queue, source/destination containers, and cancellation","Incorporate","SystemHelpGump","Data/Scripts/Trades/Core/Gumps/CraftBatchStatusGump.cs;Data/Scripts/Trades/Core/Gumps/CraftGump.cs;Data/Scripts/Trades/Core/Gumps/CraftGumpItem.cs;Data/Scripts/Trades/Core/Gumps/CraftQueueGump.cs","Current filesystem and named symbols reviewed by the audit generator.","High: batch and queue operations consume materials and persistent container choices can produce costly mistakes.","Add point-of-use help covering search, quantity limits, queue order, material consumption, source/destination selection, house containers, cancellation, failure, and persistence.","Do not enumerate secret or rare recipes.","Craft inexpensive samples through search, batch, queue, container, cancel, failure, close/reopen, logout, and insufficient-material paths.","Required for final player-visible implementation acceptance.",""
"IGDB-0011","IGD-CAP-auto-loop-harvesting","P1","Ready","Trades:Harvest","Auto-loop harvesting, captcha/failure behavior, and stop control","Incorporate","Help","Data/Scripts/Items/Trades/Harvest Tools/BaseHarvestTool.cs;Data/Scripts/Trades/Harvest/HarvestLoopController.cs;Data/Scripts/Trades/Harvest/HarvestSystem.cs","Current filesystem and named symbols reviewed by the audit generator.","High: repeated resource actions, anti-automation checks, and explicit stop behavior must be clear.","Teach eligible tools, how looping begins and ends, stop syntax, resource depletion, range/movement, captcha, logout, death, and failure behavior.","Explain resource categories, not rare node locations.","Exercise every start, stop, interruption, captcha, depletion, and invalid-target state on disposable staging resources.","Required: ordinary-player staging placement/accessibility evidence; no world save is present in this checkout.",""
