"Id","RowKind","System","Capability","Audience","ActivationState","PlayerEntryPath","AcquisitionPlacementEvidence","PlayerCommands","SourceFiles","PostBaselineChanges","ExistingInGameSurfaces","Reachability","Coverage","Decision","RecommendedSurface","Priority","PlayerRisk","SourceEvidence","ContentBrief","SpoilerBoundary","AcceptanceTest","ExternalDocs","Notes"
"IGD-SYS-custom-access-level-stone-2-0","SystemBoundary","Custom:Access Level Stone [2.0]","Current source boundary: Custom:Access Level Stone [2.0]","InternalOrStaff","ActiveBySource","No intended direct player entry path, except separately audited shared framework surfaces.","Source-defined capability family; current source does not prove live-world placement.","","Data/Scripts/Custom/Access Level Stone [2.0]/AccessLevelStone.cs","1 post-baseline commit(s); latest examples: fa4f169e 2023-12-22 Automatic Standardizing of Code Formatting","Context-sensitive labels, messages, journals, books, or gumps vary within the family.","RuntimeUnknown","NotApplicable","NoDocumentationNeeded","ContextualFeedback","P4","None for player documentation: internal infrastructure, staff tooling, or framework behavior.","1 current source file(s) grouped by current path; first 12 plus every direct Player-command source are listed in SourceFiles. Existing inventory is ownership guidance only.","Exclude internal implementation and staff controls from player documentation; retain separate rows for any real player-facing capability built on the framework.","Do not enumerate ordinary content variants or reveal locations and solutions.","Confirm each distinct mechanic is represented by a detailed capability or canonical-topic row; sample ordinary variants for self-explanatory feedback.","","Explicit exclusion: staff-only or internal infrastructure."
"IGD-SYS-custom-animalsystem","SystemBoundary","Custom:AnimalSystem","Current source boundary: Custom:AnimalSystem","PlayerOrMixed","ActiveBySource","Varies by item use, speech, movement, combat, crafting, quest, vendor, region, or command.","Source-defined capability family; current source does not prove live-world placement.","","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/DragonShapeChangeStone-body.cs;Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FaeryShapeChangeStone.cs;Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FelinusShapeChangeStone.cs;Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/RatShapeChangeStone.cs;Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/WolvenShapeChangeStone.cs","8 post-baseline commit(s); latest examples: c291eae9 2026-06-09 fix: guard dragon shape gump | d08952f4 2025-08-15 Feat: Add animal transformation stones for testing | e8c14700 2026-06-09 fix: guard felinus shape gumps","Context-sensitive labels, messages, journals, books, or gumps vary within the family.","RuntimeUnknown","Partial","Incorporate","LibraryReference","P3","Medium until the custom system entry path, cost, persistence, and failure modes are checked against an in-game reference.","5 current source file(s) grouped by current path; first 12 plus every direct Player-command source are listed in SourceFiles. Existing inventory is ownership guidance only.","Add or refresh an in-game overview when this custom bucket exposes a distinct player mechanic; otherwise record an explicit exclusion in the detailed review.","Do not enumerate ordinary content variants or reveal locations and solutions.","Verify the detailed row or exclusion for each player-facing custom capability and stage-test its teaching surface.","","Boundary census row. Detailed rows carry incorporation work."
"IGD-SYS-custom-boatnavigationtotem","SystemBoundary","Custom:BoatNavigationTotem","Current source boundary: Custom:BoatNavigationTotem","PlayerOrMixed","ActiveBySource","Varies by item use, speech, movement, combat, crafting, quest, vendor, region, or command.","Source-defined capability family; current source does not prove live-world placement.","bcblack;bctransparent;bcwhite","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs","1 post-baseline commit(s); latest examples: fa4f169e 2023-12-22 Automatic Standardizing of Code Formatting","Context-sensitive labels, messages, journals, books, or gumps vary within the family.","RuntimeUnknown","Partial","Incorporate","LibraryReference","P3","Medium until the custom system entry path, cost, persistence, and failure modes are checked against an in-game reference.","1 current source file(s) grouped by current path; first 12 plus every direct Player-command source are listed in SourceFiles. Existing inventory is ownership guidance only.","Add or refresh an in-game overview when this custom bucket exposes a distinct player mechanic; otherwise record an explicit exclusion in the detailed review.","Do not enumerate ordinary content variants or reveal locations and solutions.","Verify the detailed row or exclusion for each player-facing custom capability and stage-test its teaching surface.","","Boundary census row. Detailed rows carry incorporation work."
"IGD-SYS-custom-bondinfo","SystemBoundary","Custom:BondInfo","Current source boundary: Custom:BondInfo","PlayerOrMixed","ActiveBySource","Varies by item use, speech, movement, combat, crafting, quest, vendor, region, or command.","Source-defined capability family; current source does not prove live-world placement.","BondInfo","Data/Scripts/Custom/BondInfo/BondInfo.cs","1 post-baseline commit(s); latest examples: fa4f169e 2023-12-22 Automatic Standardizing of Code Formatting","Context-sensitive labels, messages, journals, books, or gumps vary within the family.","RuntimeUnknown","Partial","Incorporate","LibraryReference","P3","Medium until the custom system entry path, cost, persistence, and failure modes are checked against an in-game reference.","1 current source file(s) grouped by current path; first 12 plus every direct Player-command source are listed in SourceFiles. Existing inventory is ownership guidance only.","Add or refresh an in-game overview when this custom bucket exposes a distinct player mechanic; otherwise record an explicit exclusion in the detailed review.","Do not enumerate ordinary content variants or reveal locations and solutions.","Verify the detailed row or exclusion for each player-facing custom capability and stage-test its teaching surface.","","Boundary census row. Detailed rows carry incorporation work."
"IGD-SYS-custom-book-publisher-2-0","SystemBoundary","Custom:Book Publisher [2.0]","Current source boundary: Custom:Book Publisher [2.0]","PlayerOrMixed","ActiveBySource","Varies by item use, speech, movement, combat, crafting, quest, vendor, region, or command.","Source-defined capability family; current source does not prove live-world placement.","","Data/Scripts/Custom/Book Publisher [2.0]/BookBuyInfo.cs;Data/Scripts/Custom/Book Publisher [2.0]/PublishedBook.cs;Data/Scripts/Custom/Book Publisher [2.0]/Publisher.cs;Data/Scripts/Custom/Book Publisher [2.0]/SBPublisher.cs;Data/Scripts/Custom/Book Publisher [2.0]/XmlBook.cs","4 post-baseline commit(s); latest examples: 1bbca80e 2026-06-09 fix: guard publisher speech hook | ae7b15c7 2026-06-28 Revert ""Merge branch 'SAR' into main"" | fa4f169e 2023-12-22 Automatic Standardizing of Code Formatting","Context-sensitive labels, messages, journals, books, or gumps vary within the family.","RuntimeUnknown","Partial","Incorporate","LibraryReference","P3","Medium until the custom system entry path, cost, persistence, and failure modes are checked against an in-game reference.","5 current source file(s) grouped by current path; first 12 plus every direct Player-command source are listed in SourceFiles. Existing inventory is ownership guidance only.","Add or refresh an in-game overview when this custom bucket exposes a distinct player mechanic; otherwise record an explicit exclusion in the detailed review.","Do not enumerate ordinary content variants or reveal locations and solutions.","Verify the detailed row or exclusion for each player-facing custom capability and stage-test its teaching surface.","","Boundary census row. Detailed rows carry incorporation work."
"IGD-SYS-custom-ceo-s-gm-hiding-stone-2-0","SystemBoundary","Custom:CEO's GM Hiding Stone [2.0]","Current source boundary: Custom:CEO's GM Hiding Stone [2.0]","PlayerOrMixed","ActiveBySource","Varies by item use, speech, movement, combat, crafting, quest, vendor, region, or command.","Source-defined capability family; current source does not prove live-world placement.","","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs","1 post-baseline commit(s); latest examples: fa4f169e 2023-12-22 Automatic Standardizing of Code Formatting","Context-sensitive labels, messages, journals, books, or gumps vary within the family.","RuntimeUnknown","Partial","Incorporate","LibraryReference","P3","Medium until the custom system entry path, cost, persistence, and failure modes are checked against an in-game reference.","1 current source file(s) grouped by current path; first 12 plus every direct Player-command source are listed in SourceFiles. Existing inventory is ownership guidance only.","Add or refresh an in-game overview when this custom bucket exposes a distinct player mechanic; otherwise record an explicit exclusion in the detailed review.","Do not enumerate ordinary content variants or reveal locations and solutions.","Verify the detailed row or exclusion for each player-facing custom capability and stage-test its teaching surface.","","Boundary census row. Detailed rows carry incorporation work."
"IGD-SYS-custom-champions","SystemBoundary","Custom:Champions","Current source boundary: Custom:Champions","PlayerOrMixed","ActiveBySource","Varies by item use, speech, movement, combat, crafting, quest, vendor, region, or command.","Source-defined capability family; current source does not prove live-world placement.","","Data/Scripts/Custom/Champions/Items/PlagueBeastBackpack.cs;Data/Scripts/Custom/Champions/Items/PlagueBeastBlood.cs;Data/Scripts/Custom/Champions/Items/PlagueBeastGland.cs;Data/Scripts/Custom/Champions/Items/PlagueBeastHeart.cs;Data/Scripts/Custom/Champions/Items/PlagueBeastInnard.cs;Data/Scripts/Custom/Champions/Items/PlagueBeastMutationCore.cs;Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs;Data/Scripts/Custom/Champions/Items/PlagueBeastVein.cs;Data/Scripts/Custom/Champions/Items/UnholyBone.cs;Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Adimarchus.cs;Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Bahamut.cs;Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Balar.cs","8 post-baseline commit(s); latest examples: bebae2d1 2026-04-15 Reorganized Scripts/Custom/Champions folder | bf961c5e 2026-04-15 refactor: extract ChampionSpawn system from Obsolete | e40f9e55 2026-04-21 fix: preserve champion spawn radius during XMLSpawner setup","Context-sensitive labels, messages, journals, books, or gumps vary within the family.","RuntimeUnknown","IntentionalDiscovery","RefreshExisting","LoreBook","P3","Medium: danger and cleanup behavior should be foreshadowed while locations, rewards, and encounter solutions remain discoveries.","73 current source file(s) grouped by current path; first 12 plus every direct Player-command source are listed in SourceFiles. Existing inventory is ownership guidance only.","Add or refresh an in-game overview when this custom bucket exposes a distinct player mechanic; otherwise record an explicit exclusion in the detailed review.","Teach warning signs, danger, persistence, and clue paths; hide spawn locations, reward tables, and solutions.","Verify the detailed row or exclusion for each player-facing custom capability and stage-test its teaching surface.","","Boundary census row. Detailed rows carry incorporation work."
"IGD-SYS-custom-changeseason","SystemBoundary","Custom:ChangeSeason","Current source boundary: Custom:ChangeSeason","PlayerOrMixed","ActiveBySource","Varies by item use, speech, movement, combat, crafting, quest, vendor, region, or command.","Source-defined capability family; current source does not prove live-world placement.","","Data/Scripts/Custom/ChangeSeason/ChangeSeason.cs","4 post-baseline commit(s); latest examples: 47d5f954 2026-06-14 fix: harden staff command metadata queue | ae7b15c7 2026-06-28 Revert ""Merge branch 'SAR' into main"" | fa4f169e 2023-12-22 Automatic Standardizing of Code Formatting","Context-sensitive labels, messages, journals, books, or gumps vary within the family.","RuntimeUnknown","Partial","Incorporate","LibraryReference","P3","Medium until the custom system entry path, cost, persistence, and failure modes are checked against an in-game reference.","1 current source file(s) grouped by current path; first 12 plus every direct Player-command source are listed in SourceFiles. Existing inventory is ownership guidance only.","Add or refresh an in-game overview when this custom bucket exposes a distinct player mechanic; otherwise record an explicit exclusion in the detailed review.","Do not enumerate ordinary content variants or reveal locations and solutions.","Verify the detailed row or exclusion for each player-facing custom capability and stage-test its teaching surface.","","Boundary census row. Detailed rows carry incorporation work."
"IGD-SYS-custom-character-swap","SystemBoundary","Custom:Character Swap","Current source boundary: Custom:Character Swap","PlayerOrMixed","ActiveBySource","Varies by item use, speech, movement, combat, crafting, quest, vendor, region, or command.","Source-defined capability family; current source does not prove live-world placement.","","Data/Scripts/Custom/Character Swap/CharacterSwap.cs","4 post-baseline commit(s); latest examples: 47d5f954 2026-06-14 fix: harden staff command metadata queue | ae7b15c7 2026-06-28 Revert ""Merge branch 'SAR' into main"" | fa4f169e 2023-12-22 Automatic Standardizing of Code Formatting","Context-sensitive labels, messages, journals, books, or gumps vary within the family.","RuntimeUnknown","Partial","Incorporate","LibraryReference","P3","Medium until the custom system entry path, cost, persistence, and failure modes are checked against an in-game reference.","1 current source file(s) grouped by current path; first 12 plus every direct Player-command source are listed in SourceFiles. Existing inventory is ownership guidance only.","Add or refresh an in-game overview when this custom bucket exposes a distinct player mechanic; otherwise record an explicit exclusion in the detailed review.","Do not enumerate ordinary content variants or reveal locations and solutions.","Verify the detailed row or exclusion for each player-facing custom capability and stage-test its teaching surface.","","Boundary census row. Detailed rows carry incorporation work."
"IGD-SYS-custom-cleardeckcommand","SystemBoundary","Custom:ClearDeckCommand","Current source boundary: Custom:ClearDeckCommand","PlayerOrMixed","ActiveBySource","Varies by item use, speech, movement, combat, crafting, quest, vendor, region, or command.","Source-defined capability family; current source does not prove live-world placement.","ClearDeck","Data/Scripts/Custom/ClearDeckCommand/ClearDeckCommand.cs","4 post-baseline commit(s); latest examples: 3e34e43b 2026-06-08 fix: free clear deck pooled enumerable | ae7b15c7 2026-06-28 Revert ""Merge branch 'SAR' into main"" | fa4f169e 2023-12-22 Automatic Standardizing of Code Formatting","Context-sensitive labels, messages, journals, books, or gumps vary within the family.","RuntimeUnknown","Partial","Incorporate","LibraryReference","P3","Medium until the custom system entry path, cost, persistence, and failure modes are checked against an in-game reference.","1 current source file(s) grouped by current path; first 12 plus every direct Player-command source are listed in SourceFiles. Existing inventory is ownership guidance only.","Add or refresh an in-game overview when this custom bucket exposes a distinct player mechanic; otherwise record an explicit exclusion in the detailed review.","Do not enumerate ordinary content variants or reveal locations and solutions.","Verify the detailed row or exclusion for each player-facing custom capability and stage-test its teaching surface.","","Boundary census row. Detailed rows carry incorporation work."
