"System","Domains","ImmediateGoals","MediumTermGoals","LongTermGoals","SocialOrStaffDrivenGoals","ExplorationGoals","CraftingEconomyGoals","ProgressionGoals","StaffDependencyVisible","Evidence"
"Character Level","Progression","Visible progression feedback.","Level milestones and unlock pacing.","Long-term character growth.","","","","Primary progression goal system.","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"Random Encounters","PvE;Progression","Short exploration combat objective.","Repeatable roaming challenge loop.","","","Primary exploration objective source.","","Can scale with character progress.","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"PvP Consent","PvP;Combat","Clear opt-in or opt-out combat expectation.","PvP safety and event eligibility.","","Needs clear staff/event override policy.","","","","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"Government","Government;Economy;Documentation","Civic participation and city status.","Elections, taxes, vendors, city rules.","Long-term civic control.","Social and possibly staff-moderated goals.","","Civic economy and treasury goals.","","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"Homestead","Economy;Crafting;Housing","Production and gathering tasks.","Cooking, crops, brewing, and trade loops.","Non-combat economy identity.","","","Primary non-combat economy expansion.","","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"XMLSpawner","Staff events;PvE;Documentation","Staff-authored content and event triggers.","Quest/event scripting.","Reusable event infrastructure.","Primary staff event dependency.","Can create authored exploration.","","","Yes","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"Invasion","PvE;Staff events","Event combat pressure.","Group event response.","","Staff event dependency likely.","","","","Yes","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"Champions","PvE;Progression","Group combat challenge.","Escalation and reward objective.","Repeatable high-end PvE.","","","","PvE reward progression.","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"Monster Nests","PvE;Exploration","Localized exploration threat.","Clearable area objective.","","","Primary nest exploration objective.","","","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"Clone Offline Player Characters","AI;PvE","World persistence and ambient challenge.","Social-world continuity.","","","Can affect world encounters.","","","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"Offline Skill Training","Progression","Convenience progression.","Skill advancement while away.","Long-term character growth.","","","","Progression without active play.","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"OmniAI","AI;Combat","Combat behavior.","Encounter difficulty.","","","","","","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"AI Overhaul","AI;Combat","Combat behavior.","Encounter difficulty.","","","","","","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"Staff Toolbar","Staff events","Staff operational command surface.","Event support and moderation.","","Staff-only workflow.","","","","Yes","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"Static Gump Tool","Staff events","Staff-authored static presentation.","Event or content support.","","Staff-only workflow.","","","","Yes","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"Spell Framework","Magic","Common magic registration.","Spell family expansion.","Build identity infrastructure.","","","","Magic progression support.","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"Magic Schools","Magic;Combat","Distinct spell choices.","Build identity.","Long-term magic specialization.","","","","Combat/magic progression.","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"Crafting Core","Crafting;Economy","Craft item goals.","Recipe/material progression.","Crafter identity.","","","Core crafting objective.","","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"Harvest System","Crafting;Economy","Gathering activity.","Resource planning.","","","Resource location goals.","Crafting supply source.","","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"Bulk Orders","Crafting;Economy","Structured crafting task.","Reward and reputation pacing.","","","","Crafting objective/reward loop.","","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"Gardening","Crafting;Economy","Plant tending.","Crop/resource output.","","","","Resource and homestead support.","","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"Housing","Housing;Economy","Place ownership.","Storage, display, civic anchor.","Long-term social/home objective.","","","Supports economy and government goals.","","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"Boats","Travel;Housing","Travel capability.","Route and exploration planning.","","","Travel/exploration objective.","","","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"Regions","World;PvP;Government","World rule boundary.","Policy and event gates.","","Can encode staff/event zones.","World area expectations.","","","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"PlayerMobile Core","Core;Progression;Combat","Player state and lifecycle.","Cross-system persistence.","Save-compatible player identity.","","","","Core progression state.","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"Vendor Core","Economy","Buy/sell interaction.","Gold and goods flow.","Economy stability.","","","Core economy outlet.","","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
"Obsolete Scripts","Legacy;Documentation","No intended player objective until reviewed.","","","Legacy hooks may affect staff workflows.","","","","No","Phase 9 player objective review derived from system card scope, phase checklist examples, and domain bucket."
